mode	record	line	np_id	head	head_known	head_index	case	end_before	case_sources	adjectives	used_by	row_status
W	f17r	f17r.5	f17r.5:2/1	cthy	True	10	UNMARKED	f17r.5:3/1	NONE	NONE	NONE	recorded
W	f17r	f17r.5	f17r.5:3/1	chor	True	11	UNMARKED	f17r.5:4/1	NONE	NONE	NONE	recorded
W	f17r	f17r.5	f17r.5:4/1	shor	True	12	UNMARKED	RECORD_END	NONE	NONE	NONE	recorded
W	f21r	f21r.9	f21r.9:1/1	okaiin	True	31	UNMARKED	f21r.9:2/1	NONE	NONE	NONE	recorded
W	f21r	f21r.9	f21r.9:8/1	cthy	True	38	UNMARKED	f21r.10:3/1	NONE	NONE	f21r.9:2/1	recorded
W	f21r	f21r.10	f21r.10:3/1	chy	True	42	UNMARKED	f21r.12:2/1	NONE	shol,chol,shol	NONE	recorded
W	f21r	f21r.12	f21r.12:2/1	chor	True	59	UNMARKED	f21r.12:5/1	NONE	NONE	NONE	recorded
W	f21r	f21r.12	f21r.12:5/1	chor	True	62	OBJECT	RECORD_END	f21r.12:7/1	chol	NONE	recorded
W	f32v	f32v.8	f32v.8:1/1	otchol	True	76	OBJECT	f32v.8:4/1	f32v.8:2/1,f32v.8:3/1	NONE	NONE	recorded
W	f32v	f32v.8	f32v.8:4/1	ctho	True	79	OBJECT	f32v.9:1/1	f32v.8:5/1	NONE	NONE	recorded
W	f32v	f32v.9	f32v.9:4/1	chocthy	True	88	OBJECT	f32v.9:6/1	f32v.9:5/1	NONE	f32v.9:1/1	recorded
W	f32v	f32v.9	f32v.9:6/1	cthaiin	True	90	OBJECT	f32v.10:1/1	f32v.9:7/1	NONE	NONE	recorded
W	f32v	f32v.10	f32v.10:2/1	keol	True	93	UNMARKED	f32v.10:3/1	NONE	NONE	f32v.10:1/1	recorded
W	f32v	f32v.10	f32v.10:3/1	chor	True	94	OBJECT	f32v.11:2/1	f32v.10:5/1	chol	NONE	recorded
W	f32v	f32v.11	f32v.11:3/1	chy	True	104	UNMARKED	RECORD_END	NONE	NONE	f32v.11:2/1	recorded
W	f29v	f29v.1	f29v.1:2/1	shor	True	106	UNMARKED	f29v.1:7/1	NONE	NONE	NONE	recorded
W	f29v	f29v.1	f29v.1:7/1	cthy	True	111	OBJECT	f29v.2:5/1	f29v.1:11/1	chol,chol	NONE	recorded
W	f29v	f29v.2	f29v.2:5/1	cthy	True	120	UNMARKED	f29v.3:6/1	NONE	chol,chol	NONE	recorded
W	f29v	f29v.4	f29v.4:3/1	okaiin	True	138	UNMARKED	f29v.4:4/1	NONE	NONE	NONE	recorded
W	f29v	f29v.4	f29v.4:4/1	cthy	True	139	UNMARKED	f29v.4:8/1	NONE	NONE	NONE	recorded
W	f29v	f29v.4	f29v.4:9/1	okaiin	True	144	UNMARKED	RECORD_END	NONE	NONE	f29v.4:8/1	recorded
M	f17r	f17r.5	f17r.5:2/1	cthy	True	10	UNMARKED	f17r.5:3/1	NONE	NONE	NONE	recorded
M	f17r	f17r.5	f17r.5:3/1	chor	True	11	UNMARKED	f17r.5:4/1	NONE	NONE	NONE	recorded
M	f17r	f17r.5	f17r.5:4/1	shor	True	12	UNMARKED	RECORD_END	NONE	NONE	NONE	recorded
M	f21r	f21r.8	f21r.8:7/1	ctho	True	29	OBJECT	f21r.9:1/1	f21r.8:7/2	NONE	NONE	recorded
M	f21r	f21r.9	f21r.9:1/1	okaiin	True	32	UNMARKED	f21r.9:2/1	NONE	NONE	NONE	recorded
M	f21r	f21r.9	f21r.9:8/1	cthy	True	39	UNMARKED	f21r.10:3/1	NONE	NONE	f21r.9:2/1	recorded
M	f21r	f21r.10	f21r.10:3/1	chy	True	43	UNMARKED	f21r.12:2/1	NONE	shol,chol,shol	NONE	recorded
M	f21r	f21r.12	f21r.12:2/1	chor	True	60	UNMARKED	f21r.12:5/1	NONE	NONE	NONE	recorded
M	f21r	f21r.12	f21r.12:5/1	chor	True	63	OBJECT	RECORD_END	f21r.12:7/1	chol	NONE	recorded
M	f32v	f32v.8	f32v.8:1/1	otchol	True	77	OBJECT	f32v.8:4/1	f32v.8:2/1,f32v.8:3/1	NONE	NONE	recorded
M	f32v	f32v.8	f32v.8:4/1	ctho	True	80	OBJECT	f32v.9:1/1	f32v.8:5/1	NONE	NONE	recorded
M	f32v	f32v.9	f32v.9:4/1	chocthy	True	89	OBJECT	f32v.9:6/1	f32v.9:5/1	NONE	f32v.9:1/1	recorded
M	f32v	f32v.9	f32v.9:6/1	cthaiin	True	91	OBJECT	f32v.10:1/1	f32v.9:7/1	NONE	NONE	recorded
M	f32v	f32v.10	f32v.10:2/1	keol	True	94	UNMARKED	f32v.10:3/1	NONE	NONE	f32v.10:1/1	recorded
M	f32v	f32v.10	f32v.10:3/1	chor	True	95	OBJECT	f32v.11:2/1	f32v.10:5/1	chol	NONE	recorded
M	f32v	f32v.11	f32v.11:3/1	chy	True	105	UNMARKED	RECORD_END	NONE	NONE	f32v.11:2/1	recorded
M	f29v	f29v.1	f29v.1:2/1	shor	True	107	UNMARKED	f29v.1:7/1	NONE	NONE	NONE	recorded
M	f29v	f29v.1	f29v.1:7/1	cthy	True	112	OBJECT	f29v.2:5/1	f29v.1:11/1	chol,chol	NONE	recorded
M	f29v	f29v.2	f29v.2:5/1	cthy	True	121	UNMARKED	f29v.3:5/1	NONE	chol,chol	NONE	recorded
M	f29v	f29v.3	f29v.3:5/1	o	False	130	UNMARKED	f29v.3:6/1	f29v.3:5/2	NONE	NONE	recorded
M	f29v	f29v.4	f29v.4:3/1	okaiin	True	140	UNMARKED	f29v.4:4/1	NONE	NONE	NONE	recorded
M	f29v	f29v.4	f29v.4:4/1	cthy	True	141	UNMARKED	f29v.4:8/1	NONE	NONE	NONE	recorded
M	f29v	f29v.4	f29v.4:9/1	okaiin	True	146	UNMARKED	RECORD_END	NONE	NONE	f29v.4:8/1	recorded
