station_work_unit_id	base_unit_id	statement_id	record_unit_id	page	event_ids	surfaces	atomic_chain	event_count	owner_id	owner_status	owner_gloss_not_translation	station_role	work_instruction_de	boundary_from_previous_unit	incoming_contact_rule	direction_constraint	global_flow_edge
B1-S001	B1-S001	B1-S001	B1	f81v	E101	qokedy	Kurzkontakt	1	B1_SHARED_TWO_ROW_POOL	PAGE_OWNER_ONLY	gemeinsames zweireihiges f81v-Becken-/Figurenfeld	GEMEINSAMES_BEHANDLUNGSBECKEN	BEHANDELN: Kurzkontakt.	RECORD_START	RECORD_RESET;CLEAR_OWNER_ACTIVE_TARGET_PREVIOUS	RECORD_RESET;CLEAR_OWNER_ACTIVE_TARGET_PREVIOUS;NO_GLOBAL_FLOW_DIRECTION;OWNER_CONTEXT_ONLY_NO_PIPE_INFERRED	NONE
B1-S002-M01	B1-S002-M01	B1-S002	B1	f81v	E102|E103|E104	qokaiin kair okal	bemessen → Beckenlauf → Orteinsatz	3	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	gemeinsames zweireihiges f81v-Becken-/Figurenfeld	GEMEINSAMES_BEHANDLUNGSBECKEN	Messe die Arbeitsmenge ab und setze sie in den vorgesehenen Beckenlauf.	SAME_LOCAL_STATION	SAME_LOCAL_OWNER_LEDGER_CONTINUATION	SAME_LOCAL_OWNER_LEDGER_CONTINUATION;NO_GLOBAL_FLOW_DIRECTION;OWNER_CONTEXT_ONLY_NO_PIPE_INFERRED	NONE
B1-S002-M02	B1-S002-M02	B1-S002	B1	f81v	E105|E106|E107|E108|E109	char ol kain olkain al	davon → weiter → Portion → Folgeportion → dorthin	5	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	gemeinsames zweireihiges f81v-Becken-/Figurenfeld	GEMEINSAMES_BEHANDLUNGSBECKEN	Nimm davon eine Portion und anschließend die Folgeportion an dieselbe Stelle.	SAME_LOCAL_STATION	WITHIN_FIELD_SAME_OWNER	SAME_LOCAL_OWNER_LEDGER_CONTINUATION;NO_GLOBAL_FLOW_DIRECTION;OWNER_CONTEXT_ONLY_NO_PIPE_INFERRED	NONE
B1-S002-M03	B1-S002-M03	B1-S002	B1	f81v	E110|E111|E112|E113|E114|E115	ol rol dl olor ol sheckhal	weiter → Anschluss → Zusatz → Gleichansatz → weiter → Zielkurzpassage	6	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	gemeinsames zweireihiges f81v-Becken-/Figurenfeld	GEMEINSAMES_BEHANDLUNGSBECKEN	Gib am Anschluss den Zusatz aus demselben Ansatz zu und führe ihn durch die kurze Zielpassage.	SAME_LOCAL_STATION	WITHIN_FIELD_SAME_OWNER	SAME_LOCAL_OWNER_LEDGER_CONTINUATION;NO_GLOBAL_FLOW_DIRECTION;OWNER_CONTEXT_ONLY_NO_PIPE_INFERRED	NONE
B1-S002-M04	B1-S002-M04	B1-S002	B1	f81v	E116|E117|E118	aiin qokeedal aiin	Sollmaß → Ziellanghalt → Sollmaß	3	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	gemeinsames zweireihiges f81v-Becken-/Figurenfeld	GEMEINSAMES_BEHANDLUNGSBECKEN	Prüfe das Sollmaß, halte am Ziel und prüfe das Maß erneut.	SAME_LOCAL_STATION	WITHIN_FIELD_SAME_OWNER	SAME_LOCAL_OWNER_LEDGER_CONTINUATION;NO_GLOBAL_FLOW_DIRECTION;OWNER_CONTEXT_ONLY_NO_PIPE_INFERRED	NONE
B1-S002-M05	B1-S002-M05	B1-S002	B1	f81v	E119|E120	chckhy schedy	durchleiten → überführen	2	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	gemeinsames zweireihiges f81v-Becken-/Figurenfeld	GEMEINSAMES_BEHANDLUNGSBECKEN	Leite den Posten hindurch und überführe ihn.	SAME_LOCAL_STATION	WITHIN_FIELD_SAME_OWNER	SAME_LOCAL_OWNER_LEDGER_CONTINUATION;NO_GLOBAL_FLOW_DIRECTION;OWNER_CONTEXT_ONLY_NO_PIPE_INFERRED	NONE
B1-S003	B1-S003	B1-S003	B1	f81v	E121|E122	qol sshkchdy	weiter → übertragen	2	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	gemeinsames zweireihiges f81v-Becken-/Figurenfeld	GEMEINSAMES_BEHANDLUNGSBECKEN	STEUERN: weiter; dann EINBRINGEN: übertragen.	SAME_LOCAL_STATION	SAME_LOCAL_OWNER_LEDGER_CONTINUATION	SAME_LOCAL_OWNER_LEDGER_CONTINUATION;NO_GLOBAL_FLOW_DIRECTION;OWNER_CONTEXT_ONLY_NO_PIPE_INFERRED	NONE
B1-S004	B1-S004	B1-S004	B1	f81v	E123|E124|E125	chdy ol cheedy	überführen → weiter → Kurzabsetzung	3	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	gemeinsames zweireihiges f81v-Becken-/Figurenfeld	GEMEINSAMES_BEHANDLUNGSBECKEN	EINBRINGEN: überführen; dann STEUERN: weiter; dann ABSETZEN: Kurzabsetzung.	SAME_LOCAL_STATION	SAME_LOCAL_OWNER_LEDGER_CONTINUATION	SAME_LOCAL_OWNER_LEDGER_CONTINUATION;NO_GLOBAL_FLOW_DIRECTION;OWNER_CONTEXT_ONLY_NO_PIPE_INFERRED	NONE
B1-S005	B1-S005	B1-S005	B1	f81v	E126	qolchedy	weiterführen	1	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	gemeinsames zweireihiges f81v-Becken-/Figurenfeld	GEMEINSAMES_BEHANDLUNGSBECKEN	STEUERN: weiterführen.	SAME_LOCAL_STATION	SAME_LOCAL_OWNER_LEDGER_CONTINUATION	SAME_LOCAL_OWNER_LEDGER_CONTINUATION;NO_GLOBAL_FLOW_DIRECTION;OWNER_CONTEXT_ONLY_NO_PIPE_INFERRED	NONE
B1-S006	B1-S006	B1-S006	B1	f81v	E127|E128|E129|E130	qokain chckhy dl ral	Zugabe → durchleiten → Zusatz → Zielmarke	4	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	gemeinsames zweireihiges f81v-Becken-/Figurenfeld	GEMEINSAMES_BEHANDLUNGSBECKEN	EINBRINGEN: Zugabe; dann DURCHARBEITEN: durchleiten; dann EINBRINGEN: Zusatz; dann STEUERN: Zielmarke …	SAME_LOCAL_STATION	SAME_LOCAL_OWNER_LEDGER_CONTINUATION	SAME_LOCAL_OWNER_LEDGER_CONTINUATION;NO_GLOBAL_FLOW_DIRECTION;OWNER_CONTEXT_ONLY_NO_PIPE_INFERRED	NONE
