station_work_unit_id	record_unit_id	new_owner_id	boundary_class	incoming_contact_rule	physical_connection_claim	reading_de
B1-S001	B1	B1_SHARED_TWO_ROW_POOL	RECORD_START	RECORD_RESET;CLEAR_OWNER_ACTIVE_TARGET_PREVIOUS	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B2-S001	B2	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	RECORD_START	RECORD_RESET;CLEAR_OWNER_ACTIVE_TARGET_PREVIOUS	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B2-S007	B2	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	VISIBLE_OWNER_BREAK_NO_PHYSICAL_CARRY	BREAK_VISIBLE_OWNER;BLOCK_PHYSICAL_CARRY;BOOKKEEPING_ID_MAY_CONTINUE_ONLY	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B2-S011	B2	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	VISIBLE_OWNER_BREAK_NO_PHYSICAL_CARRY	BREAK_VISIBLE_OWNER;BLOCK_PHYSICAL_CARRY;BOOKKEEPING_ID_MAY_CONTINUE_ONLY	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B2-S012-M02	B2	B2_LOWER_GREEN_MULTI_FIGURE_POOL	VISIBLE_OWNER_BREAK_NO_PHYSICAL_CARRY	BREAK_VISIBLE_OWNER;BLOCK_PHYSICAL_CARRY;BOOKKEEPING_ID_MAY_CONTINUE_ONLY	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B2-S015	B2	B2_LOWER_POOL_EDGE_STATIONS	VISIBLE_OWNER_BREAK_NO_PHYSICAL_CARRY	BREAK_VISIBLE_OWNER;BLOCK_PHYSICAL_CARRY;BOOKKEEPING_ID_MAY_CONTINUE_ONLY	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B3-S001	B3	B3_UPPER_MARGIN_OPEN_FAN_STATION	RECORD_START	RECORD_RESET;CLEAR_OWNER_ACTIVE_TARGET_PREVIOUS	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B3-S005	B3	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	VISIBLE_OWNER_BREAK_NO_PHYSICAL_CARRY	BREAK_VISIBLE_OWNER;BLOCK_PHYSICAL_CARRY;BOOKKEEPING_ID_MAY_CONTINUE_ONLY	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B3-S010	B3	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	VISIBLE_OWNER_BREAK_NO_PHYSICAL_CARRY	BREAK_VISIBLE_OWNER;BLOCK_PHYSICAL_CARRY;BOOKKEEPING_ID_MAY_CONTINUE_ONLY	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B3-S016-O2	B3	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	VISIBLE_OWNER_BREAK_NO_PHYSICAL_CARRY	BREAK_VISIBLE_OWNER;BLOCK_PHYSICAL_CARRY;BOOKKEEPING_ID_MAY_CONTINUE_ONLY	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B3-S026-M03	B3	B3_MAIN_ARCH_LINKED_PAIR	VISIBLE_OWNER_BREAK_NO_PHYSICAL_CARRY	BREAK_VISIBLE_OWNER;BLOCK_PHYSICAL_CARRY;BOOKKEEPING_ID_MAY_CONTINUE_ONLY	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B4-S001	B4	B4_MAIN_ARCH_LINKED_PAIR	RECORD_START	RECORD_RESET;CLEAR_OWNER_ACTIVE_TARGET_PREVIOUS	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B4-S011-M01	B4	B4_MAIN_LEFT_OPEN_FRINGE_STATION	VISIBLE_OWNER_BREAK_NO_PHYSICAL_CARRY	BREAK_VISIBLE_OWNER;BLOCK_PHYSICAL_CARRY;BOOKKEEPING_ID_MAY_CONTINUE_ONLY	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B4-S015-M02	B4	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	VISIBLE_OWNER_BREAK_NO_PHYSICAL_CARRY	BREAK_VISIBLE_OWNER;BLOCK_PHYSICAL_CARRY;BOOKKEEPING_ID_MAY_CONTINUE_ONLY	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B5-S001	B5	B5_LEFT_OPEN_FRINGE_STATION	RECORD_START	RECORD_RESET;CLEAR_OWNER_ACTIVE_TARGET_PREVIOUS	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
B6-S001-M01	B6	B6_RIGHT_S_RUN_MULTIPORT_STATION	RECORD_START	HARD_RECORD_RESET_B5_TO_B6;CLEAR_OWNER_ACTIVE_TARGET_PREVIOUS	NONE	Neuen lokalen Stationsposten beginnen; den vorherigen Posten nicht durch eine unsichtbare Leitung fortschreiben.
