owner_id	station_role	owner_statuses	owner_gloss_not_translation	record_units	event_count	work_unit_count	statement_count	concrete_station_summary_de	ordered_work_units	connection_rule
B1_SHARED_TWO_ROW_POOL	GEMEINSAMES_BEHANDLUNGSBECKEN	INHERITED_VISIBLE|PAGE_OWNER_ONLY	gemeinsames zweireihiges f81v-Becken-/Figurenfeld	B1	66	25	21	Spülen, portionieren, kurz oder lang einwirken, absetzen und lokale Zielpassagen prüfen.	B1-S001|B1-S002-M01|B1-S002-M02|B1-S002-M03|B1-S002-M04|B1-S002-M05|B1-S003|B1-S004|B1-S005|B1-S006|B1-S007|B1-S008|B1-S009|B1-S010|B1-S011|B1-S012|B1-S013|B1-S014|B1-S015|B1-S016|B1-S017|B1-S018|B1-S019|B1-S020|B1-S021	Nur innerhalb dieses sichtbaren Besitzers verbinden; Besitzerwechsel erzeugt keinen globalen Fluss.
B2_UPPER_PAIRED_BASINS_AND_CYLINDER	PAARBECKEN_MIT_MITTELZYLINDER	DIRECT_VISIBLE|INHERITED_VISIBLE	obere f82r-Paarbecken-/Zylinderstation	B2	22	8	6	Zwei obere Becken lokal abgleichen, Posten zuführen, temperieren und wieder abziehen.	B2-S001|B2-S002|B2-S003|B2-S004|B2-S005-M01|B2-S005-M02|B2-S005-M03|B2-S006	Nur innerhalb dieses sichtbaren Besitzers verbinden; Besitzerwechsel erzeugt keinen globalen Fluss.
B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	ZWISCHENGERAET_MIT_KNOTEN	DIRECT_VISIBLE|INHERITED_VISIBLE	mittlere linke f82r-Geräte-/Inline-Knotenstation	B2	9	4	4	Posten durchlassen, Klarlauf bearbeiten und Sollwerte einstellen.	B2-S007|B2-S008|B2-S009|B2-S010	Nur innerhalb dieses sichtbaren Besitzers verbinden; Besitzerwechsel erzeugt keinen globalen Fluss.
B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	AMBIGUER_RECHTER_POSTEN	UNRESOLVED	ungelöste mittlere f82r-Linien-/Liegepodeststation	B2	5	2	2	Einen lokalen Übergabeposten bedienen; Ein- und Ausgang bleiben unbestimmt.	B2-S011|B2-S012-M01	Nur innerhalb dieses sichtbaren Besitzers verbinden; Besitzerwechsel erzeugt keinen globalen Fluss.
B2_LOWER_GREEN_MULTI_FIGURE_POOL	MEHRPLATZ_BADBECKEN	DIRECT_VISIBLE|INHERITED_VISIBLE	unteres grünes f82r-Mehrfigurenfeld	B2	9	4	3	Posten auf Plätze verteilen, einwirken lassen, waschen und lokal abführen.	B2-S012-M02|B2-S012-M03|B2-S013|B2-S014	Nur innerhalb dieses sichtbaren Besitzers verbinden; Besitzerwechsel erzeugt keinen globalen Fluss.
B2_LOWER_POOL_EDGE_STATIONS	RAND_ZUFUEHR_ABFUEHRSTATIONEN	DIRECT_VISIBLE|INHERITED_VISIBLE	lokale f82r-Figuren-/Gefäßposten am unteren Feldrand	B2	17	9	8	Zuführung, Zielkontakt und Abführung an den Randplätzen ausführen.	B2-S015|B2-S016-M01|B2-S016-M02|B2-S017|B2-S018|B2-S019|B2-S020|B2-S021|B2-S022	Nur innerhalb dieses sichtbaren Besitzers verbinden; Besitzerwechsel erzeugt keinen globalen Fluss.
B3_UPPER_MARGIN_OPEN_FAN_STATION	OFFENER_FAECHERZULAUF	DIRECT_VISIBLE|INHERITED_VISIBLE	obere f83r-Randstation mit offenem Fächerende	B3	10	4	4	Einen offenen Zulauf oder Fächerposten beschicken und behandeln.	B3-S001|B3-S002|B3-S003|B3-S004	Nur innerhalb dieses sichtbaren Besitzers verbinden; Besitzerwechsel erzeugt keinen globalen Fluss.
B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	RUNDE_ZWISCHENSTATION	DIRECT_VISIBLE|INHERITED_VISIBLE	mittlere f83r-Randfigur im Rundgefäß	B3	9	5	5	Einen runden Zwischenposten sammeln, einstellen und weitergeben.	B3-S005|B3-S006|B3-S007|B3-S008|B3-S009	Nur innerhalb dieses sichtbaren Besitzers verbinden; Besitzerwechsel erzeugt keinen globalen Fluss.
B3_LOWER_MARGIN_BASKET_VESSEL_STATION	KORB_SAMMELGEFAESS	DIRECT_VISIBLE|INHERITED_VISIBLE	untere f83r-Randfigur im korbartigen Gefäß	B3	16	7	7	Im korbartigen Gefäß sammeln, behandeln und abziehen.	B3-S010|B3-S011|B3-S012|B3-S013|B3-S014|B3-S015|B3-S016-O1	Nur innerhalb dieses sichtbaren Besitzers verbinden; Besitzerwechsel erzeugt keinen globalen Fluss.
B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	UNVERBUNDENER_UEBERGABEPOSTEN	UNRESOLVED	ungelöster f83r-Zwischenposten zwischen Randstapel und Hauptpaar	B3	27	14	11	Nach der sichtbaren Lücke einen neuen Übergabeposten beginnen; keine Leitung ergänzen.	B3-S016-O2|B3-S017|B3-S018|B3-S019|B3-S020|B3-S021-M01|B3-S021-M02|B3-S021-M03|B3-S022|B3-S023|B3-S024|B3-S025|B3-S026-M01|B3-S026-M02	Nur innerhalb dieses sichtbaren Besitzers verbinden; Besitzerwechsel erzeugt keinen globalen Fluss.
