from_card	relation	to_card	reading
cfhy	FIRST_SEPARATION_BEFORE	cphy	auswringen, stehen lassen, dann nachseihen
cphy	YIELDS	otytchol	nachseihen und auffangen
kchal	YIELDS	talam	abseihen und verwahren
shckhedy	YIELDS	solkey	geschlossen seihen, dann kurz auffangen
lcheckhedy	YIELDS	solkeey	lokal seihen, dann länger auffangen
solkeey	CLOSED_VARIANT	olkeedy|solkeedy	offenes Auffangen in geschlossenen Empfang überführen
otytchol	COOL_BEFORE	ody	Auffangprodukt abkühlen und schließen
ody	STORE_AFTER	talam	gekühltes Ergebnis verwahren
lcheey	TARGETS	qokeedal	benetzte Stelle länger behandeln
shedal	RESULT_AT	al|chal|cheal|dal|sal|tal	an der Stelle absetzen
