functional_family	joint_tuple_id	surface_family	occurrences	records	pages	short_value_de	workshop_function	architecture	surface_segmentation_required_for_family_membership	selection_prompt
TARGET_RESULT	5fca8fc3dee57e1d8c1f	lcheey	1	B2	f82r	benetzte Stelle	resulting wet target	WHOLE_CARD	NO	What target/result state is required?
TARGET_RESULT	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	B1|B2|B3|B4|B5|H5	f56r|f81v|f82r|f83r	Stelle	general target address	COMPONENT_CARD	NO	What target/result state is required?
TARGET_RESULT	93f69c38fdedee1598e9	qokeedal	1	B1	f81v	länger an der Stelle halten	graded target application	COMPOUND_CARD	NO	What target/result state is required?
TARGET_RESULT	abb23e5e6936b4147f76	shedal	2	B3|B5	f83r	an der Stelle absetzen	settling target	COMPOUND_CARD	NO	What target/result state is required?
SEPARATION	bdad9f9ea8b80f141496	cfhy	1	H3	f11r	auswringen	first mechanical separation	WHOLE_CARD	NO	Which separation act or instrument is required?
SEPARATION	deb377381ceaf55ea310	cphy	1	H3	f11r	nachseihen	second separation after standing	WHOLE_CARD	NO	Which separation act or instrument is required?
SEPARATION	75a523fcf039b006f97b	kchal	1	H5	f56r	abseihen	plain straining	WHOLE_CARD	NO	Which separation act or instrument is required?
SEPARATION	d68bc8de3bcee09db23c	shckhedy	3	B1|B4	f81v|f83r	seihen; Schluss	closed straining step	COMPOUND_CARD	NO	Which separation act or instrument is required?
SEPARATION	c1db6b0a28d5cbb5d3d2	lcheckhedy	1	B2	f82r	lokal seihen; Schluss	local closed straining step	COMPOUND_CARD	NO	Which separation act or instrument is required?
SEPARATION	2d2e37ccb2dacc53ee5a	solkaiin	1	B2	f82r	Seihtuch	straining instrument	WHOLE_CARD	NO	Which separation act or instrument is required?
RECEIVE_STORE	62ff059766b21c7de083	otytchol	1	H1	f10r	auffangen	catch separated result	WHOLE_CARD	NO	How is the result received or retained?
RECEIVE_STORE	42cdc187d5b9ffc60063	solkey	1	B4	f83r	kurz auffangen; offen	short open receiving	COMPOUND_CARD	NO	How is the result received or retained?
RECEIVE_STORE	1bfd786e6b8b63734a59	solkeey	1	B6	f83r	länger auffangen; offen	long open receiving	COMPOUND_CARD	NO	How is the result received or retained?
RECEIVE_STORE	3b70942557b3a40e8030	olkeedy|solkeedy	3	B1|B3	f81v|f83r	länger auffangen; Schluss	long closed receiving	COMPOUND_CARD	NO	How is the result received or retained?
RECEIVE_STORE	e026af581c99322fbd46	talam	1	H4	f55v	verwahren	store finished result	WHOLE_CARD	NO	How is the result received or retained?
RECEIVE_STORE	97cc9ac109148723c472	ody	1	H4	f55v	abkühlen; Schluss	cool before storage	WHOLE_CARD	NO	How is the result received or retained?
