scribe	step	rendered_surface_sequence	exact_card_sequence	decoded_command_de	same_step
S1_BARE	1	cho y	PROC052 | PROC019	Die Zutat als laufenden Posten nehmen.	YES
S1_BARE	2	dar chair aiin	PROC003 | PROC006 | PROC009	Aus der Quelle Wasser bis zum Sollmaß entnehmen.	YES
S1_BARE	3	os or oky	PROC005 | PROC016 | PROC008	Dazu den Ansatz nehmen und den Posten ansetzen.	YES
S1_BARE	4	cthy shey	PROC014 | PROC031	Den Posten bereiten und länger halten.	YES
S1_BARE	5	dchol okaiin ol	PROC034 | PROC038 | PROC013	Davon nach Sollmaß ansetzen und weiterarbeiten.	YES
S1_BARE	6	al tedy	PROC055 | PROC078	An der Zielstelle stehen lassen; den Schritt schließen.	YES
S2_CH	1	cho chey	PROC052 | PROC019	Die Zutat als laufenden Posten nehmen.	YES
S2_CH	2	char chair chaiin	PROC003 | PROC006 | PROC009	Aus der Quelle Wasser bis zum Sollmaß entnehmen.	YES
S2_CH	3	os chor choky	PROC005 | PROC016 | PROC008	Dazu den Ansatz nehmen und den Posten ansetzen.	YES
S2_CH	4	checthy cheey	PROC014 | PROC031	Den Posten bereiten und länger halten.	YES
S2_CH	5	dchol okaiin cheol	PROC034 | PROC038 | PROC013	Davon nach Sollmaß ansetzen und weiterarbeiten.	YES
S2_CH	6	cheal cheedy	PROC055 | PROC078	An der Zielstelle stehen lassen; den Schritt schließen.	YES
S3_Q_SH	1	sho shy	PROC052 | PROC019	Die Zutat als laufenden Posten nehmen.	YES
S3_Q_SH	2	sar chair saiin	PROC003 | PROC006 | PROC009	Aus der Quelle Wasser bis zum Sollmaß entnehmen.	YES
S3_Q_SH	3	os shor qoky	PROC005 | PROC016 | PROC008	Dazu den Ansatz nehmen und den Posten ansetzen.	YES
S3_Q_SH	4	shcthy shey	PROC014 | PROC031	Den Posten bereiten und länger halten.	YES
S3_Q_SH	5	schol qokaiin qol	PROC034 | PROC038 | PROC013	Davon nach Sollmaß ansetzen und weiterarbeiten.	YES
S3_Q_SH	6	sal shedy	PROC055 | PROC078	An der Zielstelle stehen lassen; den Schritt schließen.	YES
S4_D_T	1	cho dy	PROC052 | PROC019	Die Zutat als laufenden Posten nehmen.	YES
S4_D_T	2	dar chair daiin	PROC003 | PROC006 | PROC009	Aus der Quelle Wasser bis zum Sollmaß entnehmen.	YES
S4_D_T	3	os or oky	PROC005 | PROC016 | PROC008	Dazu den Ansatz nehmen und den Posten ansetzen.	YES
S4_D_T	4	cthy shey	PROC014 | PROC031	Den Posten bereiten und länger halten.	YES
S4_D_T	5	dchol okaiin tol	PROC034 | PROC038 | PROC013	Davon nach Sollmaß ansetzen und weiterarbeiten.	YES
S4_D_T	6	dal tedy	PROC055 | PROC078	An der Zielstelle stehen lassen; den Schritt schließen.	YES
