scribe	event_position	step	exact_card_id	component_recipe	rendered_surface	registered_surfaces	decoded_meaning_de	registered_and_same_meaning
S1_BARE	1	1	PROC052	HO	cho	cho|sho	ZUTAT	YES
S1_BARE	2	1	PROC019	Y	y	chey|chy|dy|shy|sy|y	POSTEN	YES
S1_BARE	3	2	PROC003	AR	dar	char|dar|sar	QUELLE	YES
S1_BARE	4	2	PROC006	CH+AIR	chair	chair	ENTNEHMEN · WASSER	YES
S1_BARE	5	2	PROC009	AIIN	aiin	aiin|chaiin|daiin|saiin|taiin	SOLLMASS	YES
S1_BARE	6	3	PROC005	OS	os	os	DAZU	YES
S1_BARE	7	3	PROC016	OR	or	chor|or|shor|sor	ANSATZ	YES
S1_BARE	8	3	PROC008	OK+Y	oky	choky|oky|qoky	ANSETZEN · POSTEN	YES
S1_BARE	9	4	PROC014	CTH+Y	cthy	checthy|cthy|shcthy	BEREITEN · POSTEN	YES
S1_BARE	10	4	PROC031	SH+EE+Y	shey	cheey|shey	HALTEN · LANG · POSTEN	YES
S1_BARE	11	5	PROC034	RESUME_CARD	dchol	dchol|schol	DAVON	YES
S1_BARE	12	5	PROC038	OK+AIIN	okaiin	okaiin|qokaiin	ANSETZEN · SOLLMASS	YES
S1_BARE	13	5	PROC013	OL	ol	cheol|chol|ol|qol|sol|tol	WEITER	YES
S1_BARE	14	6	PROC055	AL	al	al|chal|cheal|dal|sal|tal	ZIELSTELLE	YES
S1_BARE	15	6	PROC078	SHED+DY	tedy	cheedy|shedy|tedy	STEHENLASSEN · SCHLUSS	YES
S2_CH	1	1	PROC052	HO	cho	cho|sho	ZUTAT	YES
S2_CH	2	1	PROC019	Y	chey	chey|chy|dy|shy|sy|y	POSTEN	YES
S2_CH	3	2	PROC003	AR	char	char|dar|sar	QUELLE	YES
S2_CH	4	2	PROC006	CH+AIR	chair	chair	ENTNEHMEN · WASSER	YES
S2_CH	5	2	PROC009	AIIN	chaiin	aiin|chaiin|daiin|saiin|taiin	SOLLMASS	YES
S2_CH	6	3	PROC005	OS	os	os	DAZU	YES
S2_CH	7	3	PROC016	OR	chor	chor|or|shor|sor	ANSATZ	YES
S2_CH	8	3	PROC008	OK+Y	choky	choky|oky|qoky	ANSETZEN · POSTEN	YES
S2_CH	9	4	PROC014	CTH+Y	checthy	checthy|cthy|shcthy	BEREITEN · POSTEN	YES
S2_CH	10	4	PROC031	SH+EE+Y	cheey	cheey|shey	HALTEN · LANG · POSTEN	YES
S2_CH	11	5	PROC034	RESUME_CARD	dchol	dchol|schol	DAVON	YES
S2_CH	12	5	PROC038	OK+AIIN	okaiin	okaiin|qokaiin	ANSETZEN · SOLLMASS	YES
S2_CH	13	5	PROC013	OL	cheol	cheol|chol|ol|qol|sol|tol	WEITER	YES
S2_CH	14	6	PROC055	AL	cheal	al|chal|cheal|dal|sal|tal	ZIELSTELLE	YES
S2_CH	15	6	PROC078	SHED+DY	cheedy	cheedy|shedy|tedy	STEHENLASSEN · SCHLUSS	YES
S3_Q_SH	1	1	PROC052	HO	sho	cho|sho	ZUTAT	YES
S3_Q_SH	2	1	PROC019	Y	shy	chey|chy|dy|shy|sy|y	POSTEN	YES
S3_Q_SH	3	2	PROC003	AR	sar	char|dar|sar	QUELLE	YES
S3_Q_SH	4	2	PROC006	CH+AIR	chair	chair	ENTNEHMEN · WASSER	YES
S3_Q_SH	5	2	PROC009	AIIN	saiin	aiin|chaiin|daiin|saiin|taiin	SOLLMASS	YES
S3_Q_SH	6	3	PROC005	OS	os	os	DAZU	YES
S3_Q_SH	7	3	PROC016	OR	shor	chor|or|shor|sor	ANSATZ	YES
S3_Q_SH	8	3	PROC008	OK+Y	qoky	choky|oky|qoky	ANSETZEN · POSTEN	YES
S3_Q_SH	9	4	PROC014	CTH+Y	shcthy	checthy|cthy|shcthy	BEREITEN · POSTEN	YES
S3_Q_SH	10	4	PROC031	SH+EE+Y	shey	cheey|shey	HALTEN · LANG · POSTEN	YES
S3_Q_SH	11	5	PROC034	RESUME_CARD	schol	dchol|schol	DAVON	YES
S3_Q_SH	12	5	PROC038	OK+AIIN	qokaiin	okaiin|qokaiin	ANSETZEN · SOLLMASS	YES
S3_Q_SH	13	5	PROC013	OL	qol	cheol|chol|ol|qol|sol|tol	WEITER	YES
S3_Q_SH	14	6	PROC055	AL	sal	al|chal|cheal|dal|sal|tal	ZIELSTELLE	YES
S3_Q_SH	15	6	PROC078	SHED+DY	shedy	cheedy|shedy|tedy	STEHENLASSEN · SCHLUSS	YES
S4_D_T	1	1	PROC052	HO	cho	cho|sho	ZUTAT	YES
S4_D_T	2	1	PROC019	Y	dy	chey|chy|dy|shy|sy|y	POSTEN	YES
S4_D_T	3	2	PROC003	AR	dar	char|dar|sar	QUELLE	YES
S4_D_T	4	2	PROC006	CH+AIR	chair	chair	ENTNEHMEN · WASSER	YES
S4_D_T	5	2	PROC009	AIIN	daiin	aiin|chaiin|daiin|saiin|taiin	SOLLMASS	YES
S4_D_T	6	3	PROC005	OS	os	os	DAZU	YES
S4_D_T	7	3	PROC016	OR	or	chor|or|shor|sor	ANSATZ	YES
S4_D_T	8	3	PROC008	OK+Y	oky	choky|oky|qoky	ANSETZEN · POSTEN	YES
S4_D_T	9	4	PROC014	CTH+Y	cthy	checthy|cthy|shcthy	BEREITEN · POSTEN	YES
S4_D_T	10	4	PROC031	SH+EE+Y	shey	cheey|shey	HALTEN · LANG · POSTEN	YES
S4_D_T	11	5	PROC034	RESUME_CARD	dchol	dchol|schol	DAVON	YES
S4_D_T	12	5	PROC038	OK+AIIN	okaiin	okaiin|qokaiin	ANSETZEN · SOLLMASS	YES
S4_D_T	13	5	PROC013	OL	tol	cheol|chol|ol|qol|sol|tol	WEITER	YES
S4_D_T	14	6	PROC055	AL	dal	al|chal|cheal|dal|sal|tal	ZIELSTELLE	YES
S4_D_T	15	6	PROC078	SHED+DY	tedy	cheedy|shedy|tedy	STEHENLASSEN · SCHLUSS	YES
