component	short_value_de	source_class	literal_use_rule	owner_may_change_value	owner_may_supply_referent
OK	ANSETZEN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
CHD	UMSETZEN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
SH	HALTEN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
SHED	STEHENLASSEN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
CHK	WAERMEN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
CTH	BEREITEN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
SOLK	SAMMELN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
P	EINBRINGEN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
LSH	SPUELEN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
CFH	AUSPRESSEN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
CH	ENTNEHMEN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
T	BEARBEITEN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
K	ZUGEBEN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
S	PROBE	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
L	LEITEN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
OL	WEITER	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
OT	DANACH	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
AL	ZIELSTELLE	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
AR	QUELLE	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
AIR	WASSER	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
OR	ANSATZ	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
HO	ZUTAT	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
CKH	DURCHLASS	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
O	VORGANG	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
Y	DIES	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
AIN	PORTION	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
AIIN	SOLLMASS	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
IIN	STUFE	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
E	KURZ	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
EE	LANG	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
EEE	VOLL	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
R	KUEHLEN	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
AN	NACHGABE	BOUND_VALUE	emit this value exactly once per component token	NO	YES
DA	ZWEI	BOUND_VALUE	emit this value exactly once per component token	NO	YES
LD	BEFESTIGEN	BOUND_VALUE	emit this value exactly once per component token	NO	YES
DY	SCHLUSS	PRODUCTIVE_CORE	emit this value exactly once per component token	NO	YES
OS	DAZU	MEMORIZED_WHOLE	emit this value exactly once per component token	NO	YES
RESUME_CARD	DAVON	MEMORIZED_WHOLE	emit this value exactly once per component token	NO	YES
TALAM	BEISEITESTELLEN	MEMORIZED_WHOLE	emit this value exactly once per component token	NO	YES
