component_recipe	component_count	events	surface_types	surfaces	page_count	physical_pages	residual_drawer	current_short_reading_de	teaching_instruction_de
L	1	8	2	l|dl	4	f75r|f81v|f82r|f83r	BASIC_ABBREVIATION	entlang des Arbeitswegs führen	Als einzelnes Kürzel lesen, nicht als Ganzkarte memorieren.
OS	1	4	1	os	3	f10r|f55v|f67r2	BASIC_ABBREVIATION	dazu oder außerdem	Als einzelnes Kürzel lesen, nicht als Ganzkarte memorieren.
AIR	1	2	1	air	1	f67r2	BASIC_ABBREVIATION	Flüssigkeits- oder Stationslauf	Als einzelnes Kürzel lesen, nicht als Ganzkarte memorieren.
CH	1	2	1	ch	2	f55v|f75r	BASIC_ABBREVIATION	bezeichneten Anteil entnehmen	Als einzelnes Kürzel lesen, nicht als Ganzkarte memorieren.
OK	1	2	2	chok|ok	2	f56r|f75r	BASIC_ABBREVIATION	Arbeitsgang ansetzen	Als einzelnes Kürzel lesen, nicht als Ganzkarte memorieren.
CHD	1	1	1	ched	1	f83r	BASIC_ABBREVIATION	Arbeitsgut umsetzen	Als einzelnes Kürzel lesen, nicht als Ganzkarte memorieren.
CTH	1	1	1	cth	1	f10r	BASIC_ABBREVIATION	bis bereit führen	Als einzelnes Kürzel lesen, nicht als Ganzkarte memorieren.
K	1	1	1	k	1	f13r	BASIC_ABBREVIATION	Material zugeben	Als einzelnes Kürzel lesen, nicht als Ganzkarte memorieren.
OT	1	1	1	qot	1	f56r	BASIC_ABBREVIATION	danach oder nächster Posten	Als einzelnes Kürzel lesen, nicht als Ganzkarte memorieren.
RESUME_CARD	1	1	1	schol	1	f56r	BASIC_ABBREVIATION	vorigen Posten wieder aufnehmen	Als einzelnes Kürzel lesen, nicht als Ganzkarte memorieren.
SH	1	1	1	sh	1	f56r	BASIC_ABBREVIATION	Arbeitsgegenstand halten	Als einzelnes Kürzel lesen, nicht als Ganzkarte memorieren.
T	1	1	1	t	1	f56r	BASIC_ABBREVIATION	Arbeitsgang einstellen	Als einzelnes Kürzel lesen, nicht als Ganzkarte memorieren.
