frame_id	frozen_frame	action_position_ordinal	instantiated_t_frame	instantiated_r_frame	context_recipe	context_meaning_de	context_component_count	external_t_event_count	external_t_pages	external_t_registers	external_r_event_count	external_r_pages	external_r_registers	local_context_witness_count	local_context_positional_occurrence_count	local_context_page_count	local_context_pages	local_context_register_count	local_context_registers	local_t_nonempty_contact_count	local_t_contact_events	local_r_nonempty_contact_count	local_r_contact_events	local_support_class	replacement_edge_created
G489-F01	@ACTION	1	T	R	NONE	NONE	0	1	f56r	HERBAL	21	f1r|f24v|f56r|f67r2|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	0	0	0	NONE	0	NONE	0	NONE	0	NONE	EMPTY_CONTEXT_ACTION_BASELINE	NO
G489-F02	@ACTION+AIIN	1	T+AIIN	R+AIIN	AIIN	WERT	1	5	f10r|f81r|f82r|f89r|f95v	BIOLOGICAL|HERBAL|PHARMA	8	f76r|f77r|f82r|f95v	BIOLOGICAL|HERBAL	18	18	5	f71v|f72r|f77r|f88v|f89r	3	BIOLOGICAL|CELESTIAL|PHARMA	0	NONE	0	NONE	LOCAL_CONTEXT_ONLY	NO
G489-F03	@ACTION+AIN	1	T+AIN	R+AIN	AIN	ANTEIL	1	2	f77r|f89r	BIOLOGICAL|PHARMA	3	f76r|f81r|f82r	BIOLOGICAL	11	11	3	f71v|f72r|f89r	2	CELESTIAL|PHARMA	0	NONE	0	NONE	LOCAL_CONTEXT_ONLY	NO
G489-F04	@ACTION+AL	1	T+AL	R+AL	AL	ZIELORT	1	3	f71v|f77r|f83r	BIOLOGICAL|CELESTIAL	2	f81v|f88r	BIOLOGICAL|PHARMA	48	51	5	f71v|f72r|f77r|f88v|f89r	3	BIOLOGICAL|CELESTIAL|PHARMA	0	NONE	0	NONE	LOCAL_CONTEXT_ONLY	NO
G489-F05	@ACTION+AL+Y	1	T+AL+Y	R+AL+Y	AL+Y	ZIELORT · POSTEN	2	1	f72r	CELESTIAL	1	f83r	BIOLOGICAL	12	12	3	f71v|f72r|f89r	2	CELESTIAL|PHARMA	0	NONE	0	NONE	LOCAL_CONTEXT_ONLY	NO
G489-F06	@ACTION+CH+E+Y	1	T+CH+E+Y	R+CH+E+Y	CH+E+Y	NEHMEN · GRAD I · POSTEN	3	1	f1r	SOURCE_SECTION_T	1	f82r	BIOLOGICAL	1	1	1	f72r	1	CELESTIAL	0	NONE	0	NONE	LOCAL_CONTEXT_ONLY	NO
G489-F07	@ACTION+CHD+Y	1	T+CHD+Y	R+CHD+Y	CHD+Y	BEARBEITEN · POSTEN	2	5	f75r|f83r|f95v	BIOLOGICAL|HERBAL	2	f82r|f83r	BIOLOGICAL	0	0	0	NONE	0	NONE	0	NONE	0	NONE	ABSENT_LOCAL_CONTEXT	NO
G489-F08	@ACTION+OL	1	T+OL	R+OL	OL	FORTSETZEN	1	7	f11r|f1r|f56r|f83r|f88v|f89r	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	4	f75r|f76r|f81v	BIOLOGICAL	26	28	5	f71v|f72r|f77r|f88v|f89r	3	BIOLOGICAL|CELESTIAL|PHARMA	0	NONE	0	NONE	LOCAL_CONTEXT_ONLY	NO
G489-F09	@ACTION+OR+Y	1	T+OR+Y	R+OR+Y	OR+Y	EINHEIT · POSTEN	2	1	f13r	HERBAL	1	f76r	BIOLOGICAL	2	2	2	f72r|f89r	2	CELESTIAL|PHARMA	0	NONE	0	NONE	LOCAL_CONTEXT_ONLY	NO
G489-F10	@ACTION+Y	1	T+Y	R+Y	Y	POSTEN	1	3	f10r|f13r|f83r	BIOLOGICAL|HERBAL	2	f75r|f82r	BIOLOGICAL	40	42	4	f71v|f72r|f88v|f89r	2	CELESTIAL|PHARMA	1	G485-E133	0	NONE	LOCAL_CONTEXT_AND_T_CONTACT	NO
G489-F11	CH+@ACTION	2	CH+T	CH+R	CH	NEHMEN	1	1	f10r	HERBAL	1	f77r	BIOLOGICAL	10	10	4	f71v|f72r|f88v|f89r	2	CELESTIAL|PHARMA	2	G485-E118|G485-E133	0	NONE	LOCAL_CONTEXT_AND_T_CONTACT	NO
