surface	component_recipe	atomic_pocket_gloss_de	workshop_composition_de	image_composition_de	events	physical_pages	registers	observed_channels	channel_class	event_ids	visible_owner_examples
daiin	AIIN	SOLLWERT	Sollmaß	verzeichneter Sollwert	51	f10r|f11r|f13r|f55v|f56r|f67r2|f70v|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0017|P912-E0022|P912-E0058|P912-E0069|P912-E0090|P912-E0105|P912-E0109|P912-E0118|P912-E0124|P912-E0130|P912-E0135|P912-E0147|P912-E0169|P912-E0196|P912-E0218|P912-E0264|P912-E0268|P912-E0326|P912-E0333|P912-E0370|P912-E0375|P912-E0402|P912-E0439|P912-E0882|P912-E0898|P912-E0901|P912-E0907|P912-E0923|P912-E0925|P912-E0934|P912-E0942|P912-E0986|P912-E1115|P912-E1119|P912-E1226|P912-E1275|P912-E1279|P912-E1298|P912-E1426|P912-E1436|P912-E1711|P912-E1741|P912-E1793|P912-E1838|P912-E1854|P912-E1882|P912-E2164|P912-E2197|P912-E2304|P912-E2382|P912-E2430	abgebildeter Pflanzenartikel f10r|abgebildeter Pflanzenartikel f11r|grosse abgebildete Pflanze mit Knollenwurzel|abgebildeter Pflanzenartikel f55v|abgebildeter Pflanzenartikel f56r|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen|zwei lokale Himmelsraeder|Widderrad mit Stern tragenden Figuren|Fischrad mit Stern tragenden Figuren|drei Gefaesse mit Wurzel- und Blattreihen
shedy	SHED+DY	ABSETZEN + ENDE	absetzen lassen; Arbeitsschritt schließen	Absetzklasse; Bildeintrag schließen	46	f75r|f81v|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0446|P912-E0535|P912-E0575|P912-E0594|P912-E0599|P912-E0673|P912-E0714|P912-E0721|P912-E0728|P912-E0732|P912-E0734|P912-E0738|P912-E0761|P912-E0791|P912-E0793|P912-E0844|P912-E0931|P912-E0968|P912-E1001|P912-E1013|P912-E1024|P912-E1031|P912-E1068|P912-E1152|P912-E1163|P912-E1251|P912-E1252|P912-E1269|P912-E1273|P912-E1341|P912-E1363|P912-E1409|P912-E1438|P912-E1446|P912-E1499|P912-E1519|P912-E1529|P912-E1563|P912-E1574|P912-E1577|P912-E1611|P912-E1622|P912-E1633|P912-E1644|P912-E1689|P912-E1717	mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen
chedy	CHD+Y	WECHSEL + DIES	Arbeitsgut umsetzen; dieser Arbeitsgegenstand	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	43	f55v|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0245|P912-E0265|P912-E0284|P912-E0444|P912-E0495|P912-E0499|P912-E0572|P912-E0586|P912-E0633|P912-E0637|P912-E0701|P912-E0711|P912-E0741|P912-E0846|P912-E0912|P912-E0992|P912-E0998|P912-E1011|P912-E1041|P912-E1051|P912-E1062|P912-E1086|P912-E1092|P912-E1148|P912-E1177|P912-E1192|P912-E1243|P912-E1282|P912-E1420|P912-E1433|P912-E1440|P912-E1456|P912-E1474|P912-E1550|P912-E1593|P912-E1603|P912-E1616|P912-E1627|P912-E1636|P912-E1709|P912-E1713|P912-E1730|P912-E2308	abgebildeter Pflanzenartikel f55v|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen|Fischrad mit Stern tragenden Figuren
qokedy	OK+E+DY	START + KURZ + ENDE	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsschritt schließen	Bildplatz aktivieren; erster Grad; Bildeintrag schließen	38	f75r|f81v|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0512|P912-E0551|P912-E0552|P912-E0553|P912-E0554|P912-E0724|P912-E0771|P912-E0774|P912-E0780|P912-E0781|P912-E0805|P912-E0820|P912-E0840|P912-E0842|P912-E0869|P912-E0969|P912-E0989|P912-E1025|P912-E1026|P912-E1042|P912-E1171|P912-E1187|P912-E1221|P912-E1245|P912-E1267|P912-E1434|P912-E1467|P912-E1478|P912-E1503|P912-E1515|P912-E1523|P912-E1583|P912-E1586|P912-E1590|P912-E1596|P912-E1612|P912-E1626|P912-E1643	mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen
qokeedy	OK+EE+DY	START + LANG + ENDE	Arbeitsgang ansetzen; länger oder gehalten; Arbeitsschritt schließen	Bildplatz aktivieren; zweiter Grad; Bildeintrag schließen	38	f75r|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0473|P912-E0490|P912-E0528|P912-E0531|P912-E0655|P912-E0658|P912-E0689|P912-E0700|P912-E0766|P912-E0775|P912-E0778|P912-E0779|P912-E0782|P912-E0785|P912-E0786|P912-E0798|P912-E0806|P912-E1125|P912-E1145|P912-E1204|P912-E1222|P912-E1229|P912-E1231|P912-E1247|P912-E1264|P912-E1303|P912-E1324|P912-E1335|P912-E1338|P912-E1342|P912-E1352|P912-E1366|P912-E1457|P912-E1528|P912-E1601|P912-E1623|P912-E1637|P912-E1653	mehrstufige Becken-, Figuren- und Laufseite|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen
dy	Y	DIES	dieser Arbeitsgegenstand	dieser Bildplatz	37	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f75r|f81v|f82r	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0028|P912-E0029|P912-E0049|P912-E0076|P912-E0123|P912-E0151|P912-E0155|P912-E0206|P912-E0372|P912-E0432|P912-E0469|P912-E0524|P912-E0532|P912-E0546|P912-E0561|P912-E0657|P912-E0678|P912-E0693|P912-E0772|P912-E0801|P912-E0828|P912-E0893|P912-E0897|P912-E1124|P912-E1225|P912-E1228|P912-E1791|P912-E1845|P912-E1869|P912-E1884|P912-E2029|P912-E2065|P912-E2069|P912-E2114|P912-E2135|P912-E2185|P912-E2260	abgebildeter Pflanzenartikel f10r|abgebildeter Pflanzenartikel f11r|grosse abgebildete Pflanze mit Knollenwurzel|abgebildeter Pflanzenartikel f56r|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|zwei lokale Himmelsraeder|drei getrennte heterogene Himmelsraeder|Widderrad mit Stern tragenden Figuren|Fischrad mit Stern tragenden Figuren
ol	OL	WEITER	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	36	f55v|f69v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0248|P912-E0305|P912-E0315|P912-E0480|P912-E0543|P912-E0627|P912-E0652|P912-E0662|P912-E0665|P912-E0696|P912-E0753|P912-E0864|P912-E0874|P912-E0878|P912-E0894|P912-E0911|P912-E0921|P912-E0966|P912-E0993|P912-E1003|P912-E1012|P912-E1021|P912-E1023|P912-E1030|P912-E1089|P912-E1095|P912-E1235|P912-E1369|P912-E1387|P912-E1706|P912-E1736|P912-E1740|P912-E1742|P912-E2072|P912-E2451|P912-E2458	abgebildeter Pflanzenartikel f55v|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen|drei getrennte heterogene Himmelsraeder|drei Gefaesse mit Wurzel- und Blattreihen
qokain	OK+AIN	START + EINHEIT	Arbeitsgang ansetzen; Portion	Bildplatz aktivieren; Einheit oder Index	30	f55v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0257|P912-E0455|P912-E0488|P912-E0505|P912-E0522|P912-E0555|P912-E0560|P912-E0563|P912-E0565|P912-E0569|P912-E0585|P912-E0611|P912-E0621|P912-E0632|P912-E0646|P912-E0707|P912-E0729|P912-E0742|P912-E0756|P912-E0758|P912-E0762|P912-E0792|P912-E0813|P912-E0909|P912-E1015|P912-E1123|P912-E1214|P912-E1374|P912-E1551|P912-E1694	abgebildeter Pflanzenartikel f55v|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen
chey	Y	DIES	dieser Arbeitsgegenstand	dieser Bildplatz	29	f55v|f56r|f69v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0297|P912-E0354|P912-E0397|P912-E0425|P912-E0476|P912-E0502|P912-E0616|P912-E0623|P912-E0722|P912-E1020|P912-E1090|P912-E1213|P912-E1238|P912-E1280|P912-E1299|P912-E1346|P912-E1384|P912-E1391|P912-E1425|P912-E1427|P912-E1540|P912-E1691|P912-E1744|P912-E2022|P912-E2075|P912-E2081|P912-E2106|P912-E2483|P912-E2491	abgebildeter Pflanzenartikel f55v|abgebildeter Pflanzenartikel f56r|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen|drei getrennte heterogene Himmelsraeder|drei Gefaesse mit Wurzel- und Blattreihen
aiin	AIIN	SOLLWERT	Sollmaß	verzeichneter Sollwert	27	f10r|f55v|f56r|f67r2|f69v|f70v|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0036|P912-E0247|P912-E0300|P912-E0307|P912-E0320|P912-E0332|P912-E0431|P912-E0917|P912-E1237|P912-E1328|P912-E1489|P912-E1494|P912-E1666|P912-E1680|P912-E1727|P912-E1816|P912-E1855|P912-E1860|P912-E1872|P912-E1932|P912-E2057|P912-E2250|P912-E2359|P912-E2385|P912-E2441|P912-E2444|P912-E2478	abgebildeter Pflanzenartikel f10r|abgebildeter Pflanzenartikel f55v|abgebildeter Pflanzenartikel f56r|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen|zwei lokale Himmelsraeder|drei getrennte heterogene Himmelsraeder|Fischrad mit Stern tragenden Figuren|drei Gefaesse mit Wurzel- und Blattreihen
