component	spoken_workshop_word_de	module_id	case_count	case_ids	event_counts_by_case	unique_to_one_case	branch_contribution_de
AIR	FLUESSIGKEITSLAUF	M03	3	C1|C3|C4	C1:2|C3:2|C4:1	NO	sichtbaren oder gedachten Fluessigkeitslauf als Transferpfad benutzen
AN	NACHPORTION	M01	1	C4	C4:1	YES	nach der ersten Portion eine zweite Portion ansetzen
CFH	AUSWRINGEN	M03	1	C3	C3:1	YES	bereiteten Stoff ausdruecken oder auswringen
CTH	BEREIT	M07	3	C1|C2|C3	C1:2|C2:5|C3:8	NO	einen ausdruecklichen Bereitzustand verlangen
DA	ZWEITMARKER	M01	1	C5	C5:1	YES	einen zweiten Einsatz oder zweite Stufe markieren
EEE	VOLL	M02	2	C2|C3	C2:1|C3:1	NO	eine Behandlung bis zum Vollgrad fuehren
HO	ZUTAT	M02	1	C5	C5:8	YES	wiederholt weitere Zutat in den aktiven Ansatz bringen
LD	BEFESTIGEN	M03	1	C4	C4:1	YES	den angesetzten Posten an der Zielstelle festmachen
LSH	WASCHEN	M02	1	C1	C1:3	YES	einen ausdruecklichen Waschgang ausfuehren
OS	ARBEITSFACH	M03	1	C1	C1:1	YES	ein bestimmtes Arbeitsfach adressieren
P	EINFUELLEN	M03	2	C2|C3	C2:1|C3:2	NO	Bestand in einen lokalen Empfaenger fuellen
R	KUEHLEN	M04	3	C1|C2|C3	C1:2|C2:2|C3:1	NO	Arbeitsbestand vor dem naechsten Schritt kuehlen
RESUME_CARD	WIEDERAUFNEHMEN	M06	2	C3|C5	C3:1|C5:1	NO	einen frueheren Arbeitsfaden wieder aufnehmen
S	TEILEN	M01	1	C2	C2:1	YES	Charge oder Portion in getrennte Teile gliedern
T	EINTRAGEN	M03	3	C1|C3|C4	C1:4|C3:5|C4:1	NO	aktiven Posten in Fach oder Ablauf eintragen
TALAM	VERWAHREN	M08	1	C4	C4:1	YES	fertigen oder befestigten Posten verwahren
