teaching_order	module_id	phase_name_de	case_id	case_title_de	prepare_statements	operate_apply_statements	total_statements	phase_present	statement_ids	phase_reading_de
1	M01	DOSIEREN	C1	Grundauszug und mildes gemeinsames Bad	1	2	3	YES	H1-S001|B1-S002|B1-S006	Sollmass, Portion, Nachportion oder Arbeitsstufe setzen
1	M01	DOSIEREN	C2	Nach- oder Spuelauszug und mehrstufige Behandlung	1	6	7	YES	H2-S003|B2-S003|B2-S005|B2-S008|B2-S011|B2-S012|B2-S016	Sollmass, Portion, Nachportion oder Arbeitsstufe setzen
1	M01	DOSIEREN	C3	Bluetenauszug und Eintauch-/Waschfolge	2	7	9	YES	H3-S001|H3-S003|B3-S004|B3-S007|B3-S013|B3-S021|B3-S026|B3-S030|B3-S034	Sollmass, Portion, Nachportion oder Arbeitsstufe setzen
1	M01	DOSIEREN	C4	Temperierte Portion und Kontakt-/Auflagefolge	3	5	8	YES	H4-S001|H4-S003|H4-S004|B4-S005|B4-S008|B4-S011|B4-S015|B4-S016	Sollmass, Portion, Nachportion oder Arbeitsstufe setzen
1	M01	DOSIEREN	C5	Konzentrat und linker Transfer-/Haltegang	3	0	3	YES	H5-S001|H5-S005|H5-S006	Sollmass, Portion, Nachportion oder Arbeitsstufe setzen
2	M02	ANSETZEN_BEHANDELN	C1	Grundauszug und mildes gemeinsames Bad	2	9	11	YES	H1-S001|H1-S002|B1-S001|B1-S002|B1-S006|B1-S009|B1-S010|B1-S011|B1-S012|B1-S015|B1-S016	aktiven Posten ansetzen oder behandeln
2	M02	ANSETZEN_BEHANDELN	C2	Nach- oder Spuelauszug und mehrstufige Behandlung	0	11	11	YES	B2-S003|B2-S004|B2-S005|B2-S006|B2-S010|B2-S011|B2-S012|B2-S015|B2-S016|B2-S018|B2-S021	aktiven Posten ansetzen oder behandeln
2	M02	ANSETZEN_BEHANDELN	C3	Bluetenauszug und Eintauch-/Waschfolge	1	15	16	YES	H3-S004|B3-S004|B3-S006|B3-S007|B3-S009|B3-S011|B3-S013|B3-S014|B3-S017|B3-S019|B3-S021|B3-S026|B3-S028|B3-S029|B3-S030|B3-S031	aktiven Posten ansetzen oder behandeln
2	M02	ANSETZEN_BEHANDELN	C4	Temperierte Portion und Kontakt-/Auflagefolge	2	8	10	YES	H4-S001|H4-S004|B4-S001|B4-S002|B4-S003|B4-S004|B4-S005|B4-S008|B4-S011|B4-S015	aktiven Posten ansetzen oder behandeln
2	M02	ANSETZEN_BEHANDELN	C5	Konzentrat und linker Transfer-/Haltegang	5	0	5	YES	H5-S001|H5-S002|H5-S003|H5-S004|H5-S005	aktiven Posten ansetzen oder behandeln
3	M03	ADRESSIEREN_WEITERLEITEN	C1	Grundauszug und mildes gemeinsames Bad	1	14	15	YES	H1-S001|B1-S002|B1-S003|B1-S004|B1-S005|B1-S006|B1-S007|B1-S011|B1-S014|B1-S015|B1-S016|B1-S017|B1-S018|B1-S020|B1-S021	Vorrat, Lauf, Kanal, Zielstelle oder Fach waehlen und bewegen
3	M03	ADRESSIEREN_WEITERLEITEN	C2	Nach- oder Spuelauszug und mehrstufige Behandlung	1	13	14	YES	H2-S002|B2-S001|B2-S002|B2-S004|B2-S005|B2-S006|B2-S008|B2-S011|B2-S012|B2-S013|B2-S014|B2-S016|B2-S017|B2-S022	Vorrat, Lauf, Kanal, Zielstelle oder Fach waehlen und bewegen
3	M03	ADRESSIEREN_WEITERLEITEN	C3	Bluetenauszug und Eintauch-/Waschfolge	1	23	24	YES	H3-S001|B3-S002|B3-S003|B3-S004|B3-S005|B3-S006|B3-S007|B3-S008|B3-S010|B3-S011|B3-S014|B3-S015|B3-S016|B3-S020|B3-S021|B3-S022|B3-S023|B3-S024|B3-S025|B3-S026|B3-S030|B3-S032|B3-S033|B3-S034	Vorrat, Lauf, Kanal, Zielstelle oder Fach waehlen und bewegen
3	M03	ADRESSIEREN_WEITERLEITEN	C4	Temperierte Portion und Kontakt-/Auflagefolge	3	9	12	YES	H4-S002|H4-S003|H4-S004|B4-S003|B4-S005|B4-S006|B4-S007|B4-S011|B4-S012|B4-S014|B4-S015|B4-S016	Vorrat, Lauf, Kanal, Zielstelle oder Fach waehlen und bewegen
3	M03	ADRESSIEREN_WEITERLEITEN	C5	Konzentrat und linker Transfer-/Haltegang	4	3	7	YES	H5-S001|H5-S002|H5-S004|H5-S005|B5-S001|B5-S002|B5-S003	Vorrat, Lauf, Kanal, Zielstelle oder Fach waehlen und bewegen
4	M04	HALTEN_ABSETZEN	C1	Grundauszug und mildes gemeinsames Bad	0	8	8	YES	B1-S002|B1-S003|B1-S004|B1-S008|B1-S016|B1-S018|B1-S019|B1-S020	Posten halten, gradieren oder absetzen
4	M04	HALTEN_ABSETZEN	C2	Nach- oder Spuelauszug und mehrstufige Behandlung	0	9	9	YES	B2-S006|B2-S007|B2-S008|B2-S009|B2-S010|B2-S012|B2-S015|B2-S017|B2-S019	Posten halten, gradieren oder absetzen
