component	spoken_workshop_word_de	sentence_role	c1_events	c2_events	c3_events	c4_events	c5_events	total_events	core_status
AIIN	SOLLMASS	QUANTITY	4	11	13	7	3	38	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
AIN	PORTION	QUANTITY	3	3	3	7	1	17	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
AL	ZIELSTELLE	TARGET	9	6	12	4	6	37	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
AR	VORRAT	SOURCE	3	5	3	2	1	14	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
CH	ABNEHMEN	ACTION	4	5	1	2	4	16	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
CHD	UMSETZEN	ACTION	9	7	22	6	4	48	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
DY	SCHLUSS	CLOSE	17	19	32	18	3	89	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
E	KURZ	GRADE	15	11	10	9	3	48	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
EE	LANG	GRADE	3	15	11	9	1	39	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
K	ZUDOSIEREN	ACTION	4	2	2	7	5	20	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
L	WEITERLEITEN	ACTION	4	10	8	3	1	26	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
O	ARBEITSGANG	PROCESS	3	5	5	3	3	19	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
OK	ANSETZEN	ACTION	15	22	21	14	8	80	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
OL	FORTSETZEN	SEQUENCE	18	9	5	9	5	46	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
OR	ANSATZ	PREPARATION	2	8	2	3	2	17	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
OT	DANACH	SEQUENCE	3	6	11	2	4	26	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
SH	HALTEN	ACTION	4	7	9	4	1	25	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
SHED	ABSETZEN	ACTION	4	2	4	4	1	15	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
Y	ARBEITSPOSTEN	ITEM	21	30	36	24	10	121	PRESENT_IN_ALL_FIVE_COMPLETE_CASES
