event_id	physical_page	locus	surface	component_recipe	component_slots	collapsed_slot_pattern	portable_atomic_reading_de	compact_layer
P912-E0001	f10r	f10r.1	pchocthy	P+CH+O+CTH+Y	ACTION+ACTION+ACTION+ACTION+REFERENT	ACTION>REFERENT	EINSETZEN · NEHMEN · AUSFÜHREN · BEREIT · DIES	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0002	f10r	f10r.1	shor	SH+OR	ACTION+ARGUMENT	ACTION>ARGUMENT	HALTEN · SATZ	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0003	f10r	f10r.1	octhody	O+CTH+O+D_ADDR+Y	ACTION+ACTION+ACTION+ARGUMENT+REFERENT	ACTION>ARGUMENT>REFERENT	AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · DIES	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0004	f10r	f10r.1	chorchy	CH+OR+CH+Y	ACTION+ARGUMENT+ACTION+REFERENT	ACTION>ARGUMENT>ACTION>REFERENT	NEHMEN · SATZ · NEHMEN · DIES	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0005	f10r	f10r.1	pchodol	P+CH+O+D_ADDR+OL	ACTION+ACTION+ACTION+ARGUMENT+ORDER	ACTION>ARGUMENT>ORDER	EINSETZEN · NEHMEN · AUSFÜHREN · TEIL · FORTSETZEN	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0006	f10r	f10r.1	chopchal	CH+O+P+CH+AL	ACTION+ACTION+ACTION+ACTION+ARGUMENT	ACTION>ARGUMENT	NEHMEN · AUSFÜHREN · EINSETZEN · NEHMEN · ZIEL	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0007	f10r	f10r.1	ypch	Y+P+CH	REFERENT+ACTION+ACTION	REFERENT>ACTION	DIES · EINSETZEN · NEHMEN	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0008	f10r	f10r.1	kom	K+O+M_LOCAL	ACTION+ACTION+ARGUMENT	ACTION>ARGUMENT	GEBEN · AUSFÜHREN · MITTE	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0009	f10r	f10r.2	dchey	CH+E+Y	ACTION+GRADE+REFERENT	ACTION>GRADE>REFERENT	NEHMEN · KURZ · DIES	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0010	f10r	f10r.2	cthoor	CTH+O+OR	ACTION+ACTION+ARGUMENT	ACTION>ARGUMENT	BEREIT · AUSFÜHREN · SATZ	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0011	f10r	f10r.2	char	AR	ARGUMENT	ARGUMENT	QUELLE	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0012	f10r	f10r.2	chty	CH+T+Y	ACTION+ACTION+REFERENT	ACTION>REFERENT	NEHMEN · EINSTELLEN · DIES	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0013	f10r	f10r.2	os	OS	ARGUMENT	ARGUMENT	DAZU	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0014	f10r	f10r.2	chair	CH+AIR	ACTION+ARGUMENT	ACTION>ARGUMENT	NEHMEN · LAUF	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0015	f10r	f10r.2	otytchol	OT+Y+T+CH+OL	ORDER+REFERENT+ACTION+ACTION+ORDER	ORDER>REFERENT>ACTION>ORDER	DANACH · DIES · EINSTELLEN · NEHMEN · FORTSETZEN	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0016	f10r	f10r.2	oky	OK+Y	ACTION+REFERENT	ACTION>REFERENT	SETZEN · DIES	LEARNED_FORMULA_CARD
P912-E0017	f10r	f10r.2	daiin	AIIN	ARGUMENT	ARGUMENT	SOLLWERT	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0018	f10r	f10r.2	etyd	E+T+Y	GRADE+ACTION+REFERENT	GRADE>ACTION>REFERENT	KURZ · EINSTELLEN · DIES	PRODUCTIVE_ABBREVIATION_COMPOSITION
P912-E0019	f10r	f10r.3	qotor	OT+OR	ORDER+ARGUMENT	ORDER>ARGUMENT	DANACH · SATZ	LEARNED_FORMULA_CARD
