component	portable_core_de	primary_slot	slot_function_de
Y	DIES	REFERENT	aktuell sichtbaren Posten offen halten
OK	SETZEN	ACTION	Handlung, Auswahl oder Transfer ausführen
E	KURZ	GRADE	Stufe, Dauer oder Vollständigkeit modifizieren
DY	SCHLIESSEN	CLOSE	Teilgang schließen
O	AUSFÜHREN	ACTION	Handlung, Auswahl oder Transfer ausführen
OL	FORTSETZEN	ORDER	Reihe oder Folge setzen
EE	LÄNGER	GRADE	Stufe, Dauer oder Vollständigkeit modifizieren
OT	DANACH	ORDER	Reihe oder Folge setzen
AL	ZIEL	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
CH	NEHMEN	ACTION	Handlung, Auswahl oder Transfer ausführen
D_ADDR	TEIL	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
SH	HALTEN	ACTION	Handlung, Auswahl oder Transfer ausführen
AR	QUELLE	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
K	GEBEN	ACTION	Handlung, Auswahl oder Transfer ausführen
AIIN	SOLLWERT	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
S	AUSWÄHLEN	ACTION	Handlung, Auswahl oder Transfer ausführen
CHD	UMSETZEN	ACTION	Handlung, Auswahl oder Transfer ausführen
OR	SATZ	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
L	LEITEN	ACTION	Handlung, Auswahl oder Transfer ausführen
T	EINSTELLEN	ACTION	Handlung, Auswahl oder Transfer ausführen
AIN	EINHEIT	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
R	MARKIEREN	ACTION	Handlung, Auswahl oder Transfer ausführen
P	EINSETZEN	ACTION	Handlung, Auswahl oder Transfer ausführen
CTH	BEREIT	ACTION	Handlung, Auswahl oder Transfer ausführen
SHED	ABSETZEN	ACTION	Handlung, Auswahl oder Transfer ausführen
CKH	DURCHLASS	ACTION	Handlung, Auswahl oder Transfer ausführen
AM_ADDR	INNEN	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
CHEO	AUSZUG	ACTION	Handlung, Auswahl oder Transfer ausführen
DA	ZWEIT	GRADE	Stufe, Dauer oder Vollständigkeit modifizieren
CARRIER_Q	BEGINNEN	FRAME	Karte aufnehmen oder wiederaufnehmen
A_ADDR	ORT	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
AIR	LAUF	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
CHK	BEHANDELN	ACTION	Handlung, Auswahl oder Transfer ausführen
IIN	STUFE	GRADE	Stufe, Dauer oder Vollständigkeit modifizieren
S_ADDR	STERNORT	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
SOLK	AUFFANGEN	ACTION	Handlung, Auswahl oder Transfer ausführen
EEE	VOLL	GRADE	Stufe, Dauer oder Vollständigkeit modifizieren
LSH	SPÜLEN	ACTION	Handlung, Auswahl oder Transfer ausführen
LOCAL_CHAR_F	NEBENWEG	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
CPH	UMLEITEN	ACTION	Handlung, Auswahl oder Transfer ausführen
HO	TEILSTOFF	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
AN	ZUSATZ	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
G_LABEL	PRÜFEN	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
CFH	TRENNEN	ACTION	Handlung, Auswahl oder Transfer ausführen
LOCAL_CHAR_G	EINMAL	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
LOCAL_CHAR_I	UNTERSTUFE	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
OS	DAZU	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
D_LABEL	RAND	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
S_LABEL	RAHMEN	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
LOCAL_CHAR_B	PAAR	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
M_LOCAL	MITTE	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
Z_ADDR	AUSSEN	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
LD	BEFESTIGEN	ACTION	Handlung, Auswahl oder Transfer ausführen
LOCAL_CHAR_J	VERBINDEN	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
LOCAL_CHAR_Z	ZWISCHEN	ARGUMENT	Quelle, Menge, Ziel, Stoff oder lokale Adresse einsetzen
RESUME_CARD	WIEDER	FRAME	Karte aufnehmen oder wiederaufnehmen
