rank	slot_pattern	events	distinct_component_recipes	event_percent	cumulative_percent	teaching_status
1	ACTION>ARGUMENT	332	126	13.22	13.22	CORE_PATTERN
2	ARGUMENT	265	31	10.55	23.78	CORE_PATTERN
3	ACTION>REFERENT	214	55	8.52	32.30	CORE_PATTERN
4	ACTION>GRADE>REFERENT	156	40	6.21	38.51	CORE_PATTERN
5	ACTION>GRADE>CLOSE	148	24	5.89	44.40	CORE_PATTERN
6	ACTION	120	38	4.78	49.18	CORE_PATTERN
7	REFERENT	119	2	4.74	53.92	CORE_PATTERN
8	ACTION>CLOSE	101	13	4.02	57.95	CORE_PATTERN
9	ORDER	94	4	3.74	61.69	CORE_PATTERN
10	ORDER>ARGUMENT	83	23	3.31	64.99	CORE_PATTERN
11	ACTION>ORDER	50	15	1.99	66.99	CORE_PATTERN
12	ORDER>REFERENT	39	3	1.55	68.54	CORE_PATTERN
13	ACTION>GRADE>ARGUMENT	39	32	1.55	70.09	CORE_PATTERN
14	ACTION>GRADE>ACTION>REFERENT	31	23	1.23	71.33	CORE_PATTERN
15	REFERENT>ACTION>ARGUMENT	28	16	1.12	72.44	CORE_PATTERN
16	ARGUMENT>REFERENT	25	15	1.00	73.44	CORE_PATTERN
17	ACTION>GRADE>ACTION	25	21	1.00	74.43	CORE_PATTERN
18	ACTION>ARGUMENT>REFERENT	24	21	0.96	75.39	CORE_PATTERN
19	ORDER>GRADE>CLOSE	24	2	0.96	76.34	CORE_PATTERN
20	ACTION>GRADE>ORDER	21	10	0.84	77.18	CORE_PATTERN
21	ARGUMENT>ACTION>ARGUMENT	19	17	0.76	77.94	EXTENDED_PATTERN
22	ACTION>GRADE>ARGUMENT>REFERENT	18	11	0.72	78.65	EXTENDED_PATTERN
23	ACTION>GRADE>ACTION>ARGUMENT	17	13	0.68	79.33	EXTENDED_PATTERN
24	ORDER>ACTION>CLOSE	16	4	0.64	79.97	EXTENDED_PATTERN
25	REFERENT>ACTION>REFERENT	14	6	0.56	80.53	EXTENDED_PATTERN
26	ORDER>ACTION>ARGUMENT	14	10	0.56	81.08	EXTENDED_PATTERN
27	ORDER>CLOSE	14	1	0.56	81.64	EXTENDED_PATTERN
28	ORDER>GRADE>REFERENT	14	2	0.56	82.20	EXTENDED_PATTERN
29	REFERENT>ACTION>GRADE>REFERENT	13	7	0.52	82.72	EXTENDED_PATTERN
30	ACTION>GRADE>ACTION>ARGUMENT>REFERENT	13	9	0.52	83.23	EXTENDED_PATTERN
31	ACTION>ARGUMENT>ACTION	12	12	0.48	83.71	EXTENDED_PATTERN
32	ORDER>GRADE>ARGUMENT	12	9	0.48	84.19	EXTENDED_PATTERN
33	ACTION>ARGUMENT>ACTION>REFERENT	9	8	0.36	84.55	EXTENDED_PATTERN
34	REFERENT>ACTION	8	7	0.32	84.87	EXTENDED_PATTERN
35	ORDER>ACTION>REFERENT	8	6	0.32	85.19	EXTENDED_PATTERN
36	ORDER>GRADE>ACTION>ARGUMENT	8	8	0.32	85.50	EXTENDED_PATTERN
37	ARGUMENT>ORDER	7	2	0.28	85.78	EXTENDED_PATTERN
