master_card_id	semantic_atoms	short_value_de	master_form	registered_forms	stable_surface_host	entry_prefixes	entry_gestures	form_count	family_class	training_rule
MC001	CHD+AL	dort umsetzen	chdal	chdal	chdal	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC002	OK+EE+Y	länger ansetzen	okeey	okeey|qokeey	okeey	ZERO|q	ZERO|Q_ENTRY	2	FREE_STABLE_HOST_PLUS_ENTRIES	learn one free host and its licensed entry gestures
MC003	SHED+EE+CLOSE	länger absetzen; Schluss	sheedy	sheedy	sheedy	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC004	L+CLOSE	abziehen; Ende	ldy	ldy	ldy	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC005	OK+CHD+CLOSE	angesetzten Inhalt überführen; Schluss	okchedy	okchedy|qokchedy	okchedy	ZERO|q	ZERO|Q_ENTRY	2	FREE_STABLE_HOST_PLUS_ENTRIES	learn one free host and its licensed entry gestures
MC006	OK+CHEO	Auszug zugeben	chokcheo	chokcheo	chokcheo	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC007	OK+E+Y	kurz ansetzen	okey	okey|qokey	okey	ZERO|q	ZERO|Q_ENTRY	2	FREE_STABLE_HOST_PLUS_ENTRIES	learn one free host and its licensed entry gestures
MC008	L+Y	abziehen	lchy	lchy	lchy	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC009	AR+Y	aus diesem Posten	chary	chary	chary	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC010	HO+AL+Y	diese Zutat zur Stelle bringen	chodaly	chodaly	chodaly	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC011	L+CHD+AR	von dort abführen	lchedar	lchedar	lchedar	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC012	LOCAL_WHOLE	Zusatz	dl	dl	dl	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC013	OT+OR	Folgeansatz	otchor	otchor|qotchor	otchor	ZERO|q	ZERO|Q_ENTRY	2	FREE_STABLE_HOST_PLUS_ENTRIES	learn one free host and its licensed entry gestures
MC014	AIR	Wasserzulauf	chair	chair	chair	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC015	OK+OK+Y	erneut ansetzen	qokokchy	qokokchy	qokokchy	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC016	OL	vom vorigen Gang weiterführen	rol	rol	rol	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC017	OK+AIN	eine Portion zugeben	okain	okain|qokain	okain	ZERO|q	ZERO|Q_ENTRY	2	FREE_STABLE_HOST_PLUS_ENTRIES	learn one free host and its licensed entry gestures
MC018	OT+E+AIIN	kurzes Folgemass	qotedaiin	qotedaiin	qotedaiin	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC019	OL+CLOSE	Fortsetzung abschließen	oldy	oldy	oldy	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC020	SOLK+EE+Y	länger sammeln	solkeey	solkeey	solkeey	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC021	OL+CTH+Y	bereiten Posten weiterführen	oltchy	oltchy	oltchy	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC022	CKH+AL	zur Zielstelle durchleiten	chckhal	chckhal	chckhal	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC023	AIR	Beckenwasser	kair	kair	kair	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC024	OK+OL	Fortsetzung ansetzen	qokol	qokol	qokol	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC025	CHD+CLOSE	Posten überführen; Schluss	dchedy	dchedy|schedy|tchedy	chedy	d|s|t	D_ENTRY|S_ENTRY|T_ENTRY	3	BOUND_STABLE_HOST_PLUS_ENTRIES	learn one bound host and its licensed entry gestures
MC026	OK+Y	aktuellen Posten ansetzen	choky	choky|oky|qoky	oky	ch|ZERO|q	CH_ENTRY|ZERO|Q_ENTRY	3	FREE_STABLE_HOST_PLUS_ENTRIES	learn one free host and its licensed entry gestures
MC027	Y+KCH+OR	aktuellen Ansatz bearbeiten	oykchor	oykchor	oykchor	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC028	OL+CHD+CLOSE	weiterüberführen; Schluss	olchedy	olchedy|qolchedy	olchedy	ZERO|q	ZERO|Q_ENTRY	2	FREE_STABLE_HOST_PLUS_ENTRIES	learn one free host and its licensed entry gestures
MC029	L+AR	von dort abfuehren	lar	lar	lar	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
MC030	L	abfuehren	lo	lo	lo	ZERO	ZERO	1	SINGLE_REGISTERED_FORM	copy the exact card
