visible_surface	master_card_id	semantic_atoms	stable_surface_host	surface_entry_prefix	renderer_gesture	is_master_form	family_class	meaning_preserved
chdal	MC001	CHD+AL	chdal	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
okeey	MC002	OK+EE+Y	okeey	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qokeey	MC002	OK+EE+Y	okeey	q	Q_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
sheedy	MC003	SHED+EE+CLOSE	sheedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
ldy	MC004	L+CLOSE	ldy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
okchedy	MC005	OK+CHD+CLOSE	okchedy	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qokchedy	MC005	OK+CHD+CLOSE	okchedy	q	Q_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
chokcheo	MC006	OK+CHEO	chokcheo	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
okey	MC007	OK+E+Y	okey	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qokey	MC007	OK+E+Y	okey	q	Q_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
lchy	MC008	L+Y	lchy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chary	MC009	AR+Y	chary	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chodaly	MC010	HO+AL+Y	chodaly	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
lchedar	MC011	L+CHD+AR	lchedar	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
dl	MC012	LOCAL_WHOLE	dl	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
otchor	MC013	OT+OR	otchor	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qotchor	MC013	OT+OR	otchor	q	Q_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
chair	MC014	AIR	chair	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qokokchy	MC015	OK+OK+Y	qokokchy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
rol	MC016	OL	rol	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
okain	MC017	OK+AIN	okain	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qokain	MC017	OK+AIN	okain	q	Q_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qotedaiin	MC018	OT+E+AIIN	qotedaiin	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
oldy	MC019	OL+CLOSE	oldy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
solkeey	MC020	SOLK+EE+Y	solkeey	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
oltchy	MC021	OL+CTH+Y	oltchy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chckhal	MC022	CKH+AL	chckhal	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
kair	MC023	AIR	kair	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qokol	MC024	OK+OL	qokol	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
dchedy	MC025	CHD+CLOSE	chedy	d	D_ENTRY	YES	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
schedy	MC025	CHD+CLOSE	chedy	s	S_ENTRY	NO	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
tchedy	MC025	CHD+CLOSE	chedy	t	T_ENTRY	NO	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
choky	MC026	OK+Y	oky	ch	CH_ENTRY	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
