master_card_id	portable_value_de	target_station_ids	target_occurrences	all_occurrences	outside_station_occurrences	page_count	pages	visible_owner_count	portability_class	dictionary_action	station_expansion_rule	outside_examples
MC003	Langabsetzen; Schluss	F83_STATION_3	1	1	0	1	f83r	1	LOCAL_LEARNED_WHOLE_CARD	KEEP_AS_LOCAL_WHOLE_CARD_ONLY	Add the visible station noun locally; do not insert it into the card value.	NONE_OUTSIDE_TARGET
MC009	Quellposten	F83_STATION_3	1	1	0	1	f83r	1	LOCAL_LEARNED_WHOLE_CARD	KEEP_AS_LOCAL_WHOLE_CARD_ONLY	Add the visible station noun locally; do not insert it into the card value.	NONE_OUTSIDE_TARGET
MC025	überführen; Schluss	F83_STATION_2	1	4	3	3	f81v|f82r|f83r	4	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E120:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld || E167:f82r:obere Paarbecken-/Zylinderstation || E283:f83r:ungelöster Zwischenposten zwischen Randstapel und Hauptpaar
MC026	einsetzen	F83_STATION_2|F83_STATION_3	2	10	8	5	f10r|f56r|f81v|f82r|f83r	8	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E008:f10r:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB || E081:f56r:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB || E085:f56r:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB
MC028	weiterführen; Schluss	F83_STATION_2	1	3	2	3	f81v|f82r|f83r	3	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E126:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld || E168:f82r:obere Paarbecken-/Zylinderstation
MC030	Abzug	F83_STATION_3	1	1	0	1	f83r	1	LOCAL_LEARNED_WHOLE_CARD	KEEP_AS_LOCAL_WHOLE_CARD_ONLY	Add the visible station noun locally; do not insert it into the card value.	NONE_OUTSIDE_TARGET
MC039	Sollwert	F83_STATION_1	1	20	19	7	f10r|f11r|f55v|f56r|f81v|f82r|f83r	13	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E009:f10r:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB || E022:f10r:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB || E030:f10r:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB
MC040	dorthin einsetzen	F83_STATION_2	1	6	5	4	f55v|f81v|f82r|f83r	4	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E069:f55v:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT || E104:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld || E152:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld
MC043	Vorbereitungstransfer	F83_STATION_3	1	1	0	1	f83r	1	LOCAL_LEARNED_WHOLE_CARD	KEEP_AS_LOCAL_WHOLE_CARD_ONLY	Add the visible station noun locally; do not insert it into the card value.	NONE_OUTSIDE_TARGET
MC045	lange sammeln; Schluss	F83_STATION_1	1	3	2	2	f81v|f83r	3	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E162:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld || E291:f83r:Hauptpaar am sichtbaren ungerichteten Bogen
