card_no	component_parse	invariant_card_reading_de	occurrences	surfaces	event_ids	shared_with_herbal_or_b1
PROC076	CHD+DY	umsetzen · Schluss	1	dchedy	E167	YES
PROC079	OL+CHD+DY	fortsetzen · umsetzen · Schluss	1	qolchedy	E168	YES
PROC080	OK+AIN	ansetzen · Portion	3	qokain|okain	E169|E198|E200	YES
PROC019	Y	dies	2	dy|chey	E170|E208	YES
PROC048	OK+AL	ansetzen · Zielstelle	2	qokal	E172|E186	YES
PROC092	OK+EE+Y	ansetzen · länger · dies	3	qokeey	E175|E194|E205	YES
PROC075	CKH+Y	Durchlass · dies	1	chckhy	E179	YES
PROC038	OK+AIIN	ansetzen · Maß	3	qokaiin	E180|E181|E219	YES
PROC008	OK+Y	ansetzen · dies	2	qoky	E188|E195	YES
PROC078	SHED+DY	absetzen · Schluss	1	shedy	E192	YES
PROC031	WHOLE[cheey|shey]	Empfangsbestand	2	cheey	E197|E203	YES
PROC003	AR	von dort	1	char	E199	YES
PROC009	AIIN	Maß	2	daiin|aiin	E207|E217	YES
PROC055	AL	Zielstelle	1	cheal	E214	YES
PROC085	OK+E+Y	ansetzen · kurz · dies	1	okey	E220	YES
