statement_id	station_ids	visible_owner_ids	loci	event_ids	surfaces	card_literal_de	fluent_station_reading_de	terminal	crosses_visible_owner_boundary	global_network_claim
B2-S001	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	f82r.2	E167	dchedy	umsetzen · Schluss	Den Posten umsetzen und schließen.	YES	NO	NONE
B2-S002	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	f82r.2	E168	qolchedy	fortsetzen · umsetzen · Schluss	Fortsetzen, umsetzen und schließen.	YES	NO	NONE
B2-S003	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	f82r.2	E169|E170|E171	qokain dy qokeedy	ansetzen · Portion; dies; ansetzen · länger · Schluss	Eine Portion ansetzen, den laufenden Posten länger ansetzen und schließen.	YES	NO	NONE
B2-S004	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	f82r.2|f82r.3	E172|E173|E174|E175|E176	qokal lcheckhy lched qokeey lcheckhedy	ansetzen · Zielstelle; führen · Durchlass · dies; führen · umsetzen; ansetzen · länger · dies; führen · Durchlass · kurz · Schluss	Die Zielstelle setzen, durch den Durchlass führen und umsetzen, länger ansetzen, noch einmal kurz durch den Durchlass führen und schließen.	YES	NO	NONE
B2-S005	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	f82r.3|f82r.4	E177|E178|E179|E180|E181|E182|E183|E184	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	ansetzen · Zielstelle · dies; auffangen · Maß; Durchlass · dies; ansetzen · Maß; ansetzen · Maß; Arbeitsgang · bereit · kurz · fortsetzen; wärmen · länger · dies; führen · Schluss	Den Posten an der Zielstelle ansetzen, nach Maß auffangen, durch den Durchlass führen, zwei Maße setzen, bis bereit fortsetzen, länger wärmen, abführen und schließen.	YES	NO	NONE
B2-S006	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	f82r.4	E185|E186|E187|E188	oteey qokal sheckhy qoky	danach · länger · dies; ansetzen · Zielstelle; halten · kurz · Durchlass · dies; ansetzen · dies	Danach den Posten länger ansetzen, die Zielstelle setzen und ihn kurz am Durchlass halten.	NO	NO	NONE
B2-S007	ST02	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	f82r.7	E189	dshedy	halten · kurz · Schluss	Kurz halten und schließen.	YES	NO	NONE
B2-S008	ST02	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	f82r.7	E190|E191|E192	sotaiin qokar shedy	danach · Maß; ansetzen · von dort; absetzen · Schluss	Danach das Maß setzen, von dort ansetzen, absetzen und schließen.	YES	NO	NONE
B2-S009	ST02	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	f82r.7	E193	solshedy	fortsetzen · halten · kurz · Schluss	Fortsetzen, kurz halten und schließen.	YES	NO	NONE
B2-S010	ST02	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	f82r.7	E194|E195|E196|E197	qokeey qoky ls cheey	ansetzen · länger · dies; ansetzen · dies; fortsetzen; Empfangsbestand	Den Posten länger ansetzen, weiter ansetzen und den Empfangsbestand übernehmen.	NO	NO	NONE
B2-S011	ST03	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	f82r.19	E198|E199|E200|E201	okain char okain qokeedy	ansetzen · Portion; von dort; ansetzen · Portion; ansetzen · länger · Schluss	Eine Portion von dort nehmen, eine weitere Portion länger ansetzen und schließen.	YES	NO	NONE
B2-S012	ST03|ST04	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	f82r.19|f82r.23	E202|E203|E204|E205|E206|E207|E208|E209	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	führen · abziehen · dies; Empfangsbestand; bereit · kurz · dies; ansetzen · länger · dies; führen · länger · dies; Maß; dies; ansetzen · vollständig · Schluss	An der unklaren Station den Posten führen und abziehen. Ohne Bildverbindung zum unteren Becken wechseln: Empfangsbestand übernehmen, kurz bereit halten, länger ansetzen und führen, nach Maß vollständig ansetzen und schließen.	YES	YES	NONE
B2-S013	ST04	B2_LOWER_GREEN_MULTI_FIGURE_POOL	f82r.23	E210	lchedy	führen · umsetzen · Schluss	Im unteren Becken führen, umsetzen und schließen.	YES	NO	NONE
B2-S014	ST04	B2_LOWER_GREEN_MULTI_FIGURE_POOL	f82r.23	E211	lar	führen · von dort	Von dort weiterführen.	NO	NO	NONE
B2-S015	ST05	B2_LOWER_POOL_EDGE_STATIONS	f82r.26	E212|E213	tshey qokeedy	halten · kurz · dies; ansetzen · länger · Schluss	Den Posten kurz halten, länger ansetzen und schließen.	YES	NO	NONE
B2-S016	ST05	B2_LOWER_POOL_EDGE_STATIONS	f82r.26|f82r.27	E214|E215|E216|E217|E218|E219|E220|E221	cheal lchedar ches aiin oteey qokaiin okey pchedy	Zielstelle; führen · umsetzen · von dort; teilen; Maß; danach · länger · dies; ansetzen · Maß; ansetzen · kurz · dies; hinein · umsetzen · Schluss	Zielstelle setzen, von dort umsetzen, teilen und messen; danach länger ansetzen, das Maß setzen, kurz ansetzen, hinein umsetzen und schließen.	YES	NO	NONE
B2-S017	ST05	B2_LOWER_POOL_EDGE_STATIONS	f82r.27	E222|E223	rsheal daldy	abkühlen · halten · kurz · Zielstelle; Zielstelle · Schluss	An der Zielstelle kurz abkühlen und halten; Zielstelle schließen.	YES	NO	NONE
B2-S018	ST05	B2_LOWER_POOL_EDGE_STATIONS	f82r.27	E224	qokeedy	ansetzen · länger · Schluss	Länger ansetzen und schließen.	YES	NO	NONE
B2-S019	ST05	B2_LOWER_POOL_EDGE_STATIONS	f82r.27	E225	rshedy	abkühlen · absetzen · Schluss	Abkühlen, absetzen und schließen.	YES	NO	NONE
B2-S020	ST05	B2_LOWER_POOL_EDGE_STATIONS	f82r.27	E226	qoteedy	danach · länger · Schluss	Danach länger halten und schließen.	YES	NO	NONE
B2-S021	ST05	B2_LOWER_POOL_EDGE_STATIONS	f82r.27	E227	qokeedy	ansetzen · länger · Schluss	Länger ansetzen und schließen.	YES	NO	NONE
B2-S022	ST05	B2_LOWER_POOL_EDGE_STATIONS	f82r.27	E228	lochedy	führen · Arbeitsgang · umsetzen · Schluss	Durch den Arbeitsgang führen, umsetzen und schließen.	YES	NO	NONE
