card_no	component_parse	invariant_card_reading_de	occurrences	surfaces	event_ids	shared_with_herbal_or_b1
PROC076	CHD+DY	umsetzen · Schluss	1	dchedy	E167	YES
PROC079	OL+CHD+DY	fortsetzen · umsetzen · Schluss	1	qolchedy	E168	YES
PROC080	OK+AIN	ansetzen · Portion	3	qokain|okain	E169|E198|E200	YES
PROC019	Y	dies	2	dy|chey	E170|E208	YES
PROC100	OK+EE+DY	ansetzen · länger · Schluss	5	qokeedy	E171|E201|E213|E224|E227	NO
PROC048	OK+AL	ansetzen · Zielstelle	2	qokal	E172|E186	YES
PROC101	L+CKH+Y	führen · Durchlass · dies	1	lcheckhy	E173	NO
PROC102	L+CHD	führen · umsetzen	1	lched	E174	NO
PROC092	OK+EE+Y	ansetzen · länger · dies	3	qokeey	E175|E194|E205	YES
PROC103	L+CKHE+DY	führen · Durchlass · kurz · Schluss	1	lcheckhedy	E176	NO
PROC104	OK+AL+Y	ansetzen · Zielstelle · dies	1	qokaly	E177	NO
PROC105	SOLK+AIIN	auffangen · Maß	1	solkaiin	E178	NO
PROC075	CKH+Y	Durchlass · dies	1	chckhy	E179	YES
PROC038	OK+AIIN	ansetzen · Maß	3	qokaiin	E180|E181|E219	YES
PROC106	O+CTH+E+OL	Arbeitsgang · bereit · kurz · fortsetzen	1	octheol	E182	NO
PROC107	CHK+EE+Y	wärmen · länger · dies	1	chkeey	E183	NO
PROC108	L+DY	führen · Schluss	1	ldy	E184	NO
PROC109	OT+EE+Y	danach · länger · dies	2	oteey	E185|E218	NO
PROC110	SH+E+CKH+Y	halten · kurz · Durchlass · dies	1	sheckhy	E187	NO
PROC008	OK+Y	ansetzen · dies	2	qoky	E188|E195	YES
PROC111	SH+E+DY	halten · kurz · Schluss	1	dshedy	E189	NO
PROC112	OT+AIIN	danach · Maß	1	sotaiin	E190	NO
PROC113	OK+AR	ansetzen · von dort	1	qokar	E191	NO
PROC078	SHED+DY	absetzen · Schluss	1	shedy	E192	YES
PROC114	OL+SH+E+DY	fortsetzen · halten · kurz · Schluss	1	solshedy	E193	NO
PROC115	LS	fortsetzen	1	ls	E196	NO
PROC031	WHOLE[cheey|shey]	Empfangsbestand	2	cheey	E197|E203	YES
PROC003	AR	von dort	1	char	E199	YES
PROC116	L+CH+Y	führen · abziehen · dies	1	lchy	E202	NO
PROC117	CTH+E+Y	bereit · kurz · dies	1	qcthey	E204	NO
PROC118	L+EE+Y	führen · länger · dies	1	lcheey	E206	NO
PROC009	AIIN	Maß	2	daiin|aiin	E207|E217	YES
PROC119	OK+EEE+DY	ansetzen · vollständig · Schluss	1	qokeeedy	E209	NO
PROC120	L+CHD+DY	führen · umsetzen · Schluss	1	lchedy	E210	NO
PROC121	L+AR	führen · von dort	1	lar	E211	NO
PROC122	SH+E+Y	halten · kurz · dies	1	tshey	E212	NO
PROC055	AL	Zielstelle	1	cheal	E214	YES
PROC123	L+CHD+AR	führen · umsetzen · von dort	1	lchedar	E215	NO
PROC124	WHOLE[ches]	teilen	1	ches	E216	NO
PROC085	OK+E+Y	ansetzen · kurz · dies	1	okey	E220	YES
PROC125	P+CHD+DY	hinein · umsetzen · Schluss	1	pchedy	E221	NO
PROC126	R+SH+E+AL	abkühlen · halten · kurz · Zielstelle	1	rsheal	E222	NO
PROC127	AL+DY	Zielstelle · Schluss	1	daldy	E223	NO
PROC128	R+SHED+DY	abkühlen · absetzen · Schluss	1	rshedy	E225	NO
PROC129	OT+EE+DY	danach · länger · Schluss	1	qoteedy	E226	NO
PROC130	L+O+CHD+DY	führen · Arbeitsgang · umsetzen · Schluss	1	lochedy	E228	NO
