event_id	statement_id	locus	station_id	visible_owner_id	visible_owner_de	surface	card_no	component_parse	invariant_card_reading_de	primitive	minimum_source_clause_de	terminal	global_network_edge
E167	B2-S001	f82r.2	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	dchedy	PROC076	CHD+DY	umsetzen · Schluss	MOVE_PASS>CLOSE	umsetzen Schluss	YES	NONE
E168	B2-S002	f82r.2	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	qolchedy	PROC079	OL+CHD+DY	fortsetzen · umsetzen · Schluss	MOVE_PASS>CLOSE	fortsetzen umsetzen Schluss	YES	NONE
E169	B2-S003	f82r.2	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	qokain	PROC080	OK+AIN	ansetzen · Portion	ACTIVATE_CHARGE	ansetzen Portion	NO	NONE
E170	B2-S003	f82r.2	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	dy	PROC019	Y	dies	ACTIVATE_CHARGE	dies	NO	NONE
E171	B2-S003	f82r.2	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	qokeedy	PROC100	OK+EE+DY	ansetzen · länger · Schluss	HOLD_STATE>CLOSE	ansetzen länger Schluss	YES	NONE
E172	B2-S004	f82r.2	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	qokal	PROC048	OK+AL	ansetzen · Zielstelle	TARGET_HANDOFF	ansetzen Zielstelle	NO	NONE
E173	B2-S004	f82r.2	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	lcheckhy	PROC101	L+CKH+Y	führen · Durchlass · dies	ACTIVATE_CHARGE	führen Durchlass dies	NO	NONE
E174	B2-S004	f82r.2	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	lched	PROC102	L+CHD	führen · umsetzen	MOVE_PASS	führen umsetzen	NO	NONE
E175	B2-S004	f82r.3	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	qokeey	PROC092	OK+EE+Y	ansetzen · länger · dies	HOLD_STATE	ansetzen länger dies	NO	NONE
E176	B2-S004	f82r.3	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	lcheckhedy	PROC103	L+CKHE+DY	führen · Durchlass · kurz · Schluss	MOVE_PASS>CLOSE	führen Durchlass kurz Schluss	YES	NONE
E177	B2-S005	f82r.3	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	qokaly	PROC104	OK+AL+Y	ansetzen · Zielstelle · dies	TARGET_HANDOFF	ansetzen Zielstelle dies	NO	NONE
E178	B2-S005	f82r.3	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	solkaiin	PROC105	SOLK+AIIN	auffangen · Maß	METER_CHECK	auffangen Maß	NO	NONE
E179	B2-S005	f82r.3	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	chckhy	PROC075	CKH+Y	Durchlass · dies	MOVE_PASS	Durchlass dies	NO	NONE
E180	B2-S005	f82r.3	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	qokaiin	PROC038	OK+AIIN	ansetzen · Maß	METER_CHECK	ansetzen Maß	NO	NONE
E181	B2-S005	f82r.4	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	qokaiin	PROC038	OK+AIIN	ansetzen · Maß	METER_CHECK	ansetzen Maß	NO	NONE
E182	B2-S005	f82r.4	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	octheol	PROC106	O+CTH+E+OL	Arbeitsgang · bereit · kurz · fortsetzen	HOLD_STATE	Arbeitsgang bereit kurz fortsetzen	NO	NONE
E183	B2-S005	f82r.4	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	chkeey	PROC107	CHK+EE+Y	wärmen · länger · dies	ACTIVATE_CHARGE	wärmen länger dies	NO	NONE
E184	B2-S005	f82r.4	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	ldy	PROC108	L+DY	führen · Schluss	MOVE_PASS>CLOSE	führen Schluss	YES	NONE
E185	B2-S006	f82r.4	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	oteey	PROC109	OT+EE+Y	danach · länger · dies	HOLD_STATE	danach länger dies	NO	NONE
E186	B2-S006	f82r.4	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	qokal	PROC048	OK+AL	ansetzen · Zielstelle	TARGET_HANDOFF	ansetzen Zielstelle	NO	NONE
E187	B2-S006	f82r.4	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	sheckhy	PROC110	SH+E+CKH+Y	halten · kurz · Durchlass · dies	ACTIVATE_CHARGE	halten kurz Durchlass dies	NO	NONE
E188	B2-S006	f82r.4	ST01	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	oberes Beckenpaar mit Zylinder	qoky	PROC008	OK+Y	ansetzen · dies	ACTIVATE_CHARGE	ansetzen dies	NO	NONE
E189	B2-S007	f82r.7	ST02	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	mittleres linkes Handgerät mit Inline-Knoten	dshedy	PROC111	SH+E+DY	halten · kurz · Schluss	HOLD_STATE>CLOSE	halten kurz Schluss	YES	NONE
E190	B2-S008	f82r.7	ST02	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	mittleres linkes Handgerät mit Inline-Knoten	sotaiin	PROC112	OT+AIIN	danach · Maß	METER_CHECK	danach Maß	NO	NONE
E191	B2-S008	f82r.7	ST02	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	mittleres linkes Handgerät mit Inline-Knoten	qokar	PROC113	OK+AR	ansetzen · von dort	SOURCE_DRAW	ansetzen von dort	NO	NONE
E192	B2-S008	f82r.7	ST02	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	mittleres linkes Handgerät mit Inline-Knoten	shedy	PROC078	SHED+DY	absetzen · Schluss	HOLD_STATE>CLOSE	absetzen Schluss	YES	NONE
E193	B2-S009	f82r.7	ST02	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	mittleres linkes Handgerät mit Inline-Knoten	solshedy	PROC114	OL+SH+E+DY	fortsetzen · halten · kurz · Schluss	HOLD_STATE>CLOSE	fortsetzen halten kurz Schluss	YES	NONE
