atom	working_value_de	factor_family	semantic_layer	decision	portable_rule_de	source_dictionary
Y	POSTEN	ARGUMENT	PORTABLE_BROAD_WORKING_CORE	KEEP	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	GDT412
OK	SETZEN	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	KEEP	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	GDT412
OL	FORTSETZEN	ORDER_CONTROL	PORTABLE_BROAD_WORKING_CORE	KEEP	als Fortsetzung oder nächsten Geschwistergang lesen	GDT412
OT	DANACH	ORDER_CONTROL	PORTABLE_BROAD_WORKING_CORE	KEEP	als Fortsetzung oder nächsten Geschwistergang lesen	GDT412
AL	ZIELORT	RELATION	PORTABLE_BROAD_WORKING_CORE	KEEP	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	GDT412
CH	NEHMEN	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	KEEP	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	GDT412
SH	HALTEN	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	KEEP	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	GDT412
AR	AUSGANG	RELATION	PORTABLE_BROAD_WORKING_CORE	KEEP	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	GDT412
K	GEBEN	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	KEEP	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	GDT412
AIIN	WERT	ARGUMENT	PORTABLE_BROAD_WORKING_CORE	KEEP	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	GDT412
S	WÄHLEN	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	KEEP	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	GDT412
CHD	BEARBEITEN	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	KEEP	als allgemeinen Arbeitsgang lesen; genaue Technik kommt von Hülle und Besitzer	GDT412
