prediction_rank	cell_id	predicted_fused_atom_sequence	predicted_reading_de	missing_inventory	why_blocked_de	allowed_master_action_de
1	B01E02	OK+CLOSE	ansetzen und den Schritt schließen	BARE_ENDING_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
2	B03E09	OT+E+Y	zum folgenden Posten gehen kurz am aktuellen Posten	BARE_ENDING_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
3	B09E01	SHED+Y	absetzen lassen am aktuellen Posten	BARE_BASE_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
4	B10E01	SOLK+Y	auffangen am aktuellen Posten	BARE_BASE_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
5	B04E09	CHD+E+Y	umsetzen kurz am aktuellen Posten	BARE_ENDING_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
6	B08E01	CHK+Y	wärmen am aktuellen Posten	BARE_BASE_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
7	B04E12	CHD+EE+CLOSE	umsetzen länger und dann schließen	BARE_ENDING_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
10	B03E02	OT+CLOSE	zum folgenden Posten gehen und den Schritt schließen	BARE_ENDING_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
13	B07E01	CKHE+Y	trennen am aktuellen Posten	BARE_BASE_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
14	B09E07	SHED+AR	absetzen lassen aus der Quelle	BARE_BASE_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
15	B09E09	SHED+E+Y	absetzen lassen kurz am aktuellen Posten	BARE_BASE_CARD|BARE_ENDING_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
16	B08E03	CHK+AIIN	wärmen mit Sollwert	BARE_BASE_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
19	B10E06	SOLK+AL	auffangen am Ziel	BARE_BASE_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
20	B10E07	SOLK+AR	auffangen aus der Quelle	BARE_BASE_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
21	B02E09	OL+E+Y	fortsetzen kurz am aktuellen Posten	BARE_ENDING_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
22	B04E11	CHD+E+CLOSE	umsetzen kurz und dann schließen	BARE_ENDING_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
23	B09E10	SHED+EE+Y	absetzen lassen länger am aktuellen Posten	BARE_BASE_CARD	Mindestens einer der beiden Teile besitzt keine selbständige registrierte Karte; Zusammenkleben würde eine neue Oberflächenregel erfinden.	Befehl umschreiben oder eine bereits gelernte Mehrklauselwendung benutzen; keine neue Voynich-Form erfinden.
