prediction_rank	cell_id	predicted_fused_atom_sequence	predicted_reading_de	bare_base_available	bare_base_surfaces	bare_ending_available	bare_ending_surfaces	exact_fused_surface_available	analytic_two_card_expression_available	surface_decision	missing_inventory	strongest_base_donor	strongest_ending_donor	boundary_warning
1	B01E02	OK+CLOSE	ansetzen und den Schritt schließen	YES	dokan|okedy|okeey|okeo|okey|okoes|oky|qokeeedy|qokeochy	NO	NONE	NO	NO	BLOCK_UNTIL_NEW_REGISTERED_CARD	BARE_ENDING_CARD	OK+Y:chokchy|choky|okchy|oky|qokchy|qoky	SHED+E+CLOSE:cheedy|dshedy|shedy|tedy	NO_SURFACE_OR_BOUNDARY_INVENTED
2	B03E09	OT+E+Y	zum folgenden Posten gehen kurz am aktuellen Posten	YES	ot|otaza|otchey|otchl|otchy|oteey|oty|otydy|otys	NO	NONE	NO	NO	BLOCK_UNTIL_NEW_REGISTERED_CARD	BARE_ENDING_CARD	OT+OL:otol|otoldos|qotchol	CHK+E+Y:cheky	NO_SURFACE_OR_BOUNDARY_INVENTED
3	B09E01	SHED+Y	absetzen lassen am aktuellen Posten	NO	NONE	YES	chey|chy|dy|shy|sy|y	NO	NO	BLOCK_UNTIL_NEW_REGISTERED_CARD	BARE_BASE_CARD	SHED+E+CLOSE:cheedy|dshedy|shedy|tedy	OK+Y:chokchy|choky|okchy|oky|qokchy|qoky	NO_SURFACE_OR_BOUNDARY_INVENTED
4	B10E01	SOLK+Y	auffangen am aktuellen Posten	NO	NONE	YES	chey|chy|dy|shy|sy|y	NO	NO	BLOCK_UNTIL_NEW_REGISTERED_CARD	BARE_BASE_CARD	SOLK+EE+CLOSE:olkeedy|solkeedy	OK+Y:chokchy|choky|okchy|oky|qokchy|qoky	NO_SURFACE_OR_BOUNDARY_INVENTED
5	B04E09	CHD+E+Y	umsetzen kurz am aktuellen Posten	YES	chda|chdy	NO	NONE	NO	NO	BLOCK_UNTIL_NEW_REGISTERED_CARD	BARE_ENDING_CARD	CHD+Y:chdy|chedchy|chedy	CHK+E+Y:cheky	NO_SURFACE_OR_BOUNDARY_INVENTED
6	B08E01	CHK+Y	wärmen am aktuellen Posten	NO	NONE	YES	chey|chy|dy|shy|sy|y	NO	NO	BLOCK_UNTIL_NEW_REGISTERED_CARD	BARE_BASE_CARD	CHK+E+Y:cheky	OK+Y:chokchy|choky|okchy|oky|qokchy|qoky	NO_SURFACE_OR_BOUNDARY_INVENTED
7	B04E12	CHD+EE+CLOSE	umsetzen länger und dann schließen	YES	chda|chdy	NO	NONE	NO	NO	BLOCK_UNTIL_NEW_REGISTERED_CARD	BARE_ENDING_CARD	CHD+Y:chdy|chedchy|chedy	OK+EE+CLOSE:qokeedy	NO_SURFACE_OR_BOUNDARY_INVENTED
8	B04E10	CHD+EE+Y	umsetzen länger am aktuellen Posten	YES	chda|chdy	YES	oeesy	NO	YES	WRITE_AS_TWO_REGISTERED_CARDS	NONE	CHD+Y:chdy|chedchy|chedy	OK+EE+Y:okeey|qokeey	ANALYTIC_BASE|ENDING_IS_NOT_THE_PREDICTED_FUSED_BASE+ENDING_CARD
9	B03E04	OT+AIN	zum folgenden Posten gehen an einer Portion	YES	ot|otaza|otchey|otchl|otchy|oteey|oty|otydy|otys	YES	ain|chkain|dain|kain|oekain|sain|yfain	NO	YES	WRITE_AS_TWO_REGISTERED_CARDS	NONE	OT+OL:otol|otoldos|qotchol	OK+AIN:okain|qokain	ANALYTIC_BASE|ENDING_IS_NOT_THE_PREDICTED_FUSED_BASE+ENDING_CARD
10	B03E02	OT+CLOSE	zum folgenden Posten gehen und den Schritt schließen	YES	ot|otaza|otchey|otchl|otchy|oteey|oty|otydy|otys	NO	NONE	NO	NO	BLOCK_UNTIL_NEW_REGISTERED_CARD	BARE_ENDING_CARD	OT+OL:otol|otoldos|qotchol	SHED+E+CLOSE:cheedy|dshedy|shedy|tedy	NO_SURFACE_OR_BOUNDARY_INVENTED
11	B02E03	OL+AIIN	fortsetzen mit Sollwert	YES	cheol|chol|cphol|dolchsody|oeoldan|ol|oldy|ols|oly|qol|qolky|rol|sol|tol	YES	aiin|chaiin|dadaiin|daiin|oaiin|saiin|taiin|todaiin	NO	YES	WRITE_AS_TWO_REGISTERED_CARDS	NONE	OL+CHD+CLOSE:olchedy|qolchedy	OK+AIIN:okaiin|qokaiin|qokoaiin	ANALYTIC_BASE|ENDING_IS_NOT_THE_PREDICTED_FUSED_BASE+ENDING_CARD
12	B11E03	KCH+AIIN	bearbeiten mit Sollwert	YES	chykchs|kchey|kchy|okchdy|okcheys|okchy	YES	aiin|chaiin|dadaiin|daiin|oaiin|saiin|taiin|todaiin	NO	YES	WRITE_AS_TWO_REGISTERED_CARDS	NONE	KCH+AL:kchal|okchoal	OK+AIIN:okaiin|qokaiin|qokoaiin	ANALYTIC_BASE|ENDING_IS_NOT_THE_PREDICTED_FUSED_BASE+ENDING_CARD
13	B07E01	CKHE+Y	trennen am aktuellen Posten	NO	NONE	YES	chey|chy|dy|shy|sy|y	NO	NO	BLOCK_UNTIL_NEW_REGISTERED_CARD	BARE_BASE_CARD	CKHE+CLOSE:shckhedy	OK+Y:chokchy|choky|okchy|oky|qokchy|qoky	NO_SURFACE_OR_BOUNDARY_INVENTED
14	B09E07	SHED+AR	absetzen lassen aus der Quelle	NO	NONE	YES	ar|char|chear|chykar|dar|dary|dosar|oar|oear|ofar|qear|sar|sarydy|sodar|soear	NO	NO	BLOCK_UNTIL_NEW_REGISTERED_CARD	BARE_BASE_CARD	SHED+E+CLOSE:cheedy|dshedy|shedy|tedy	OK+AR:okar|qokar	NO_SURFACE_OR_BOUNDARY_INVENTED
15	B09E09	SHED+E+Y	absetzen lassen kurz am aktuellen Posten	NO	NONE	NO	NONE	NO	NO	BLOCK_UNTIL_NEW_REGISTERED_CARD	BARE_BASE_CARD|BARE_ENDING_CARD	SHED+E+CLOSE:cheedy|dshedy|shedy|tedy	CHK+E+Y:cheky	NO_SURFACE_OR_BOUNDARY_INVENTED
16	B08E03	CHK+AIIN	wärmen mit Sollwert	NO	NONE	YES	aiin|chaiin|dadaiin|daiin|oaiin|saiin|taiin|todaiin	NO	NO	BLOCK_UNTIL_NEW_REGISTERED_CARD	BARE_BASE_CARD	CHK+E+Y:cheky	OK+AIIN:okaiin|qokaiin|qokoaiin	NO_SURFACE_OR_BOUNDARY_INVENTED
17	B06E03	CKH+AIIN	durchführen mit Sollwert	YES	ockhy|qockhy	YES	aiin|chaiin|dadaiin|daiin|oaiin|saiin|taiin|todaiin	NO	YES	WRITE_AS_TWO_REGISTERED_CARDS	NONE	CKH+Y:chckhy|shckhy	OK+AIIN:okaiin|qokaiin|qokoaiin	ANALYTIC_BASE|ENDING_IS_NOT_THE_PREDICTED_FUSED_BASE+ENDING_CARD
