mutation_family	blocked_factor_rule	stop_replay_case_count	distinct_neighbor_edge_count	distinct_target_recipe_count	distinct_source_recipe_count	context_event_occurrence_weight	instruction
ADJACENT_SWAP	PAIR:CH>CHD	4	4	4	2	4	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:CH>SH	36	17	17	13	36	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:CHD>K	14	13	13	9	14	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:CHD>OK	17	7	7	6	18	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:CHD>P	26	12	12	12	30	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:CHD>R	2	1	1	1	2	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:CHD>T	11	7	6	6	11	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:K>K	4	4	4	2	4	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:K>P	2	2	2	1	2	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:K>S	8	8	8	5	8	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:OK>K	1	1	1	1	1	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:OK>R	4	2	2	1	4	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:OK>T	2	2	2	2	2	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:P>K	4	4	4	2	4	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:P>R	4	4	4	2	4	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:P>S	4	4	4	2	4	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:R>S	6	6	6	3	6	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:S>CHD	11	7	7	4	11	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:S>P	2	2	2	1	2	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:S>S	8	8	8	4	8	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:SH>CHD	2	2	2	1	2	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:SH>P	19	16	16	13	19	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:SH>R	6	4	4	4	6	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:SH>S	21	15	15	10	21	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:SH>SH	4	4	4	2	4	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:T>K	2	2	2	1	2	STOP_AND_PRESERVE_STATE
ADJACENT_SWAP	PAIR:T>S	12	10	10	5	12	STOP_AND_PRESERVE_STATE
ATOM_DELETION	CLOSE:NO_ACTIVE_ACTION	5	5	5	5	5	STOP_AND_PRESERVE_STATE
ATOM_DELETION	EMPTY_RECIPE	867	27	1	27	906	STOP_AND_PRESERVE_STATE
ATOM_DELETION	FOCUS:CHD<-EEE	1	1	1	1	1	STOP_AND_PRESERVE_STATE
ATOM_DELETION	PAIR:CH>CHD	2	2	2	2	2	STOP_AND_PRESERVE_STATE
ATOM_DELETION	PAIR:CH>SH	4	4	4	4	4	STOP_AND_PRESERVE_STATE
ATOM_DELETION	PAIR:CHD>K	3	3	3	3	3	STOP_AND_PRESERVE_STATE
ATOM_DELETION	PAIR:CHD>OK	1	1	1	1	1	STOP_AND_PRESERVE_STATE
ATOM_DELETION	PAIR:CHD>T	1	1	1	1	1	STOP_AND_PRESERVE_STATE
ATOM_DELETION	PAIR:K>K	2	2	2	2	2	STOP_AND_PRESERVE_STATE
ATOM_DELETION	PAIR:K>P	1	1	1	1	1	STOP_AND_PRESERVE_STATE
