neighbor_id	source_recipe	target_recipe	mutation_family	mutation_positions	source_atom_or_pair	target_atom_or_pair	substitution_class	target_is_exact_catalog_key	target_identity_route	neutral_execution_decision	sampled_context_count	sampled_occurrence_weight	sampled_page_count	sampled_pages	green_context_count	amber_context_count	stop_context_count	green_occurrence_weight	amber_occurrence_weight	stop_occurrence_weight	observed_context_robustness	stop_factor_rules	neutral_stop_rescued_in_any_context	neutral_read_stops_in_any_context	deck_instruction	identity_is_not_inferred_from_robustness	occurrence_is_not_predicted_from_robustness
G447-N00039	AIIN+Y	Y+AIIN	ADJACENT_SWAP	1-2	AIIN>Y	Y>AIIN	ORDER	YES	IDENTITY_EXACT_FUTURE_STRONG	READ	1	1	1	f76r	1	0	0	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00068	AIN+D_ADDR	D_ADDR+AIN	ADJACENT_SWAP	1-2	AIN>D_ADDR	D_ADDR>AIN	ORDER	YES	IDENTITY_EXACT_NARROW_APPENDIX	READ	1	1	1	f24v	1	0	0	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00232	AIR+Y+DY	AIR+DY+Y	ADJACENT_SWAP	2-3	Y>DY	DY>Y	ORDER	NO	IDENTITY_NEW_VISIBLE_RECIPE	STOP	1	1	1	f83r	1	0	0	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	YES	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00233	AIR+Y+DY	Y+AIR+DY	ADJACENT_SWAP	1-2	AIR>Y	Y>AIR	ORDER	NO	IDENTITY_NEW_VISIBLE_RECIPE	STOP	1	1	1	f83r	1	0	0	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	YES	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00247	AL+AIIN	AIIN+AL	ADJACENT_SWAP	1-2	AL>AIIN	AIIN>AL	ORDER	YES	IDENTITY_EXACT_NARROW_APPENDIX	READ	6	6	4	f67r2|f72r|f76r|f89r	6	0	0	6	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00256	AL+AIIN+LOCAL_CHAR_I	AIIN+AL+LOCAL_CHAR_I	ADJACENT_SWAP	1-2	AL>AIIN	AIIN>AL	ORDER	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	1	1	1	f72r	1	0	0	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00257	AL+AIIN+LOCAL_CHAR_I	AL+LOCAL_CHAR_I+AIIN	ADJACENT_SWAP	2-3	AIIN>LOCAL_CHAR_I	LOCAL_CHAR_I>AIIN	ORDER	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	1	1	1	f72r	1	0	0	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00325	AL+CHD	CHD+AL	ADJACENT_SWAP	1-2	AL>CHD	CHD>AL	ORDER	YES	IDENTITY_EXACT_OBSERVED	READ	1	1	1	f81r	1	0	0	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00339	AL+CHD+DY	AL+DY+CHD	ADJACENT_SWAP	2-3	CHD>DY	DY>CHD	ORDER	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	4	5	5	f72r|f76r|f77r|f83r|f89r	4	0	0	5	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00340	AL+CHD+DY	CHD+AL+DY	ADJACENT_SWAP	1-2	AL>CHD	CHD>AL	ORDER	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	4	5	5	f72r|f76r|f77r|f83r|f89r	4	0	0	5	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00374	AL+DY	DY+AL	ADJACENT_SWAP	1-2	AL>DY	DY>AL	ORDER	NO	IDENTITY_NEW_VISIBLE_RECIPE	STOP	4	4	4	f13r|f75r|f81v|f82r	4	0	0	4	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	YES	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00380	AL+D_ADDR+AIIN	AL+AIIN+D_ADDR	ADJACENT_SWAP	2-3	D_ADDR>AIIN	AIIN>D_ADDR	ORDER	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	1	1	1	f67r2	1	0	0	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00381	AL+D_ADDR+AIIN	D_ADDR+AL+AIIN	ADJACENT_SWAP	1-2	AL>D_ADDR	D_ADDR>AL	ORDER	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	1	1	1	f67r2	1	0	0	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00413	AL+D_ADDR+Y	AL+Y+D_ADDR	ADJACENT_SWAP	2-3	D_ADDR>Y	Y>D_ADDR	ORDER	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	2	2	2	f55v|f67r2	2	0	0	2	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00414	AL+D_ADDR+Y	D_ADDR+AL+Y	ADJACENT_SWAP	1-2	AL>D_ADDR	D_ADDR>AL	ORDER	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	2	2	2	f55v|f67r2	2	0	0	2	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00443	AL+K+AIN	AL+AIN+K	ADJACENT_SWAP	2-3	K>AIN	AIN>K	ORDER	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	1	1	1	f95v	1	0	0	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00444	AL+K+AIN	K+AL+AIN	ADJACENT_SWAP	1-2	AL>K	K>AL	ORDER	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	1	1	1	f95v	1	0	0	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
G447-N00481	AL+LOCAL_CHAR_F+SH+E+D_ADDR	AL+LOCAL_CHAR_F+E+SH+D_ADDR	ADJACENT_SWAP	3-4	SH>E	E>SH	ORDER	NO	IDENTITY_NEW_VISIBLE_RECIPE	READ	1	1	1	f95v	1	0	0	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	NO	NO	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
