target_recipe	target_is_exact_catalog_key	target_identity_route	source_neighbor_edge_count	distinct_source_recipe_count	source_recipes	mutation_families	unique_sampled_context_count	sampled_page_count	sampled_pages	green_context_count	amber_context_count	stop_context_count	observed_context_robustness	stop_factor_rules	deck_instruction	identity_is_not_inferred_from_robustness	occurrence_is_not_predicted_from_robustness
AIIN	YES	IDENTITY_EXACT_OBSERVED	19	19	AIIN+Y|AIN|AL+AIIN|AR+AIIN|CH+AIIN|CHD+AIIN|K+AIIN|L+AIIN|O+AIIN|OK+AIIN|OL+AIIN|OR|OR+AIIN|OT+AIIN|R+AIIN|S+AIIN|SH+AIIN|T+AIIN|Y	ATOM_DELETION|SAME_CLASS_SUBSTITUTION	454	23	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	454	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+AIIN	YES	IDENTITY_EXACT_NARROW_APPENDIX	2	2	AIIN+Y|OR+AIIN	SAME_CLASS_SUBSTITUTION	4	4	f24v|f72r|f76r|f88v	4	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+AIN	YES	IDENTITY_EXACT_FUTURE_STRONG	3	3	AIIN+Y|OR+AIN|Y+AIN	SAME_CLASS_SUBSTITUTION	6	5	f1r|f55v|f72r|f75r|f76r	6	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+AIN+S+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	OR+AIN+S+Y	SAME_CLASS_SUBSTITUTION	1	1	f81r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+AL	YES	IDENTITY_EXACT_NARROW_APPENDIX	3	3	AL+AIIN|OR+AL|Y+AL	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	10	6	f13r|f24v|f67r2|f72r|f76r|f89r	10	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+AL+LOCAL_CHAR_I	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	AL+AIIN+LOCAL_CHAR_I	ADJACENT_SWAP	1	1	f72r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+AL+S	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+AL+S	SAME_CLASS_SUBSTITUTION	1	1	f24v	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+AL+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	OR+AL+Y	SAME_CLASS_SUBSTITUTION	2	2	f67r2|f76r	2	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+AR	NO	IDENTITY_NEW_VISIBLE_RECIPE	2	2	AR+AIIN|Y+AR	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	2	2	f81v|f82r	2	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+CH	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	CH+AIIN	ADJACENT_SWAP	5	4	f10r|f11r|f55v|f89r	5	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
