workday_step	day_phase	case_id	task_phase	source_id	acting_person	recording_or_checking_person	visible_owner_or_instrument	spoken_instruction_de	written_surface_sequence	written_group_count	master_check_de	learning_mode
1	FRUEHER_MORGEN	C1	PREPARE_PRODUCT	H1-S001	P2	P3	abgebildete breit gezähnte radialblütige Pflanze	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	dchey cthoor char chty os chair otytchol oky daiin etyd	10	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
2	FRUEHER_MORGEN	C1	PREPARE_PRODUCT	H1-S002	P2	P3	abgebildete breit gezähnte radialblütige Pflanze	Eine weitere Pflanzenportion in denselben Ansatz geben, kurz abziehen und bis zum bereiten Grundauszug weiterarbeiten.	qokchy qotchol chol cthy	4	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
3	FRUEHER_MORGEN	C1	OPTIONAL_ASTRO_CONDITION	F69_LEFT_WHEEL_NS	P1	P3	F69_LEFT_WHEEL_NS	Wähle einen lokalen Bade-/Waschplatz im Achtundzwanziger-Rad und prüfe bei Bedarf die grobe Himmels- oder Wetterlage.	MASTER_SELECTS_ONE_LOCAL_LABEL	VARIABLE_LOCAL_LABEL	Richtigen Bildplatz und Namensraum zeigen; keine Prosa-Zerlegung zulassen.	COPY_COMPLETE_LOCAL_ASTRO_LABEL
4	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S001	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: ansetzen.	qokedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
5	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S002	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: ansetzen -> zufuehren -> ansetzen -> zufuehren -> zufuehren -> abkuehlen -> fuehren -> halten -> ansetzen -> umsetzen.	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	19	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
6	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S003	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: halten + zufuehren + umsetzen.	qol sshkchdy	2	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
7	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S004	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: umsetzen -> absetzen.	chedy ol shedy	3	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
8	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S005	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: umsetzen.	qolchedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
9	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S006	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: ansetzen -> fuehren -> abkuehlen.	qokain shckhy dl ral	4	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
10	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S007	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: ansetzen + umsetzen.	qokchdy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
11	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S008	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: waermen -> absetzen.	chey ol cheky ol shedy	5	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
12	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S009	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: ansetzen.	qokedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
