rule_no	apprentice_rule_de
1	Zuerst das Bild zeigen; es setzt Pflanze oder Station stillschweigend.
2	Den Fall C1 bis C6 nennen; dadurch ist das grobe Arbeitsziel bekannt.
3	Nur eine der fünf Produktklassen als Hauptcharge wählen.
4	Maß, Quelle, Ziel, Folge und Grad aus den gemeinsamen Karten bauen.
5	Spezialhandlung als gelernte Ganzkarte aus dem Exemplar übernehmen.
6	Y/CHY meint den laufenden Posten; es ist nicht automatisch Schluss.
7	Schluss nur mit der gelernten terminalen Karte setzen.
8	Eine Aussage darf über die physische Zeile weiterlaufen.
9	Bei sichtbarem Besitzerwechsel den Arbeitsgegenstand neu setzen.
10	Biological-Stationen lokal lesen; niemals alle Röhren zu einem Netz verbinden.
11	Bei Bedarf genau ein Astro-Instrument wählen; nicht alle drei erzwingen.
12	Astro-Marke vollständig am Bildplatz kopieren; nicht in Prosa-Stämme zerlegen.
13	f67, f68 und f69 behalten getrennte Namensräume.
14	Restcharge nur dann weitertragen, wenn der Fall sie ausdrücklich als Vorrat setzt.
15	Der zweite Schreiber liest Produkt, Station, Grad und Schluss rückwärts vor.
