error_id	apprentice_error_de	damage_de	correction_de
E01	Bildbesitzer ausgelassen	falsche Pflanze oder Station	vor dem ersten Zeichen auf das Bild zeigen
E02	Zeilenende als Satzende gelesen	Arbeitsgang wird zu früh getrennt	Aussage bis zur terminalen Karte weiterlesen
E03	jedes sichtbare dy als Schluss behandelt	offene Y-Karte wird falsch geschlossen	exakte Kartenidentität prüfen
E04	Y als Stoffname statt laufenden Posten gelesen	Bezug wechselt unbemerkt	aktuellen Posten im Record halten
E05	o überall als Wasser gelesen	unverwandte Karten werden stofflich überladen	Wasser nur als Fall-/Artikelmedium setzen
E06	Auflage an reine Flüssigkeitsstation gesetzt	Form passt nicht zur Station	Produktform vor Funktionswahl prüfen
E07	alle Bio-Leitungen verbunden	lokale Szenen werden zu einer erfundenen Maschine	bei jedem sichtbaren Owner resetten
E08	f68-Sternslot als f69-Tag benutzt	zwei Instrumente erhalten erfundenen Schlüssel	Namensraum mitkopieren
E09	Astro-Marke wie Prosawort zerlegt	lokale Etikette bekommt falsche Wortstämme	ganze Marke kopieren
E10	alle drei Astro-Seiten pro Fall konsultiert	Werkstattgang wird unnötig schwer	nur primäres Instrument, zweites nur bei Bedarf
E11	Restcharge über Recordgrenze fortgesetzt	neuer Besitzer erbt falsches Material	nur C6 übernimmt ausdrücklich H5-Vorrat
E12	Schreiber erfindet neue Kartenform	gemeinsames System zerfällt	Defaultform oder gelernte lokale Variante kopieren
