occurrence_id	page	locus	token_ordinal	action_surface	v70_token_gloss_de	v68_clause_id	v68_clause_type	eligible_template_ids	exact_match_template_ids	exact_match_edge_ids	inherited_target_edge_ids	already_bound	unbound_candidate	context_start_ordinal	context_end_ordinal	context_surfaces	context_glosses_de	context_roles	decision	new_edge_count	new_microrecord_count	note
A001	f104v	f104v.2	6	qokamdy	ein Maß nehmen und erhitzen	4	ACTION_CLAUSE	T009	T009	C009	C009	1	0	3	6	chockhy|otaiin|ydaiin|qokamdy	trockene Arzneizubereitung, Gradanfang || kalter Ansatz, Grad III || davon drei Maße || ein Maß nehmen und erhitzen	NONE || PREPARATION_HEAD:C009 || DONOR_MEASURE_POOL:C009|REFERENCE:C009 || TARGET_ACTION:C009	ALREADY_ADMITTED_EXACT_SELF_REPLAY	0	0	Exact template match is the template's own GDT697 source occurrence; it adds no transfer.
A002	f105v	f105v.1	4	ykaiin	erhitze hiervon auf Stufe III	2	ACTION_CLAUSE	T001|T006	T001	C001	C001	1	0	1	4	polairy|oair|olpcheey|ykaiin	Pulveranteil II, abgeschlossen || Anteil II des Ansatzes || trocken gebundenes Holzpulver, Form II || erhitze hiervon auf Stufe III	NONE || NONE || DONOR_MATERIAL:C001 || REFERENCE:C001|TARGET_ACTION:C001	ALREADY_ADMITTED_EXACT_SELF_REPLAY	0	0	Exact template match is the template's own GDT697 source occurrence; it adds no transfer.
A003	f113v	f113v.17	7	yteeeor	hiervon eine Portion bis zur letzten Stufe abkühlen	2	ACTION_CLAUSE	T002	T002	C002	C002	1	0	4	7	olkar|okaiin|cthororaiin|yteeeor	Anteil I des heißen Holzansatzes || heißer Ansatz, Grad III || drei Portionen Krautdroge || hiervon eine Portion bis zur letzten Stufe abkühlen	NONE || NONE || DONOR_PORTION_POOL:C002 || REFERENCE:C002|TARGET_ACTION:C002	ALREADY_ADMITTED_EXACT_SELF_REPLAY	0	0	Exact template match is the template's own GDT697 source occurrence; it adds no transfer.
A004	f75r	f75r.3	4	qey	die vorstehende Mittelstufenportion anschließend nehmen	2	ACTION_CLAUSE	T003	T003	C003	C003	1	0	1	4	qokain|chal|orchey|qey	heiß, Grad II || Rohstoffklasse I, trocken am Gradanfang || eine Portion bis zur Mittelstufe getrocknete Droge || die vorstehende Mittelstufenportion anschließend nehmen	NONE || NONE || DONOR_PRECEDING_PORTION:C003 || REFERENCE:C003|TARGET_ACTION:C003	ALREADY_ADMITTED_EXACT_SELF_REPLAY	0	0	Exact template match is the template's own GDT697 source occurrence; it adds no transfer.
A005	f77r	f77r.38	6	qol	Drogenstoff zugeben	4	ACTION_CLAUSE	T004|T005|T008	T005	C005	C005	1	0	3	6	qoeedy|qokaiin|chcphey|qol	nimm die Endportion hinzu || heiß, Grad III || bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum || Drogenstoff zugeben	NONE || NONE || ADDED_OBJECT:C005 || TARGET_ACTION:C005	ALREADY_ADMITTED_EXACT_SELF_REPLAY	0	0	Exact template match is the template's own GDT697 source occurrence; it adds no transfer.
A006	f77r	f77r.38	9	qol	Drogenstoff zugeben	6	ACTION_CLAUSE	T004|T005|T008	NONE	NONE	NONE	0	1	6	9	qol|ltaiin|shedy|qol	Drogenstoff zugeben || Holz, kalt auf Stufe III || mittlere Feuchtstufe erreicht || Drogenstoff zugeben	TARGET_ACTION:C005 || NONE || NONE || NONE	UNBOUND_NO_EXACT_PARTICIPANT_FRAME	0	0	Only a coarse nominal-block plus qol clause shape repeats; none of the three exact qol surface frames matches.
A007	f80v	f80v.35	5	qol	Drogenstoff zugeben	2	ACTION_CLAUSE	T004|T005|T008	T004	C004	C004	1	0	2	5	oltain|olkar|y|qol	Holzansatz, kalt auf Stufe II || Anteil I des heißen Holzansatzes || Hierzu: || Drogenstoff zugeben	NONE || DESTINATION:C004|DESTINATION:C008 || REFERENCE:C004 || TARGET_ACTION:C004	ALREADY_ADMITTED_EXACT_SELF_REPLAY	0	0	Exact template match is the template's own GDT697 source occurrence; it adds no transfer.
A008	f80v	f80v.35	6	qol	Drogenstoff zugeben	3	ACTION_CLAUSE	T004|T005|T008	T008	C008	C008	1	0	3	6	olkar|y|qol|qol	Anteil I des heißen Holzansatzes || Hierzu: || Drogenstoff zugeben || Drogenstoff zugeben	DESTINATION:C004|DESTINATION:C008 || REFERENCE:C004 || TARGET_ACTION:C004 || TARGET_ACTION:C008	ALREADY_ADMITTED_EXACT_SELF_REPLAY	0	0	Exact template match is the template's own GDT697 source occurrence; it adds no transfer.
A009	f86v6	f86v6.25	4	qodar	Drogenanteil I abmessen	3	ACTION_CLAUSE	T007	T007	C007	C007	1	0	1	4	yteedy|qokar|olkar|qodar	hiervon bis zur Endstufe abkühlen || heißer Drogenanteil I || Anteil I des heißen Holzansatzes || Drogenanteil I abmessen	NONE || OUTPUT_LABEL:C007 || DONOR_SOURCE_SHARE:C007 || DONOR_ACTION_OUTPUT:C006|TARGET_ACTION:C007	ALREADY_ADMITTED_EXACT_SELF_REPLAY	0	0	Exact template match is the template's own GDT697 source occurrence; it adds no transfer.
A010	f86v6	f86v6.25	5	ykaiin	erhitze hiervon auf Stufe III	4	ACTION_CLAUSE	T001|T006	T006	C006	C006	1	0	2	5	qokar|olkar|qodar|ykaiin	heißer Drogenanteil I || Anteil I des heißen Holzansatzes || Drogenanteil I abmessen || erhitze hiervon auf Stufe III	OUTPUT_LABEL:C007 || DONOR_SOURCE_SHARE:C007 || DONOR_ACTION_OUTPUT:C006|TARGET_ACTION:C007 || REFERENCE:C006|TARGET_ACTION:C006	ALREADY_ADMITTED_EXACT_SELF_REPLAY	0	0	Exact template match is the template's own GDT697 source occurrence; it adds no transfer.
