assignment_id	source_probe_id	source_label_id	source_event_id	physical_page	locus	source_surface	content_class	surface_template_id	surface_template	component_template_id	component_template	meaning_template_de	topology_id	slot_topology	exact_channel_signature	channel_shape	function_channel_count	learned_slot_count	learned_span_trace	cold_route	owner_family_markers	recipe_support_tier	familiarity_state	familiarity_rank
G471-A001	G466-U001	G466-L001	P1003-E0079	f17r	f17r.13	oteeeon	PICTURED_PLANT	G471-T027	ot{NAME_1}	G471-C025	OT · {NAME_1}	DANACH · {NAME_1}	G471-P04	PREFIX · {NAME_1}	G466-C11	PREFIX	1	1	2:7:eeeon	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	NONE	OUTSIDE_BOUNDED_SHELL_ATLAS	CROSS_OWNER_RECURRENT_EXACT_FUNCTION_TEMPLATE	1
G471-A002	G466-U002	G466-L002	P1003-E0080	f17r	f17r.13	oiil	PICTURED_PLANT	G471-T035	{NAME_1}	G471-C035	{NAME_1}	{NAME_1}	G471-P09	{NAME_1}	NONE	NONE	0	1	0:4:oiil	WHOLE_LEARNED_OWNER_NAME	NONE	OUTSIDE_BOUNDED_SHELL_ATLAS	WHOLE_NAME_DEFAULT	7
G471-A003	G466-U003	G466-L003	P1003-E0596	f71v	f71v.2	arom	STAR_BEARING_RING_POSITION	G471-T003	ar{NAME_1}	G471-C003	AR · {NAME_1}	AUSGANG · {NAME_1}	G471-P04	PREFIX · {NAME_1}	G466-C06	PREFIX	1	1	2:4:om	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	NONE	OUTSIDE_BOUNDED_SHELL_ATLAS	CROSS_OWNER_RECURRENT_EXACT_FUNCTION_TEMPLATE	1
G471-A004	G466-U004	G466-L004	P1003-E0597	f71v	f71v.3	chfaly	STAR_BEARING_RING_POSITION	G471-T045	{NAME_1}aly	G471-C047	{NAME_1} · AL+Y	{NAME_1} · ZIELORT · POSTEN	G471-P16	{NAME_1} · SUFFIX	G466-C23	SUFFIX	1	1	0:3:chf	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	NONE	RUNNING_EXACT_RECIPE	MULTI_PAGE_RECURRENT_EXACT_FUNCTION_TEMPLATE	2
G471-A005	G466-U005	G466-L006	P1003-E0599	f71v	f71v.5	otchody	STAR_BEARING_RING_POSITION	G471-T027	ot{NAME_1}	G471-C025	OT · {NAME_1}	DANACH · {NAME_1}	G471-P04	PREFIX · {NAME_1}	G466-C11	PREFIX	1	1	2:7:chody	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	otch=STERNSTELLENFAMILIE	OUTSIDE_BOUNDED_SHELL_ATLAS	CROSS_OWNER_RECURRENT_EXACT_FUNCTION_TEMPLATE	1
G471-A006	G466-U006	G466-L009	P1003-E0606	f71v	f71v.10	opalar	STAR_BEARING_RING_POSITION	G471-T042	{NAME_1}alar	G471-C042	{NAME_1} · AL · AR	{NAME_1} · ZIELORT · AUSGANG	G471-P12	{NAME_1} · INTERNAL · SUFFIX	G466-C39+G466-C33	INTERNAL+SUFFIX	2	1	0:2:op	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	alar=STERNSTELLENFAMILIE|opal=STERNSTELLENFAMILIE|ala=STERNSTELLENFAMILIE|pa=STERNSTELLENFAMILIE	ADDRESS_HYBRID_SHELL_ONLY	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G471-A007	G466-U007	G466-L010	P1003-E0609	f71v	f71v.11	opalor	STAR_BEARING_RING_POSITION	G471-T043	{NAME_1}alor	G471-C046	{NAME_1} · AL+OR	{NAME_1} · ZIELORT · EINHEIT	G471-P16	{NAME_1} · SUFFIX	G466-C17	SUFFIX	1	1	0:2:op	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	opal=STERNSTELLENFAMILIE|pa=STERNSTELLENFAMILIE	RUNNING_EXACT_RECIPE	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G471-A008	G466-U008	G466-L011	P1003-E0641	f71v	f71v.13	ofaom	STAR_BEARING_RING_POSITION	G471-T005	of{NAME_1}	G471-C005	O+LOCAL_CHAR_F · {NAME_1}	AUSFÜHRUNG · HIER · {NAME_1}	G471-P04	PREFIX · {NAME_1}	G466-C07	PREFIX	1	1	2:5:aom	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	NONE	OUTSIDE_BOUNDED_SHELL_ATLAS	MULTI_PAGE_RECURRENT_EXACT_FUNCTION_TEMPLATE	2
G471-A009	G466-U009	G466-L012	P1003-E0642	f71v	f71v.14	otalody	STAR_BEARING_RING_POSITION	G471-T025	otal{NAME_1}	G471-C032	OT+AL · {NAME_1}	DANACH · ZIELORT · {NAME_1}	G471-P04	PREFIX · {NAME_1}	G466-C01	PREFIX	1	1	4:7:ody	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	otal=STERNSTELLENFAMILIE|ota=STERNSTELLENFAMILIE|tal=STERNSTELLENFAMILIE	RUNNING_EXACT_RECIPE	MULTI_PAGE_RECURRENT_EXACT_FUNCTION_TEMPLATE	2
G471-A010	G466-U010	G466-L014	P1003-E0646	f71v	f71v.17	sholshdy	STAR_BEARING_RING_POSITION	G471-T034	sholsh{NAME_1}	G471-C034	SH · OL · SH · {NAME_1}	HALTEN · FORTSETZEN · HALTEN · {NAME_1}	G471-P01	PREFIX · INTERNAL · INTERNAL · {NAME_1}	G466-C12+G466-C42+G466-C44	PREFIX+INTERNAL+INTERNAL	3	1	6:8:dy	CALIBRATED_FUNCTION_SHELL_PLUS_LEARNED_CORE	sho=STERNSTELLENFAMILIE	OUTSIDE_BOUNDED_SHELL_ATLAS	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
