topology_id	slot_topology	surface_template_count	component_template_count	source_count	content_class_count	content_classes	page_count	physical_pages	source_surfaces	recurrent
G471-P01	PREFIX · INTERNAL · INTERNAL · {NAME_1}	2	2	2	1	STAR_BEARING_RING_POSITION	2	f71v|f72r	ofsholdy|sholshdy	YES
G471-P02	PREFIX · INTERNAL · {NAME_1}	4	4	5	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	3	f72r|f88v|f89r	okairy|okalyd|okshdchos|orara|orary	YES
G471-P03	PREFIX · INTERNAL · {NAME_1} · SUFFIX	4	4	4	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	2	f72r|f89r	ararchodaiin|okaircham|okarcham|oralkam	YES
G471-P04	PREFIX · {NAME_1}	8	8	17	4	BATH_OR_OUTLET_STATION|DRUG_OR_INGREDIENT_OBJECT|PICTURED_PLANT|STAR_BEARING_RING_POSITION	6	f17r|f71v|f72r|f77r|f88v|f89r	alif|arody|arom|ofaom|ofchdamy|okyd|olay|olkchs|otalef|otalody|otchody|otdordy|oteeeon|otold|otoldy|otora|otork	YES
G471-P05	PREFIX · {NAME_1} · INTERNAL · SUFFIX	2	2	2	1	STAR_BEARING_RING_POSITION	1	f72r	okealar|olkalaiin	YES
G471-P06	PREFIX · {NAME_1} · INTERNAL · {NAME_2}	3	3	3	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	2	f72r|f88v	oklairdy|oteeary|otydary	YES
G471-P07	PREFIX · {NAME_1} · INTERNAL · {NAME_2} · SUFFIX	1	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	olfsheoral	NO
G471-P08	PREFIX · {NAME_1} · SUFFIX	10	10	10	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	3	f72r|f88v|f89r	ofakal|okeal|oldam|oletal|oraiinam|oraiiral|otchdal|otchoshy|otorain|otoram	YES
G471-P09	{NAME_1}	1	1	2	2	DRUG_OR_INGREDIENT_OBJECT|PICTURED_PLANT	2	f17r|f88v	cheosdy|oiil	YES
G471-P10	{NAME_1} · INTERNAL · INTERNAL · SUFFIX	1	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	ykolairol	NO
G471-P11	{NAME_1} · INTERNAL · INTERNAL · {NAME_2}	4	4	4	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	3	f72r|f88v|f89r	dararda|osarsheeeo|sydarary|ytalshdy	YES
G471-P12	{NAME_1} · INTERNAL · SUFFIX	4	4	5	1	STAR_BEARING_RING_POSITION	2	f71v|f72r	opalal|opalar|ralal|ykaraiin|ytairal	YES
G471-P13	{NAME_1} · INTERNAL · {NAME_2}	4	4	5	3	BATH_OR_OUTLET_STATION|DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	3	f72r|f77r|f89r	dotedy|octho|oshodady|yfary|ytarem	YES
G471-P14	{NAME_1} · INTERNAL · {NAME_2} · INTERNAL · {NAME_3} · SUFFIX	1	1	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	saloiinsheol	NO
G471-P15	{NAME_1} · INTERNAL · {NAME_2} · SUFFIX	3	3	3	2	BATH_OR_OUTLET_STATION|DRUG_OR_INGREDIENT_OBJECT	3	f77r|f88v|f89r	daramdal|darchdar|saldam	YES
G471-P16	{NAME_1} · SUFFIX	19	17	24	3	BATH_OR_OUTLET_STATION|DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	5	f71v|f72r|f77r|f88v|f89r	ainaly|chdaiirdainy|cheocthy|chfaly|chosar|cpheor|doly|eeesaly|fydy|odory|oeeesaiin|oeeodaiin|opalor|opchoroiin|opchosam|opoeey|opoiiinoin|oporain|qkol|soral|ykocfhy|yorain|ypaiin|ytoar	YES
