surface_template_id	surface_template	component_template_ids	topology_ids	exact_channel_signatures	channel_shapes	function_channel_count	learned_slot_counts	source_count	content_class_count	content_classes	page_count	physical_pages	source_surfaces	recipe_support_tiers	old_carrier_source_count	familiarity_state	familiarity_rank
G471-T001	al{NAME_1}	G471-C001	G471-P04	G466-C05	PREFIX	1	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	alif	OUTSIDE_BOUNDED_SHELL_ATLAS	0	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G471-T002	arar{NAME_1}daiin	G471-C002	G471-P03	G466-C06+G466-C40+G466-C14	PREFIX+INTERNAL+SUFFIX	3	1	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	ararchodaiin	ADDRESS_HYBRID_SHELL_ONLY	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G471-T003	ar{NAME_1}	G471-C003	G471-P04	G466-C06	PREFIX	1	1	2	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	2	f71v|f88v	arody|arom	OUTSIDE_BOUNDED_SHELL_ATLAS	0	CROSS_OWNER_RECURRENT_EXACT_FUNCTION_TEMPLATE	1
G471-T004	ofshol{NAME_1}	G471-C004	G471-P01	G466-C07+G466-C44+G466-C42	PREFIX+INTERNAL+INTERNAL	3	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	ofsholdy	ADDRESS_HYBRID_SHELL_ONLY	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G471-T005	of{NAME_1}	G471-C005	G471-P04	G466-C07	PREFIX	1	1	2	1	STAR_BEARING_RING_POSITION	2	f71v|f72r	ofaom|ofchdamy	OUTSIDE_BOUNDED_SHELL_ATLAS	0	MULTI_PAGE_RECURRENT_EXACT_FUNCTION_TEMPLATE	2
G471-T006	of{NAME_1}al	G471-C006	G471-P08	G466-C07+G466-C31	PREFIX+SUFFIX	2	1	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	ofakal	RUNNING_EXACT_RECIPE	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G471-T007	okair{NAME_1}	G471-C007	G471-P02	G466-C08+G466-C36	PREFIX+INTERNAL	2	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	okairy	OUTSIDE_BOUNDED_SHELL_ATLAS	0	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G471-T008	okair{NAME_1}am	G471-C008	G471-P03	G466-C08+G466-C36+G466-C32	PREFIX+INTERNAL+SUFFIX	3	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	okaircham	ADDRESS_HYBRID_SHELL_ONLY	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G471-T009	okal{NAME_1}	G471-C009	G471-P02	G466-C08+G466-C39	PREFIX+INTERNAL	2	1	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	okalyd	RUNNING_EXACT_RECIPE	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G471-T010	okar{NAME_1}am	G471-C010	G471-P03	G466-C08+G466-C40+G466-C32	PREFIX+INTERNAL+SUFFIX	3	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	okarcham	ADDRESS_FULL_FORMULA_ONLY	1	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G471-T011	oksh{NAME_1}	G471-C011	G471-P02	G466-C08+G466-C44	PREFIX+INTERNAL	2	1	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	okshdchos	OUTSIDE_BOUNDED_SHELL_ATLAS	0	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
G471-T012	ok{NAME_1}	G471-C012	G471-P04	G466-C08	PREFIX	1	1	1	1	STAR_BEARING_RING_POSITION	1	f72r	okyd	OUTSIDE_BOUNDED_SHELL_ATLAS	0	SINGLETON_EXACT_FUNCTION_TEMPLATE	4
