family_id	surface_stem	working_family_value_de	content_class	source_probe_match_count	mutation_probe_match_count	paired_retained_count	paired_lost_count	paired_gained_count	source_surfaces	lost_source_surfaces	policy
G466-F01	otora	DROGENFAMILIE	DRUG_OR_INGREDIENT_OBJECT	3	0	0	3	0	otora|otorain|otoram	otora|otorain|otoram	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F02	arar	DROGENFAMILIE	DRUG_OR_INGREDIENT_OBJECT	3	3	3	0	0	ararchodaiin|dararda|sydarary	NONE	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F03	cheo	DROGENFAMILIE	DRUG_OR_INGREDIENT_OBJECT	2	0	0	2	0	cheocthy|cheosdy	cheocthy|cheosdy	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F04	dara	DROGENFAMILIE	DRUG_OR_INGREDIENT_OBJECT	3	1	1	2	0	daramdal|dararda|sydarary	daramdal|dararda	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F05	raiin	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	2	1	1	1	0	oraiinam|ykaraiin	oraiinam	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F06	alar	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	2	2	2	0	0	okealar|opalar	NONE	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F07	kara	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	1	1	1	0	0	ykaraiin	NONE	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F08	okar	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	1	1	1	0	0	okarcham	NONE	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F09	opal	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	0	0	3	0	opalal|opalar|opalor	opalal|opalar|opalor	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F10	otal	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	2	2	2	0	0	otalef|otalody	NONE	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F11	otch	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	0	0	3	0	otchdal|otchody|otchoshy	otchdal|otchody|otchoshy	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F12	raii	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	1	1	2	0	oraiinam|oraiiral|ykaraiin	oraiinam|oraiiral	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F13	ala	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	5	5	5	0	0	okealar|olkalaiin|opalal|opalar|ralal	NONE	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F14	kar	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	2	2	2	0	0	okarcham|ykaraiin	NONE	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F15	ota	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	2	2	2	0	0	otalef|otalody	NONE	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F16	sho	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	3	3	0	0	ofsholdy|oshodady|sholshdy	NONE	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F17	tal	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	4	4	4	0	0	oletal|otalef|otalody|ytalshdy	NONE	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
G466-F18	pa	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	4	4	4	0	0	opalal|opalar|opalor|ypaiin	NONE	OWNER_FAMILY_MARKER_ONLY__NOT_A_FUNCTION_TEMPLATE
