component_template_id	component_template	meaning_template_de	surface_template_count	surface_template_ids	surface_templates	alternate_surface_rendering	topology_ids	source_count	content_class_count	content_classes	page_count	physical_pages	source_surfaces	recipe_support_tiers
G471-C001	AL · {NAME_1}	ZIELORT · {NAME_1}	1	G471-T001	al{NAME_1}	NO	G471-P04	1	1	STAR_BEARING_RING_POSITION	1	f72r	alif	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C002	AR · AR · {NAME_1} · AIIN	AUSGANG · AUSGANG · {NAME_1} · WERT	1	G471-T002	arar{NAME_1}daiin	NO	G471-P03	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	ararchodaiin	ADDRESS_HYBRID_SHELL_ONLY
G471-C003	AR · {NAME_1}	AUSGANG · {NAME_1}	1	G471-T003	ar{NAME_1}	NO	G471-P04	2	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	2	f71v|f88v	arody|arom	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C004	O+LOCAL_CHAR_F · SH · OL · {NAME_1}	AUSFÜHRUNG · HIER · HALTEN · FORTSETZEN · {NAME_1}	1	G471-T004	ofshol{NAME_1}	NO	G471-P01	1	1	STAR_BEARING_RING_POSITION	1	f72r	ofsholdy	ADDRESS_HYBRID_SHELL_ONLY
G471-C005	O+LOCAL_CHAR_F · {NAME_1}	AUSFÜHRUNG · HIER · {NAME_1}	1	G471-T005	of{NAME_1}	NO	G471-P04	2	1	STAR_BEARING_RING_POSITION	2	f71v|f72r	ofaom|ofchdamy	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C006	O+LOCAL_CHAR_F · {NAME_1} · AL	AUSFÜHRUNG · HIER · {NAME_1} · ZIELORT	1	G471-T006	of{NAME_1}al	NO	G471-P08	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	ofakal	RUNNING_EXACT_RECIPE
G471-C007	OK · AIR · {NAME_1}	SETZEN · BAHN · {NAME_1}	1	G471-T007	okair{NAME_1}	NO	G471-P02	1	1	STAR_BEARING_RING_POSITION	1	f72r	okairy	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C008	OK · AIR · {NAME_1} · AM_ADDR	SETZEN · BAHN · {NAME_1} · HIER	1	G471-T008	okair{NAME_1}am	NO	G471-P03	1	1	STAR_BEARING_RING_POSITION	1	f72r	okaircham	ADDRESS_HYBRID_SHELL_ONLY
G471-C009	OK · AL · {NAME_1}	SETZEN · ZIELORT · {NAME_1}	1	G471-T009	okal{NAME_1}	NO	G471-P02	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	okalyd	RUNNING_EXACT_RECIPE
G471-C010	OK · AR · {NAME_1} · AM_ADDR	SETZEN · AUSGANG · {NAME_1} · HIER	1	G471-T010	okar{NAME_1}am	NO	G471-P03	1	1	STAR_BEARING_RING_POSITION	1	f72r	okarcham	ADDRESS_FULL_FORMULA_ONLY
G471-C011	OK · SH · {NAME_1}	SETZEN · HALTEN · {NAME_1}	1	G471-T011	oksh{NAME_1}	NO	G471-P02	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	okshdchos	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C012	OK · {NAME_1}	SETZEN · {NAME_1}	1	G471-T012	ok{NAME_1}	NO	G471-P04	1	1	STAR_BEARING_RING_POSITION	1	f72r	okyd	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C013	OK · {NAME_1} · AIR · {NAME_2}	SETZEN · {NAME_1} · BAHN · {NAME_2}	1	G471-T013	ok{NAME_1}air{NAME_2}	NO	G471-P06	1	1	STAR_BEARING_RING_POSITION	1	f72r	oklairdy	OUTSIDE_BOUNDED_SHELL_ATLAS
