source_card_ordinal	bath_action_ordinal	action_slot_id	target_event_id	statement_id	physical_page	locus	host_ordinal_in_statement	surface	component_recipe	aiin_fill_present	gdt569_inherited_argument_root	same_event_late_y_count	frame_evidence_slot_ids	frame_evidence_lemma_de	frame_evidence_basis	source_kind	complement_order	primary_object_source_direction	primary_object_source_slot_ids	gdt595_selection_route	gdt595_object_class	gdt595_object_lemma_de	gdt595_object_form_de	gdt594_previous_clause_de	gdt595_completed_clause_de	retained_badegut_clause_de	retained_body_clause_de	retained_station_clause_de	retained_portion_clause_de	retained_unit_clause_de	workshop_model_class	model_c_class	hybrid_changed_from_workshop	hybrid_agrees_with_model_c	working_strength	working_note_de	reader_clause_occurrence_index	completion_status	guard
1	3	RUNNING:G407-E1445@1	G407-E1445	G407-S085	f75r	f75r.3	5	sheeky	SH+EE+K+Y	NO	NOT_APPLICABLE	1	RUNNING:G407-E1445@4	Stationsansatz	GDT582_EXACT_WRITTEN_LATE_Y	SAME_EVENT_LATE_Y_PACKET	PATIENT_WRITTEN_AFTER_COMPACT_ACTION_CHAIN	LEFTWARD_ANAPHORA	RUNNING:G407-E1444@2	NEAREST_VISIBLE_NONMEDIUM_PARTICIPANT	PORTION	Anwendungsportion	dieselbe Anwendungsportion	Halte das zu badende Gut im Bad auf Grad II	Halte dieselbe Anwendungsportion im Bad auf Grad II	Halte das zu badende Gut im Bad auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Stationsansatz im Bad auf Grad II	Halte die Anwendungsportion im Bad auf Grad II	Halte die Badeinheit im Bad auf Grad II	PORTION	STATION	NO	NO	VISIBLE_SAME_SEGMENT_PARTICIPANT	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Anwendungsportion-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	1	COLD_DEFAULT_COMPLETED_AT_OCCURRENCE_LEVEL	EXACT_COLD_ACTION_ONLY__SOURCE_PRIORITY_FILL_THEN_LATE_Y_THEN_CONTEXT__OLD_BADEGUT_AND_MAJOR_RIVALS_RETAINED__NO_GLOBAL_STEM_REDEFINITION
2	13	RUNNING:G407-E1523@2	G407-E1523	G407-S101	f75r	f75r.12	4	ssheckhy	S+SH+E+CH+K+Y	NO	NOT_APPLICABLE	1	RUNNING:G407-E1523@6	Stationsansatz	GDT582_EXACT_WRITTEN_LATE_Y	SAME_EVENT_LATE_Y_PACKET	PATIENT_WRITTEN_AFTER_COMPACT_ACTION_CHAIN	LEFTWARD_ANAPHORA	RUNNING:G407-E1521@2	NEAREST_VISIBLE_NONMEDIUM_PARTICIPANT	BATH_UNIT	Becken- oder Körpereinheit	dieselbe Becken- oder Körpereinheit	Halte das zu badende Gut im Bad auf Grad I	Halte dieselbe Becken- oder Körpereinheit im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	BATH_UNIT	BODY	NO	NO	VISIBLE_SAME_SEGMENT_PARTICIPANT	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Becken- oder Körpereinheit-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	1	COLD_DEFAULT_COMPLETED_AT_OCCURRENCE_LEVEL	EXACT_COLD_ACTION_ONLY__SOURCE_PRIORITY_FILL_THEN_LATE_Y_THEN_CONTEXT__OLD_BADEGUT_AND_MAJOR_RIVALS_RETAINED__NO_GLOBAL_STEM_REDEFINITION
3	22	RUNNING:G407-E1573@1	G407-E1573	G407-S115	f75r	f75r.17	5	shepchy	SH+E+P+Y	NO	NOT_APPLICABLE	1	RUNNING:G407-E1573@4	Stationsansatz	GDT582_EXACT_WRITTEN_LATE_Y	SAME_EVENT_LATE_Y_PACKET	PATIENT_WRITTEN_AFTER_COMPACT_ACTION_CHAIN	LEFTWARD_ANAPHORA	RUNNING:G407-E1571@2	NEAREST_VISIBLE_NONMEDIUM_PARTICIPANT	STATION	Stationsansatz	denselben Stationsansatz	Halte das zu badende Gut im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	STATION	STATION	NO	YES	VISIBLE_SAME_SEGMENT_PARTICIPANT	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	1	COLD_DEFAULT_COMPLETED_AT_OCCURRENCE_LEVEL	EXACT_COLD_ACTION_ONLY__SOURCE_PRIORITY_FILL_THEN_LATE_Y_THEN_CONTEXT__OLD_BADEGUT_AND_MAJOR_RIVALS_RETAINED__NO_GLOBAL_STEM_REDEFINITION
4	41	RUNNING:G407-E1670@1	G407-E1670	G407-S126	f75r	f75r.28	5	shecthy	SH+E+CH+T+Y	NO	NOT_APPLICABLE	1	RUNNING:G407-E1670@5	Stationsansatz	GDT590_EXACT_ACTION_CONDITIONED_LATE_Y	SAME_EVENT_LATE_Y_PACKET	PATIENT_WRITTEN_AFTER_COMPACT_ACTION_CHAIN	LEFTWARD_ANAPHORA	RUNNING:G407-E1667@3	NEAREST_VISIBLE_NONMEDIUM_PARTICIPANT	STATION	Stationsansatz	denselben Stationsansatz	Halte das zu badende Gut im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	STATION	STATION	NO	YES	VISIBLE_SAME_SEGMENT_PARTICIPANT	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	1	COLD_DEFAULT_COMPLETED_AT_OCCURRENCE_LEVEL	EXACT_COLD_ACTION_ONLY__SOURCE_PRIORITY_FILL_THEN_LATE_Y_THEN_CONTEXT__OLD_BADEGUT_AND_MAJOR_RIVALS_RETAINED__NO_GLOBAL_STEM_REDEFINITION
5	51	RUNNING:G407-E1742@1	G407-E1742	G407-S145	f75r	f75r.35	2	sheety	SH+EE+T+Y	NO	NOT_APPLICABLE	1	RUNNING:G407-E1742@4	Körper	GDT590_EXACT_ACTION_CONDITIONED_LATE_Y	SAME_EVENT_LATE_Y_PACKET	PATIENT_WRITTEN_AFTER_COMPACT_ACTION_CHAIN	RIGHTWARD_SHARED_COMPLEMENT	RUNNING:G407-E1742@4	SAME_EVENT_RIGHTWARD_SHARED_COMPLEMENT	BODY	Körper	den Körper	Halte das zu badende Gut im Bad auf Grad II	Halte den Körper im Bad auf Grad II	Halte das zu badende Gut im Bad auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Stationsansatz im Bad auf Grad II	Halte die Anwendungsportion im Bad auf Grad II	Halte die Badeinheit im Bad auf Grad II	BODY	BODY	NO	YES	WRITTEN_SAME_EVENT_COMPLEMENT_WORKING_RULE	Der im selben Ereignis rechts geschriebene Träger wird als gemeinsames Körper-Komplement der kurzen Verbkette gelesen; die ältere enge Hostanbindung bleibt als Rivale erhalten.	1	COLD_DEFAULT_COMPLETED_AT_OCCURRENCE_LEVEL	EXACT_COLD_ACTION_ONLY__SOURCE_PRIORITY_FILL_THEN_LATE_Y_THEN_CONTEXT__OLD_BADEGUT_AND_MAJOR_RIVALS_RETAINED__NO_GLOBAL_STEM_REDEFINITION
6	63	RUNNING:G407-E2414@1	G407-E2414	G407-S314	f77r	f77r.11	2	shedy	SH+E+DY	NO	AIIN	0	GDT569:G407-E2414:AIIN_CONTEXT_CARRY	Füllung	GDT569_INHERITED_AIIN_FILL	AIIN_FILL_CONTEXT	AIIN_MEDIUM_PLUS_SEPARATELY_SELECTED_PATIENT	DEFINITE_BODY_DEFAULT	NO_PRIMARY_OBJECT_SOURCE	RESET_BODY_FIRST_WITHOUT_NONMEDIUM_PARTICIPANT	BODY	Körper	den Körper	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	BODY	BODY	NO	YES	EXPLORATORY_BODY_FIRST_DEFAULT	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	1	COLD_DEFAULT_COMPLETED_AT_OCCURRENCE_LEVEL	EXACT_COLD_ACTION_ONLY__SOURCE_PRIORITY_FILL_THEN_LATE_Y_THEN_CONTEXT__OLD_BADEGUT_AND_MAJOR_RIVALS_RETAINED__NO_GLOBAL_STEM_REDEFINITION
7	64	RUNNING:G407-E2416@1	G407-E2416	G407-S315	f77r	f77r.11	2	shedy	SH+E+DY	NO	AIIN	0	GDT569:G407-E2416:AIIN_CONTEXT_CARRY	Füllung	GDT569_INHERITED_AIIN_FILL	AIIN_FILL_CONTEXT	AIIN_MEDIUM_PLUS_SEPARATELY_SELECTED_PATIENT	DEFINITE_BODY_DEFAULT	NO_PRIMARY_OBJECT_SOURCE	RESET_BODY_FIRST_WITHOUT_NONMEDIUM_PARTICIPANT	BODY	Körper	den Körper	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	BODY	BODY	NO	YES	EXPLORATORY_BODY_FIRST_DEFAULT	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	1	COLD_DEFAULT_COMPLETED_AT_OCCURRENCE_LEVEL	EXACT_COLD_ACTION_ONLY__SOURCE_PRIORITY_FILL_THEN_LATE_Y_THEN_CONTEXT__OLD_BADEGUT_AND_MAJOR_RIVALS_RETAINED__NO_GLOBAL_STEM_REDEFINITION
8	65	RUNNING:G407-E2426@1	G407-E2426	G407-S321	f77r	f77r.12	3	shedaiin	SH+E+AIIN	YES	NOT_APPLICABLE	0	RUNNING:G407-E2426@3	Füllung	DIRECT_WRITTEN_AIIN_FILL	AIIN_FILL_CONTEXT	AIIN_MEDIUM_PLUS_SEPARATELY_SELECTED_PATIENT	LEFTWARD_ANAPHORA	RUNNING:G407-E2425@2	NEAREST_VISIBLE_NONMEDIUM_PARTICIPANT	STATION	Stationsansatz	denselben Stationsansatz	Halte das zu badende Gut im Bad bei der angegebenen Füllung auf Grad I	Halte denselben Stationsansatz im Bad bei der angegebenen Füllung auf Grad I	Halte das zu badende Gut im Bad bei der angegebenen Füllung auf Grad I	Halte den Körper im Bad bei der angegebenen Füllung auf Grad I	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I	Halte die Anwendungsportion im Bad bei der angegebenen Füllung auf Grad I	Halte die Badeinheit im Bad bei der angegebenen Füllung auf Grad I	STATION	BODY	NO	NO	VISIBLE_SAME_SEGMENT_PARTICIPANT	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	1	COLD_DEFAULT_COMPLETED_AT_OCCURRENCE_LEVEL	EXACT_COLD_ACTION_ONLY__SOURCE_PRIORITY_FILL_THEN_LATE_Y_THEN_CONTEXT__OLD_BADEGUT_AND_MAJOR_RIVALS_RETAINED__NO_GLOBAL_STEM_REDEFINITION
9	66	RUNNING:G407-E2431@1	G407-E2431	G407-S322	f77r	f77r.13	2	sheedy	SH+EE+DY	NO	AIIN	0	GDT569:G407-E2431:AIIN_CONTEXT_CARRY	Füllung	GDT569_INHERITED_AIIN_FILL	AIIN_FILL_CONTEXT	AIIN_MEDIUM_PLUS_SEPARATELY_SELECTED_PATIENT	DEFINITE_BODY_DEFAULT	NO_PRIMARY_OBJECT_SOURCE	RESET_BODY_FIRST_WITHOUT_NONMEDIUM_PARTICIPANT	BODY	Körper	den Körper	Halte das zu badende Gut im Bad auf Grad II	Halte den Körper im Bad auf Grad II	Halte das zu badende Gut im Bad auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Stationsansatz im Bad auf Grad II	Halte die Anwendungsportion im Bad auf Grad II	Halte die Badeinheit im Bad auf Grad II	BODY	BODY	NO	YES	EXPLORATORY_BODY_FIRST_DEFAULT	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	1	COLD_DEFAULT_COMPLETED_AT_OCCURRENCE_LEVEL	EXACT_COLD_ACTION_ONLY__SOURCE_PRIORITY_FILL_THEN_LATE_Y_THEN_CONTEXT__OLD_BADEGUT_AND_MAJOR_RIVALS_RETAINED__NO_GLOBAL_STEM_REDEFINITION
10	68	RUNNING:G407-E2444@1	G407-E2444	G407-S326	f77r	f77r.14	2	shedy	SH+E+DY	NO	AIIN	0	GDT569:G407-E2444:AIIN_CONTEXT_CARRY	Füllung	GDT569_INHERITED_AIIN_FILL	AIIN_FILL_CONTEXT	AIIN_MEDIUM_PLUS_SEPARATELY_SELECTED_PATIENT	DEFINITE_BODY_DEFAULT	NO_PRIMARY_OBJECT_SOURCE	RESET_BODY_FIRST_WITHOUT_NONMEDIUM_PARTICIPANT	BODY	Körper	den Körper	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	BODY	BODY	NO	YES	EXPLORATORY_BODY_FIRST_DEFAULT	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	1	COLD_DEFAULT_COMPLETED_AT_OCCURRENCE_LEVEL	EXACT_COLD_ACTION_ONLY__SOURCE_PRIORITY_FILL_THEN_LATE_Y_THEN_CONTEXT__OLD_BADEGUT_AND_MAJOR_RIVALS_RETAINED__NO_GLOBAL_STEM_REDEFINITION
