comparison_ordinal	target_event_id	statement_id	physical_page	surface	morphological_frame	primary_object_source_direction	workshop_model_class	source_precedence_model_c_class	selected_hybrid_class	changed_from_workshop	agrees_with_model_c	selected_clause_de	body_rival_de	station_rival_de	portion_rival_de	unit_rival_de	selection_note_de	guard
1	G407-E1445	G407-S085	f75r	sheeky	SAME_EVENT_LATE_Y_PACKET	LEFTWARD_ANAPHORA	PORTION	STATION	PORTION	NO	NO	Halte dieselbe Anwendungsportion im Bad auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Stationsansatz im Bad auf Grad II	Halte die Anwendungsportion im Bad auf Grad II	Halte die Badeinheit im Bad auf Grad II	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Anwendungsportion-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
2	G407-E1523	G407-S101	f75r	ssheckhy	SAME_EVENT_LATE_Y_PACKET	LEFTWARD_ANAPHORA	BATH_UNIT	BODY	BATH_UNIT	NO	NO	Halte dieselbe Becken- oder Körpereinheit im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Becken- oder Körpereinheit-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
3	G407-E1573	G407-S115	f75r	shepchy	SAME_EVENT_LATE_Y_PACKET	LEFTWARD_ANAPHORA	STATION	STATION	STATION	NO	YES	Halte denselben Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
4	G407-E1670	G407-S126	f75r	shecthy	SAME_EVENT_LATE_Y_PACKET	LEFTWARD_ANAPHORA	STATION	STATION	STATION	NO	YES	Halte denselben Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
5	G407-E1742	G407-S145	f75r	sheety	SAME_EVENT_LATE_Y_PACKET	RIGHTWARD_SHARED_COMPLEMENT	BODY	BODY	BODY	NO	YES	Halte den Körper im Bad auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Stationsansatz im Bad auf Grad II	Halte die Anwendungsportion im Bad auf Grad II	Halte die Badeinheit im Bad auf Grad II	Der im selben Ereignis rechts geschriebene Träger wird als gemeinsames Körper-Komplement der kurzen Verbkette gelesen; die ältere enge Hostanbindung bleibt als Rivale erhalten.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
6	G407-E2414	G407-S314	f77r	shedy	AIIN_FILL_CONTEXT	DEFINITE_BODY_DEFAULT	BODY	BODY	BODY	NO	YES	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
7	G407-E2416	G407-S315	f77r	shedy	AIIN_FILL_CONTEXT	DEFINITE_BODY_DEFAULT	BODY	BODY	BODY	NO	YES	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
8	G407-E2426	G407-S321	f77r	shedaiin	AIIN_FILL_CONTEXT	LEFTWARD_ANAPHORA	STATION	BODY	STATION	NO	NO	Halte denselben Stationsansatz im Bad bei der angegebenen Füllung auf Grad I	Halte den Körper im Bad bei der angegebenen Füllung auf Grad I	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I	Halte die Anwendungsportion im Bad bei der angegebenen Füllung auf Grad I	Halte die Badeinheit im Bad bei der angegebenen Füllung auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
9	G407-E2431	G407-S322	f77r	sheedy	AIIN_FILL_CONTEXT	DEFINITE_BODY_DEFAULT	BODY	BODY	BODY	NO	YES	Halte den Körper im Bad auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Stationsansatz im Bad auf Grad II	Halte die Anwendungsportion im Bad auf Grad II	Halte die Badeinheit im Bad auf Grad II	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
10	G407-E2444	G407-S326	f77r	shedy	AIIN_FILL_CONTEXT	DEFINITE_BODY_DEFAULT	BODY	BODY	BODY	NO	YES	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
11	G407-E2448	G407-S330	f77r	shedy	AIIN_FILL_CONTEXT	DEFINITE_BODY_DEFAULT	BODY	BODY	BODY	NO	YES	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
12	G407-E2450	G407-S331	f77r	shedy	AIIN_FILL_CONTEXT	DEFINITE_BODY_DEFAULT	BODY	BODY	BODY	NO	YES	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
13	G407-E2452	G407-S332	f77r	sheety	SAME_EVENT_LATE_Y_PACKET	RIGHTWARD_SHARED_COMPLEMENT	BODY	BODY	BODY	NO	YES	Halte den Körper im Bad auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Stationsansatz im Bad auf Grad II	Halte die Anwendungsportion im Bad auf Grad II	Halte die Badeinheit im Bad auf Grad II	Der im selben Ereignis rechts geschriebene Träger wird als gemeinsames Körper-Komplement der kurzen Verbkette gelesen; die ältere enge Hostanbindung bleibt als Rivale erhalten.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
14	G407-E2461	G407-S334	f77r	shedy	AIIN_FILL_CONTEXT	LEFTWARD_ANAPHORA	STATION	BODY	STATION	NO	NO	Halte denselben Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
15	G407-E2503	G407-S348	f77r	shedy	AIIN_FILL_CONTEXT	DEFINITE_BODY_DEFAULT	BODY	BODY	BODY	NO	YES	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
16	G407-E2520	G407-S354	f77r	sheoky	SAME_EVENT_LATE_Y_PACKET	LEFTWARD_ANAPHORA	STATION	STATION	STATION	NO	YES	Halte denselben Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
17	G407-E2552	G407-S362	f77r	shedy	AIIN_FILL_CONTEXT	LEFTWARD_ANAPHORA	PORTION	BODY	PORTION	NO	NO	Halte dieselbe Anwendungsportion im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Anwendungsportion-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
18	G407-E2597	G407-S372	f77r	shedy	AIIN_FILL_CONTEXT	LEFTWARD_ANAPHORA	STATION	BODY	STATION	NO	NO	Halte denselben Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
19	G407-E2634	G407-S381	f77r	shedy	AIIN_FILL_CONTEXT	LEFTWARD_ANAPHORA	STATION	BODY	STATION	NO	NO	Halte denselben Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
20	G407-E2647	G407-S384	f77r	sheeol	AIIN_FILL_CONTEXT	DEFINITE_BODY_DEFAULT	BODY	STATION	BODY	NO	NO	Halte den Körper im Bad bei der angegebenen Füllung	Halte den Körper im Bad bei der angegebenen Füllung	Halte den Stationsansatz im Bad bei der angegebenen Füllung	Halte die Anwendungsportion im Bad bei der angegebenen Füllung	Halte die Badeinheit im Bad bei der angegebenen Füllung	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
21	G407-E2670	G407-S390	f77r	chee	NO_AIIN_OR_SAME_EVENT_Y_CONTEXT	LEFTWARD_ANAPHORA	STATION	BODY	STATION	NO	NO	Halte denselben Stationsansatz im Bad auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Stationsansatz im Bad auf Grad II	Halte die Anwendungsportion im Bad auf Grad II	Halte die Badeinheit im Bad auf Grad II	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen. Vorher wird der Stationsansatz vorbereitet, danach wieder entnommen; die Badeklausel liegt in derselben Arbeitskette.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
22	G407-E2857	G407-S425	f81r	sheckhy	SAME_EVENT_LATE_Y_PACKET	LEFTWARD_ANAPHORA	PORTION	STATION	PORTION	NO	NO	Halte dieselbe Anwendungsportion im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Anwendungsportion-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
23	G407-E2863	G407-S426	f81r	shecphy	SAME_EVENT_LATE_Y_PACKET	RIGHTWARD_SHARED_COMPLEMENT	BODY	STATION	STATION	YES	YES	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Der im selben Ereignis rechts geschriebene Träger wird als gemeinsames Stationsansatz-Komplement der kurzen Verbkette gelesen; die ältere enge Hostanbindung bleibt als Rivale erhalten.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
24	G407-E2906	G407-S434	f81r	shedy	AIIN_FILL_CONTEXT	LEFTWARD_ANAPHORA	STATION	BODY	STATION	NO	NO	Halte denselben Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
25	G407-E2927	G407-S442	f81v	shekal	NO_AIIN_OR_SAME_EVENT_Y_CONTEXT	DEFINITE_BODY_DEFAULT	BODY	BODY	BODY	NO	YES	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault. Nach dem Satzreset steht vor der Badeklausel kein nicht-mediumhafter Teilnehmer; Körper bleibt der einfache Arbeitsdefault.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
26	G407-E2932	G407-S443	f81v	shek	NO_AIIN_OR_SAME_EVENT_Y_CONTEXT	DEFINITE_BODY_DEFAULT	BODY	STATION	BODY	NO	NO	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Der Portionszeuge beginnt erst im Folgeereignis und die Station erhält danach eine eigene Badeklausel; die erste resetgebundene Stelle bleibt Körper. Im selben Satz folgt bereits eine ausdrücklich stationsgebundene Badeklausel; der erste unmarkierte Patient wird körpernah gelesen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
27	G407-E2952	G407-S446	f81v	shek	NO_AIIN_OR_SAME_EVENT_Y_CONTEXT	BIDIRECTIONAL_PACKET_TIEBREAK	STATION	BODY	STATION	NO	NO	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Links stehen Stationsansatz und Portion gleichrangig; die folgende Stationsbehandlung entscheidet den Arbeitsdefault zugunsten der Station. Der Satz führt Stationsansatz und Portion zu und behandelt danach ausdrücklich wieder den Stationsansatz.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
28	G407-E2988	G407-S449	f81v	sheckhal	NO_AIIN_OR_SAME_EVENT_Y_CONTEXT	LEFTWARD_ANAPHORA	BATH_UNIT	STATION	BATH_UNIT	NO	NO	Halte dieselbe Becken- oder Körpereinheit im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Becken- oder Körpereinheit-Teilnehmer derselben Arbeitskette wird wiederaufgenommen. Die unmittelbar sichtbare Becken- oder Körpereinheit liefert hier den konkretesten lokalen Badeträger.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
29	G407-E3051	G407-S466	f81v	sheeky	SAME_EVENT_LATE_Y_PACKET	LEFTWARD_ANAPHORA	STATION	STATION	STATION	NO	YES	Halte denselben Stationsansatz im Bad auf Grad II	Halte den Körper im Bad auf Grad II	Halte den Stationsansatz im Bad auf Grad II	Halte die Anwendungsportion im Bad auf Grad II	Halte die Badeinheit im Bad auf Grad II	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
