instruction_id	clause_id	physical_page	register	start_event	end_event	event_count	loci	crosses_physical_line	surface_sequence	component_sequence	fluent_workshop_de	editorial_boundary	minimal_verb_sequence	revised_fluent_de
P917-I0001	P915-C001	f10r	HERBAL	P912-E0001	P912-E0001	1	f10r.1	NO	pchocthy	P+CH+O+CTH+Y	Diesen Posten einsetzen, entnehmen, bearbeiten und bis bereit führen.	ACTION_OR_LICENSED_CLOSE	P>CH>O>CTH	Diesen Posten einsetzen, entnehmen, ausführen und bereitstellen.
P917-I0002	P915-C001	f10r	HERBAL	P912-E0002	P912-E0002	1	f10r.1	NO	shor	SH+OR	Den Ansatz halten.	ACTION_OR_LICENSED_CLOSE	SH	Den Ansatz halten.
P917-I0003	P915-C001	f10r	HERBAL	P912-E0003	P912-E0003	1	f10r.1	NO	octhody	O+CTH+O+D_ADDR+Y	Aus diesem Teil diesen Posten bearbeiten, bis bereit führen und bearbeiten.	ACTION_OR_LICENSED_CLOSE	O>CTH>O	Aus diesem Teil diesen Posten ausführen, bereitstellen und ausführen.
P917-I0004	P915-C001	f10r	HERBAL	P912-E0004	P912-E0004	1	f10r.1	NO	chorchy	CH+OR+CH+Y	Den Ansatz und diesen Posten entnehmen.	ACTION_OR_LICENSED_CLOSE	CH>CH	Den Ansatz und diesen Posten entnehmen.
P917-I0005	P915-C001	f10r	HERBAL	P912-E0005	P912-E0005	1	f10r.1	NO	pchodol	P+CH+O+D_ADDR+OL	Weiter aus diesem Teil einsetzen, entnehmen und bearbeiten.	ACTION_OR_LICENSED_CLOSE	P>CH>O	Weiter aus diesem Teil einsetzen, entnehmen und ausführen.
P917-I0006	P915-C001	f10r	HERBAL	P912-E0006	P912-E0006	1	f10r.1	NO	chopchal	CH+O+P+CH+AL	Entnehmen, bearbeiten, einsetzen und entnehmen zur Ziel- oder Anschlussstelle.	ACTION_OR_LICENSED_CLOSE	CH>O>P>CH	Entnehmen, ausführen, einsetzen und entnehmen zur Ziel- oder Anschlussstelle.
P917-I0007	P915-C001	f10r	HERBAL	P912-E0007	P912-E0007	1	f10r.1	NO	ypch	Y+P+CH	Diesen Posten einsetzen und entnehmen.	ACTION_OR_LICENSED_CLOSE	P>CH	Diesen Posten einsetzen und entnehmen.
P917-I0008	P915-C001	f10r	HERBAL	P912-E0008	P912-E0008	1	f10r.1	NO	kom	K+O+M_LOCAL	Zugeben oder zuordnen und bearbeiten mit m-Zeichen.	ACTION_OR_LICENSED_CLOSE	K>O	Zugeben und ausführen mit m-Zeichen.
P917-I0009	P915-C001	f10r	HERBAL	P912-E0009	P912-E0009	1	f10r.2	NO	dchey	CH+E+Y	Diesen Posten kurz entnehmen.	ACTION_OR_LICENSED_CLOSE	CH	Diesen Posten kurz entnehmen.
P917-I0010	P915-C001	f10r	HERBAL	P912-E0010	P912-E0010	1	f10r.2	NO	cthoor	CTH+O+OR	Den Ansatz bis bereit führen und bearbeiten.	ACTION_OR_LICENSED_CLOSE	CTH>O	Den Ansatz bereitstellen und ausführen.
