ladder_signature	grade	grade_reading_de	component_recipe	surfaces	events	working_reading_de
CHK+Y	E	KURZ	CHK+E+Y	cheky	3	WAERMEN · KURZ · DIES
CHK+Y	EE	LANG	CHK+EE+Y	cheeky,chkeey	3	WAERMEN · LANG · DIES
OK+DY	E	KURZ	OK+E+DY	qokedy	8	ANSETZEN · KURZ · SCHLUSS
OK+DY	EE	LANG	OK+EE+DY	qokeedy	10	ANSETZEN · LANG · SCHLUSS
OK+DY	EEE	VOLL	OK+EEE+DY	qokeeedy	1	ANSETZEN · VOLL · SCHLUSS
OK+Y	E	KURZ	OK+E+Y	okey,qokey	2	ANSETZEN · KURZ · DIES
OK+Y	EE	LANG	OK+EE+Y	okeey,qokeey	7	ANSETZEN · LANG · DIES
OT+DY	E	KURZ	OT+E+DY	otedy	2	DANACH · KURZ · SCHLUSS
OT+DY	EE	LANG	OT+EE+DY	qoteedy	2	DANACH · LANG · SCHLUSS
SH+DY	E	KURZ	SH+E+DY	dshedy	1	HALTEN · KURZ · SCHLUSS
SH+DY	EE	LANG	SH+EE+DY	sheedy	1	HALTEN · LANG · SCHLUSS
SH+Y	E	KURZ	SH+E+Y	tshey	1	HALTEN · KURZ · DIES
SH+Y	EE	LANG	SH+EE+Y	cheey,sheey,shey	5	HALTEN · LANG · DIES
SOLK+Y	E	KURZ	SOLK+E+Y	solkey	1	SAMMELSTELLE · KURZ · DIES
SOLK+Y	EE	LANG	SOLK+EE+Y	solkeey	1	SAMMELSTELLE · LANG · DIES
T+Y	E	KURZ	E+T+Y | T+E+Y	etyd,ytey	2	ANWENDEN · KURZ · DIES | KURZ · ANWENDEN · DIES
T+Y	EEE	VOLL	EEE+T+Y	cheeety	1	VOLL · ANWENDEN · DIES
