selected_witness_id	comparison_card_id	target_matrix_cell_id	support_channel	support_recipe	support_register	support_event_count	support_event_ids	support_pages	support_surfaces	selected_old_clause_de	selected_old_clause_carrier_count	all_old_clauses_de	support_roundtrip_exact	guard
G502-W01	G502-F01	G498-M239	LOCAL_NEAR_ACTION_RECIPE	SH+E+Y	CELESTIAL	4	G407-E1047|G407-E1279|G407-E1380|G407-E1381	f68r1|f72r	shey|sheysy	Halte den Positionsposten; auf Grad I.	4	Halte den Positionsposten; auf Grad I.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W02	G502-F02	G498-M240	LOCAL_NEAR_ACTION_RECIPE	SH+E+Y	PHARMA	1	G407-E4196	f89r	shey	Halte den Drogenposten; auf Grad I.	1	Halte den Drogenposten; auf Grad I.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W03	G502-F03	G498-M235	LOCAL_NEAR_ACTION_RECIPE	CH+E+Y	PHARMA	1	G407-E3850	f88r	dchey	Nimm den Drogenposten; auf Grad I.	1	Nimm den Drogenposten; auf Grad I.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W04	G502-F04	G498-M365	LOCAL_NEAR_ACTION_RECIPE	OK+Y	PHARMA	7	G407-E3814|G407-E3980|G407-E4034|G407-E4058|G407-E4165|G407-E4217|G407-E4228	f88r|f88v|f89r	choky|okcheeg|oky|qokchy|qoky	Setze den Drogenposten als Ansatz an.	7	Setze den Drogenposten als Ansatz an.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W05	G502-F05	G498-M370	LOCAL_NEAR_ACTION_RECIPE	CH+OR	PHARMA	7	G407-E3864|G407-E3869|G407-E3987|G407-E4105|G407-E4213|G407-E4254|G407-E4266	f88r|f88v|f89r	chor	Nimm die Ansatzeinheit.	7	Nimm die Ansatzeinheit.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W06	G502-F06	G498-M207	LOCAL_NEAR_ACTION_RECIPE	CHD+Y	HERBAL	7	G407-E0707|G407-E0727|G407-E0746|G407-E0828|G407-E4485|G407-E4499|G407-E4521	f55v|f56r|f95v	chdy|chedy	Bearbeite den Pflanzenposten.	7	Bearbeite den Pflanzenposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W07	G502-F07	G498-M197	LOCAL_NEAR_ACTION_RECIPE	K+Y	HERBAL	3	G407-E0336|G407-E0395|G407-E0441	f11r|f13r	kchy	Gib den Pflanzenposten zu.	3	Gib den Pflanzenposten zu.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W08	G502-F08	G498-M364	LOCAL_NEAR_ACTION_RECIPE	OK+OR	CELESTIAL	3	G407-E1183|G407-E1321|G407-E1368	f72r	cheokeor|chokshor|okor	Setze die Positionseinheit.	3	Setze die Positionseinheit.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W09	G502-F09	G498-M380	LOCAL_NEAR_ACTION_RECIPE	K+OR	PHARMA	1	G407-E3908	f88r	kor	Gib die Ansatzeinheit zu.	1	Gib die Ansatzeinheit zu.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W10	G502-F10	G498-M389	LOCAL_NEAR_ACTION_RECIPE	CHD+Y	CELESTIAL	2	G407-E1408|G407-E1409	f72r	chedy	Bearbeite den Positionsposten.	2	Bearbeite den Positionsposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W11	G502-F11	G498-M299	LOCAL_NEAR_ACTION_RECIPE	CHD+Y	CELESTIAL	2	G407-E1408|G407-E1409	f72r	chedy	Bearbeite den Positionsposten.	2	Bearbeite den Positionsposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W12	G502-F12	G498-M390	LOCAL_NEAR_ACTION_RECIPE	CHD+Y	PHARMA	1	G407-E4075	f89r	chedy	Bearbeite den Drogenposten.	1	Bearbeite den Drogenposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
