comparison_card_id	gdt501_frontier_priority_rank	gdt501_frontier_support_tier	target_matrix_cell_id	target_frame	target_action_root	target_action_recipe	target_register	target_portable_trace_de	target_owner_local_trace_de	target_current_default_phrase_de	support_channel	support_channel_basis	support_partial_candidate_id	support_recipe	support_register_relation	support_register	support_component_count	target_component_count	target_removed_position_sets	target_added_component_sets	ordered_action_pair	support_event_count	support_clause_form_count	selected_old_clause_de	selected_old_clause_carrier_count	all_old_clauses_de	support_event_ids	support_pages	support_page_count	support_surfaces	support_surface_count	support_roundtrip_exact	target_current_phrase_changed	target_evidence_status_retained	working_root_meaning_changed	surface_prediction_made	occurrence_prediction_made	guard
G502-F01	1	A_SAME_REGISTER_NEAR_DELETION	G498-M239	@ACTION+CH+E+Y	SH	SH+CH+E+Y	CELESTIAL	HALTEN · NEHMEN · GRAD I · POSTEN	POSITION HALTEN · POSITION AUFNEHMEN · GRAD I · POSITIONSPOSTEN	Halte den Positionsposten und nimm den Positionsposten auf; auf Grad I.	LOCAL_NEAR_ACTION_RECIPE	EXACT_COMPLETE_GDT416_PARTIAL_RECIPE	G501-C0136	SH+E+Y	SAME_REGISTER	CELESTIAL	3	4	2	CH	SH+CH	4	1	Halte den Positionsposten; auf Grad I.	4	Halte den Positionsposten; auf Grad I.	G407-E1047|G407-E1279|G407-E1380|G407-E1381	f68r1|f72r	2	shey|sheysy	2	YES	NO	COMPOSED_WORKING	NO	NO	NO	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-F02	2	A_SAME_REGISTER_NEAR_DELETION	G498-M240	@ACTION+CH+E+Y	SH	SH+CH+E+Y	PHARMA	HALTEN · NEHMEN · GRAD I · POSTEN	ANSATZ HALTEN · DROGENPOSTEN NEHMEN · GRAD I · DROGENPOSTEN	Halte den Drogenposten und nimm den Drogenposten; auf Grad I.	LOCAL_NEAR_ACTION_RECIPE	EXACT_COMPLETE_GDT416_PARTIAL_RECIPE	G501-C0146	SH+E+Y	SAME_REGISTER	PHARMA	3	4	2	CH	SH+CH	1	1	Halte den Drogenposten; auf Grad I.	1	Halte den Drogenposten; auf Grad I.	G407-E4196	f89r	1	shey	1	YES	NO	COMPOSED_WORKING	NO	NO	NO	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-F03	3	A_SAME_REGISTER_NEAR_DELETION	G498-M235	@ACTION+CH+E+Y	CH	CH+CH+E+Y	PHARMA	NEHMEN · NEHMEN · GRAD I · POSTEN	DROGENPOSTEN NEHMEN · DROGENPOSTEN NEHMEN · GRAD I · DROGENPOSTEN	Nimm den Drogenposten zweimal; auf Grad I.	LOCAL_NEAR_ACTION_RECIPE	EXACT_COMPLETE_GDT416_PARTIAL_RECIPE	G501-C0167	CH+E+Y	SAME_REGISTER	PHARMA	3	4	2|1	CH|CH	CH+CH	1	1	Nimm den Drogenposten; auf Grad I.	1	Nimm den Drogenposten; auf Grad I.	G407-E3850	f88r	1	dchey	1	YES	NO	COMPOSED_WORKING	NO	NO	NO	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-F04	4	A_SAME_REGISTER_NEAR_DELETION	G498-M365	@ACTION+OR+Y	OK	OK+OR+Y	PHARMA	SETZEN · EINHEIT · POSTEN	ANSATZ ANSETZEN · ANSATZEINHEIT · DROGENPOSTEN	Setze die Ansatzeinheit und den Drogenposten als Ansatz an.	LOCAL_NEAR_ACTION_RECIPE	EXACT_COMPLETE_GDT416_PARTIAL_RECIPE	G501-C0044	OK+Y	SAME_REGISTER	PHARMA	2	3	2	OR	NONE	7	1	Setze den Drogenposten als Ansatz an.	7	Setze den Drogenposten als Ansatz an.	G407-E3814|G407-E3980|G407-E4034|G407-E4058|G407-E4165|G407-E4217|G407-E4228	f88r|f88v|f89r	3	choky|okcheeg|oky|qokchy|qoky	5	YES	NO	COMPOSED_WORKING	NO	NO	NO	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-F05	5	A_SAME_REGISTER_NEAR_DELETION	G498-M370	@ACTION+OR+Y	CH	CH+OR+Y	PHARMA	NEHMEN · EINHEIT · POSTEN	DROGENPOSTEN NEHMEN · ANSATZEINHEIT · DROGENPOSTEN	Nimm die Ansatzeinheit und den Drogenposten.	LOCAL_NEAR_ACTION_RECIPE	EXACT_COMPLETE_GDT416_PARTIAL_RECIPE	G501-C0013	CH+OR	SAME_REGISTER	PHARMA	2	3	3	Y	NONE	7	1	Nimm die Ansatzeinheit.	7	Nimm die Ansatzeinheit.	G407-E3864|G407-E3869|G407-E3987|G407-E4105|G407-E4213|G407-E4254|G407-E4266	f88r|f88v|f89r	3	chor	1	YES	NO	COMPOSED_WORKING	NO	NO	NO	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-F06	6	A_SAME_REGISTER_NEAR_DELETION	G498-M207	@ACTION+AL+Y	CHD	CHD+AL+Y	HERBAL	BEARBEITEN · ZIELORT · POSTEN	MATERIAL BEARBEITEN · ZIELSTELLE · PFLANZENPOSTEN	Bearbeite den Pflanzenposten; zur Zielstelle.	LOCAL_NEAR_ACTION_RECIPE	EXACT_COMPLETE_GDT416_PARTIAL_RECIPE	G501-C0017	CHD+Y	SAME_REGISTER	HERBAL	2	3	2	AL	NONE	7	1	Bearbeite den Pflanzenposten.	7	Bearbeite den Pflanzenposten.	G407-E0707|G407-E0727|G407-E0746|G407-E0828|G407-E4485|G407-E4499|G407-E4521	f55v|f56r|f95v	3	chdy|chedy	2	YES	NO	COMPOSED_WORKING	NO	NO	NO	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-F07	7	A_SAME_REGISTER_NEAR_DELETION	G498-M197	@ACTION+AL+Y	K	K+AL+Y	HERBAL	GEBEN · ZIELORT · POSTEN	MATERIAL ZUGEBEN · ZIELSTELLE · PFLANZENPOSTEN	Gib den Pflanzenposten zu; zur Zielstelle.	LOCAL_NEAR_ACTION_RECIPE	EXACT_COMPLETE_GDT416_PARTIAL_RECIPE	G501-C0029	K+Y	SAME_REGISTER	HERBAL	2	3	2	AL	NONE	3	1	Gib den Pflanzenposten zu.	3	Gib den Pflanzenposten zu.	G407-E0336|G407-E0395|G407-E0441	f11r|f13r	2	kchy	1	YES	NO	COMPOSED_WORKING	NO	NO	NO	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-F08	8	A_SAME_REGISTER_NEAR_DELETION	G498-M364	@ACTION+OR+Y	OK	OK+OR+Y	CELESTIAL	SETZEN · EINHEIT · POSTEN	POSITION SETZEN · POSITIONSEINHEIT · POSITIONSPOSTEN	Setze die Positionseinheit und den Positionsposten.	LOCAL_NEAR_ACTION_RECIPE	EXACT_COMPLETE_GDT416_PARTIAL_RECIPE	G501-C0040	OK+OR	SAME_REGISTER	CELESTIAL	2	3	3	Y	NONE	3	1	Setze die Positionseinheit.	3	Setze die Positionseinheit.	G407-E1183|G407-E1321|G407-E1368	f72r	1	cheokeor|chokshor|okor	3	YES	NO	COMPOSED_WORKING	NO	NO	NO	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-F09	9	A_SAME_REGISTER_NEAR_DELETION	G498-M380	@ACTION+OR+Y	K	K+OR+Y	PHARMA	GEBEN · EINHEIT · POSTEN	ZUTAT ZUGEBEN · ANSATZEINHEIT · DROGENPOSTEN	Gib die Ansatzeinheit und den Drogenposten zu.	LOCAL_NEAR_ACTION_RECIPE	EXACT_COMPLETE_GDT416_PARTIAL_RECIPE	G501-C0037	K+OR	SAME_REGISTER	PHARMA	2	3	3	Y	NONE	1	1	Gib die Ansatzeinheit zu.	1	Gib die Ansatzeinheit zu.	G407-E3908	f88r	1	kor	1	YES	NO	COMPOSED_WORKING	NO	NO	NO	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-F10	10	A_SAME_REGISTER_NEAR_DELETION	G498-M389	@ACTION+OR+Y	CHD	CHD+OR+Y	CELESTIAL	BEARBEITEN · EINHEIT · POSTEN	EINTRAG BEARBEITEN · POSITIONSEINHEIT · POSITIONSPOSTEN	Bearbeite die Positionseinheit und den Positionsposten.	LOCAL_NEAR_ACTION_RECIPE	EXACT_COMPLETE_GDT416_PARTIAL_RECIPE	G501-C0023	CHD+Y	SAME_REGISTER	CELESTIAL	2	3	2	OR	NONE	2	1	Bearbeite den Positionsposten.	2	Bearbeite den Positionsposten.	G407-E1408|G407-E1409	f72r	1	chedy	1	YES	NO	COMPOSED_WORKING	NO	NO	NO	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
