rank	rare_recipe	reading_de	anchor	edit_script	master_warning_de
1	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	CH	KEEP:CH | ADD:EE | ADD:CKH | ADD:O | ADD:DY	Nicht als neues Stammwort lernen; ganze Komponentenfolge aussprechen und exakte Karte kopieren.
2	CH+E+O+AR	ABNEHMEN · KURZ · GANG · QUELLE	CH	KEEP:CH | ADD:E | ADD:O | ADD:AR	Nicht als neues Stammwort lernen; ganze Komponentenfolge aussprechen und exakte Karte kopieren.
3	E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · DIES	E	KEEP:E | ADD:K | ADD:E | ADD:Y	Nicht als neues Stammwort lernen; ganze Komponentenfolge aussprechen und exakte Karte kopieren.
4	O+CKH+E+Y	GANG · DURCHLASS · KURZ · DIES	O+IIN	KEEP:O | ADD:CKH | ADD:E | REPLACE:IIN>Y	Nicht als neues Stammwort lernen; ganze Komponentenfolge aussprechen und exakte Karte kopieren.
5	O+CTH+E+OL	GANG · BEREIT · KURZ · FORTSETZEN	O+IIN	KEEP:O | ADD:CTH | ADD:E | REPLACE:IIN>OL	Nicht als neues Stammwort lernen; ganze Komponentenfolge aussprechen und exakte Karte kopieren.
6	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	O+IIN	KEEP:O | ADD:CTH | ADD:OL | REPLACE:IIN>Y	Nicht als neues Stammwort lernen; ganze Komponentenfolge aussprechen und exakte Karte kopieren.
7	O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	O+IIN	KEEP:O | ADD:Y | ADD:K | REPLACE:IIN>OR	Nicht als neues Stammwort lernen; ganze Komponentenfolge aussprechen und exakte Karte kopieren.
8	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	OT+CH+OR	KEEP:OT | ADD:Y | ADD:T | KEEP:CH | REPLACE:OR>OL	Nicht als neues Stammwort lernen; ganze Komponentenfolge aussprechen und exakte Karte kopieren.
9	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	R	KEEP:R | ADD:SH | ADD:E | ADD:AL	Nicht als neues Stammwort lernen; ganze Komponentenfolge aussprechen und exakte Karte kopieren.
10	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	SH+CKH+E+DY	KEEP:SH | REPLACE:CKH>E | REPLACE:E>CKH | REPLACE:DY>AL	Nicht als neues Stammwort lernen; ganze Komponentenfolge aussprechen und exakte Karte kopieren.
11	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	SH+EE+Y	KEEP:SH | ADD:E | ADD:CTH | REPLACE:EE>CHD | KEEP:Y	Nicht als neues Stammwort lernen; ganze Komponentenfolge aussprechen und exakte Karte kopieren.
12	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	SH+EE+Y	KEEP:SH | ADD:O | ADD:Y | REPLACE:EE>T | KEEP:Y	Nicht als neues Stammwort lernen; ganze Komponentenfolge aussprechen und exakte Karte kopieren.
