rare_no	event_id	page	record	statement_id	surface	card_no	rare_recipe	compact_reading_de	teaching_method	anchor_recipe_or_root	anchor_reading_de	edit_distance	edit_script	teaching_level	new_root_required
R001	E351	f83r	B4	B4-S014	dairydy	PROC162	AIR+Y+DY	LAUF · DIES · SCHLUSS	KNOWN_ROOT_TRAY_EXTENSION	AIR	LAUF	2	KEEP:AIR | ADD:Y | ADD:DY	ROOT_PLUS_ATTACHMENTS	NO
R002	E280	f83r	B3	B3-S021	dalchdy	PROC144	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	AL	ZIEL	2	KEEP:AL | ADD:CHD | ADD:DY	TWO_CHANGES	NO
R003	E223	f82r	B2	B2-S017	daldy	PROC127	AL+DY	ZIEL · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	AL	ZIEL	1	KEEP:AL | ADD:DY	ONE_CHANGE	NO
R004	E290	f83r	B3	B3-S026	chealror	PROC148	AL+R+OR	ZIEL · KUEHLEN · ANSATZ	RECURRENT_SAME_HEAD_ANCHOR	AL	ZIEL	2	KEEP:AL | ADD:R | ADD:OR	TWO_CHANGES	NO
R005	E253	f83r	B3	B3-S011	chary	PROC137	AR+Y	QUELLE · DIES	RECURRENT_SAME_HEAD_ANCHOR	AR	QUELLE	1	KEEP:AR | ADD:Y	ONE_CHANGE	NO
R006	E041	f11r	H3	H3-S001	cfhy	PROC028	CFH+Y	AUSWRINGEN · DIES	KNOWN_ROOT_TRAY_EXTENSION	CFH	AUSWRINGEN	1	KEEP:CFH | ADD:Y	ROOT_PLUS_ATTACHMENTS	NO
R007	E006	f10r	H1	H1-S001	chair	PROC006	CH+AIR	ABNEHMEN · LAUF	KNOWN_ROOT_TRAY_EXTENSION	CH	ABNEHMEN	1	KEEP:CH | ADD:AIR	ROOT_PLUS_ATTACHMENTS	NO
R008	E355	f83r	B4	B4-S015	chckhal	PROC163	CH+CKH+AL	ABNEHMEN · DURCHLASS · ZIEL	KNOWN_ROOT_TRAY_EXTENSION	CH	ABNEHMEN	2	KEEP:CH | ADD:CKH | ADD:AL	ROOT_PLUS_ATTACHMENTS	NO
R009	E065	f55v	H4	H4-S003	cheoar	PROC045	CH+E+O+AR	ABNEHMEN · KURZ · GANG · QUELLE	KNOWN_ROOT_TRAY_EXTENSION	CH	ABNEHMEN	3	KEEP:CH | ADD:E | ADD:O | ADD:AR	ROOT_PLUS_ATTACHMENTS	NO
R010	E216	f82r	B2	B2-S016	ches	PROC124	CH+E+S	ABNEHMEN · KURZ · TEILEN	KNOWN_ROOT_TRAY_EXTENSION	CH	ABNEHMEN	2	KEEP:CH | ADD:E | ADD:S	ROOT_PLUS_ATTACHMENTS	NO
