group_no	teaching_method	anchor_recipe_or_root	anchor_reading_de	rare_recipes	rare_recipe_ids	max_changes	master_phrase_de
G01	RECURRENT_SAME_HEAD_ANCHOR	K+AIN	ZUDOSIEREN · PORTION	9	R029|R030|R031|R032|R033|R034|R035|R036|R037	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G02	RECURRENT_SAME_HEAD_ANCHOR	L	WEITERLEITEN	9	R038|R039|R040|R041|R046|R047|R049|R051|R052	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G03	RECURRENT_SAME_HEAD_ANCHOR	SH+EE+Y	HALTEN · LANG · DIES	9	R089|R091|R092|R093|R096|R097|R099|R100|R101	3	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G04	KNOWN_ROOT_TRAY_EXTENSION	CH	ABNEHMEN	7	R007|R008|R009|R010|R011|R012|R013	4	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G05	RECURRENT_SAME_HEAD_ANCHOR	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	6	R042|R043|R044|R045|R048|R050	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G06	KNOWN_ROOT_TRAY_EXTENSION	R	KUEHLEN	5	R084|R085|R086|R087|R088	3	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G07	RECURRENT_SAME_HEAD_ANCHOR	O+IIN	GANG · STUFE	5	R054|R055|R056|R057|R058	3	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G08	RECURRENT_SAME_HEAD_ANCHOR	OT+AIIN	DANACH · MASS	4	R075|R077|R078|R079	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G09	RECURRENT_SAME_HEAD_ANCHOR	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	4	R090|R094|R095|R098	3	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G10	RECURRENT_SAME_HEAD_ANCHOR	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	4	R102|R103|R104|R105	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
