family_order	family_id	member_component_ids	short_value_de	variant_rule	reach_class	herbal_events	bio_events	astro_groups	teaching_layer
1	OK	OK	EINSETZEN	den folgenden Posten in den laufenden Arbeitsgang setzen	HERBAL_BIO_ASTRO_CORE	11	69	58	COMMON_SIXTEEN
2	OL	OL	WEITER_GLEICHER_LAUF	im selben Arbeitsgang, Ring oder Satz fortfahren	HERBAL_BIO_ASTRO_CORE	9	33	17	COMMON_SIXTEEN
3	OT	OT	FOLGEPOSTEN	zum folgenden Arbeits- oder Diagrammposten wechseln	HERBAL_BIO_ASTRO_CORE	8	18	32	COMMON_SIXTEEN
4	AR	AR	VON_QUELLE	die bezeichnete Quelladresse lesen	HERBAL_BIO_ASTRO_CORE	2	10	46	COMMON_SIXTEEN
5	AL	AL	ZU_ZIEL	die bezeichnete Zieladresse lesen	HERBAL_BIO_ASTRO_CORE	2	34	22	COMMON_SIXTEEN
6	L	L	AB	aus dem aktiven Posten heraus- oder abführen	BIO_SPECIALIST	0	23	0	SECTION_ADDENDUM
7	P	P	ZU	in einen lokalen Empfänger zuführen	BIO_SPECIALIST	0	2	0	SECTION_ADDENDUM
8	AIN	AIN	PORTION	eine abgegrenzte Teilmenge	HERBAL_BIO_ASTRO_CORE	2	13	8	COMMON_SIXTEEN
9	AN	AN	ZWEITE_PORTION	eine zweite oder alternative Teilmenge	HERBAL_ASTRO_BRIDGE	1	0	3	BRIDGE
10	AIIN	AIIN	SOLLWERT	den im Exemplar vorgeschriebenen Wert oder Grad	HERBAL_BIO_ASTRO_CORE	14	25	24	COMMON_SIXTEEN
11	IIN	IIN	STUFE	eine benannte Arbeits- oder Bearbeitungsstufe	HERBAL_BIO_PROSE_CORE	1	3	0	BRIDGE
12	E_GRADE	E|EE|EEE	GRAD	E=KURZ; EE=LANG; EEE=VOLL	HERBAL_BIO_ASTRO_CORE	1	72	33	COMMON_SIXTEEN
13	Y	Y	DIES_AKTUELLER_POSTEN	den aktuell gemeinten Posten referieren	HERBAL_BIO_ASTRO_CORE	29	70	97	COMMON_SIXTEEN
14	DY	DY	FESTSETZEN	Prosa=Arbeitsschritt schließen; Astro=Wert fest eintragen	HERBAL_BIO_ASTRO_CORE	1	64	43	COMMON_SIXTEEN
15	OR	OR	BEDINGUNGSANSATZ	den laufenden Ansatz oder Bedingungssatz eröffnen	HERBAL_BIO_ASTRO_CORE	12	4	20	COMMON_SIXTEEN
16	CHO_INPUT	HO|CHO_INPUT	EINGABE	Herbal=Zutat oder Material; Astro=Himmelsobjekt oder Eingangsbedingung	HERBAL_ASTRO_BRIDGE	8	0	22	BRIDGE
17	CHEO	CHEO	AUSZUG	einen gewonnenen Auszug bezeichnen	HERBAL_SPECIALIST	3	0	0	SECTION_ADDENDUM
18	AIR	AIR	LAUF_BAHN	einen Lauf oder eine Bahn markieren; lokal Wasserlauf	HERBAL_BIO_ASTRO_CORE	1	4	12	COMMON_SIXTEEN
19	CHED_TRANSFER	CHED|CHD	UEBERFUEHREN	CHD=kurze, CHED=erweiterte Allographie derselben Transferhandlung	HERBAL_BIO_ASTRO_CORE	1	46	10	COMMON_SIXTEEN
20	CTH	CTH	BEREIT	einen Posten als vorbereitet oder bereit setzen	HERBAL_BIO_PROSE_CORE	5	9	0	BRIDGE
21	SHED	SHED	ABSETZEN	ruhen und sich absetzen lassen	BIO_SPECIALIST	0	17	0	SECTION_ADDENDUM
22	CHK	CHK	ZUSTAND_JUSTIEREN	Prosa häufig erwärmen; Astro Grad oder Zustand justieren	HERBAL_BIO_ASTRO_CORE	1	6	2	COMMON_SIXTEEN
23	CKH	CKH	DURCHLASS	durch einen Gang oder eine Passage führen	BIO_ASTRO_BRIDGE	0	9	5	BRIDGE
24	CKHE	CKHE	SEIHEN	durch einen trennenden Durchlass führen	BIO_SPECIALIST	0	4	0	SECTION_ADDENDUM
25	SOLK	SOLK	SAMMELN	an einer lokalen Sammel- oder Auffangstelle halten	BIO_SPECIALIST	0	6	0	SECTION_ADDENDUM
26	LSH	LSH	WASCHEN	einen Wasch- oder Spülgang ausführen	BIO_SPECIALIST	0	3	0	SECTION_ADDENDUM
27	TY	TY	TEIL	einen Materialteil oder Rest bezeichnen	HERBAL_BIO_ASTRO_CORE	1	2	5	COMMON_SIXTEEN
28	O_WITHDRAW	O_WITHDRAW	ZURUECKNEHMEN	licensed only inside the ODY terminal card	BIO_SPECIALIST	0	2	0	SECTION_ADDENDUM
29	OS_RECEIVER	OS_RECEIVER	AUFNAHME	receiving or enclosing work field	HERBAL_ASTRO_BRIDGE	1	0	2	BRIDGE
30	CH_POUR	CH_POUR	ZUGIESSEN	pour the running medium into the active preparation	HERBAL_SPECIALIST	1	0	0	SECTION_ADDENDUM
31	TCH_PREPARATION	TCH_PREPARATION	BEREITUNG	name the active preparation inside an OL continuation frame	HERBAL_SPECIALIST	1	0	0	SECTION_ADDENDUM
32	OYK_VESSEL	OYK_VESSEL	GEFAESS	name the vessel carrying the active batch	HERBAL_SPECIALIST	1	0	0	SECTION_ADDENDUM
33	K_BINDER	K_BINDER	ARGUMENTBINDER	bind Y to a portion grade or CHO to a source	HERBAL_BIO_ASTRO_CORE	7	1	2	COMMON_SIXTEEN
34	YTY_PART	YTY_PART	FOLGETEIL	name the selected additive or following part	HERBAL_SPECIALIST	2	0	0	SECTION_ADDENDUM
35	SHFY_DURATION	SHFY_DURATION	STEHZEIT	turn the prescribed value into a standing duration	HERBAL_SPECIALIST	1	0	0	SECTION_ADDENDUM
36	D_PREVIOUS	D_PREVIOUS	VORIGER	take the continuation from the previous working step	HERBAL_SPECIALIST	2	0	0	SECTION_ADDENDUM
