old_component_id	new_family_id	variant_within_family	old_short_value_de	new_short_value_de	merge_rule
OK	OK	IDENTITY	EINSETZEN	EINSETZEN	unchanged component
OL	OL	IDENTITY	WEITER_GLEICHER_LAUF	WEITER_GLEICHER_LAUF	unchanged component
OT	OT	IDENTITY	FOLGEPOSTEN	FOLGEPOSTEN	unchanged component
AR	AR	IDENTITY	VON_QUELLE	VON_QUELLE	unchanged component
AL	AL	IDENTITY	ZU_ZIEL	ZU_ZIEL	unchanged component
L	L	IDENTITY	AB	AB	unchanged component
P	P	IDENTITY	ZU	ZU	unchanged component
AIN	AIN	IDENTITY	PORTION	PORTION	unchanged component
AN	AN	IDENTITY	ZWEITE_PORTION	ZWEITE_PORTION	unchanged component
AIIN	AIIN	IDENTITY	SOLLWERT	SOLLWERT	unchanged component
IIN	IIN	IDENTITY	STUFE	STUFE	unchanged component
E	E_GRADE	KURZ	KURZ	GRAD	E=KURZ; EE=LANG; EEE=VOLL
EE	E_GRADE	LANG	LANG	GRAD	E=KURZ; EE=LANG; EEE=VOLL
EEE	E_GRADE	VOLL	VOLL	GRAD	E=KURZ; EE=LANG; EEE=VOLL
Y	Y	IDENTITY	DIES_AKTUELLER_POSTEN	DIES_AKTUELLER_POSTEN	unchanged component
DY	DY	IDENTITY	SCHLUSS	FESTSETZEN	Prosa=Arbeitsschritt schließen; Astro=Wert fest eintragen
OR	OR	IDENTITY	BEDINGUNGSANSATZ	BEDINGUNGSANSATZ	unchanged component
HO	CHO_INPUT	INNENKERN_HO	ZUTAT	EINGABE	Herbal=Zutat oder Material; Astro=Himmelsobjekt oder Eingangsbedingung
CHEO	CHEO	IDENTITY	AUSZUG	AUSZUG	unchanged component
AIR	AIR	IDENTITY	LAUF_BAHN	LAUF_BAHN	unchanged component
CHED	CHED_TRANSFER	ERWEITERTER_ALLOGRAPH	ÜBERFÜHREN	UEBERFUEHREN	CHD=kurze, CHED=erweiterte Allographie derselben Transferhandlung
CHD	CHED_TRANSFER	KURZALLOGRAPH	ÜBERFÜHREN	UEBERFUEHREN	CHD=kurze, CHED=erweiterte Allographie derselben Transferhandlung
CTH	CTH	IDENTITY	BEREIT	BEREIT	unchanged component
SHED	SHED	IDENTITY	ABSETZEN	ABSETZEN	unchanged component
CHK	CHK	IDENTITY	WÄRMEN	ZUSTAND_JUSTIEREN	Prosa häufig erwärmen; Astro Grad oder Zustand justieren
CKH	CKH	IDENTITY	DURCHLASS	DURCHLASS	unchanged component
CKHE	CKHE	IDENTITY	SEIHEN	SEIHEN	unchanged component
SOLK	SOLK	IDENTITY	SAMMELN	SAMMELN	unchanged component
LSH	LSH	IDENTITY	WASCHEN	WASCHEN	unchanged component
TY	TY	IDENTITY	TEIL	TEIL	unchanged component
CHO_INPUT	CHO_INPUT	GANZE_EINGABEKARTE_CHO	EINGABE	EINGABE	Herbal=Zutat oder Material; Astro=Himmelsobjekt oder Eingangsbedingung
O_WITHDRAW	O_WITHDRAW	IDENTITY	ZURUECKNEHMEN	ZURUECKNEHMEN	unchanged component
OS_RECEIVER	OS_RECEIVER	IDENTITY	AUFNAHME	AUFNAHME	unchanged component
CH_POUR	CH_POUR	IDENTITY	ZUGIESSEN	ZUGIESSEN	unchanged component
TCH_PREPARATION	TCH_PREPARATION	IDENTITY	BEREITUNG	BEREITUNG	unchanged component
OYK_VESSEL	OYK_VESSEL	IDENTITY	GEFAESS	GEFAESS	unchanged component
K_BINDER	K_BINDER	IDENTITY	ARGUMENTBINDER	ARGUMENTBINDER	unchanged component
YTY_PART	YTY_PART	IDENTITY	FOLGETEIL	FOLGETEIL	unchanged component
SHFY_DURATION	SHFY_DURATION	IDENTITY	STEHZEIT	STEHZEIT	unchanged component
D_PREVIOUS	D_PREVIOUS	IDENTITY	VORIGER	VORIGER	unchanged component
