local_image_owner	pages	field_ids	event_ids	surface_cards	component_families	visible_geometry	actual_connection_class	drawn_direction	selected_local_direction_reading	required_reset_or_disconnection	prohibited_inference	owner_evidence_grade
B1_SHARED_TWO_ROW_POOL	f81v	F022|F023|F036|F038|F039|F044	E103|E104|E105|E109|E117|E147|E149|E152|E156|E166	kair|okal|sar|al|qokeedal|lchedal|otar|qokal|sal|chal	AIR;AL;AL|L_CHED;AR	Alle ungefähr sechzehn Figuren liegen in derselben grünen Umgrenzung; keine Reihenfolge ist gezeichnet.	COMMON_ENCLOSURE_UNDIRECTED	NONE	Lokale Beckenfluessigkeit sowie Quell-/Zieladressen; keine Rueckrichtung	Keine Bildkante verbindet dieses Feld mit f82r oder f83r.	NO_GLOBAL_FLOW;NO_DRAWN_SOURCE_SINK;NO_CROSS_OWNER_CARRY	MEDIUM
B2_LOWER_GREEN_MULTI_FIGURE_POOL	f82r	F060	E210	lchedy	L_CHED	Mehrere Figuren schneiden dieselbe grüne Fläche; lokale Plätze sind sichtbar, aber kein Rundlauf.	COMMON_POOL_NO_CIRCUIT	NONE	L+CHED kann aus dem lokalen Feld entfernen	Der Übergang von der ungelösten mittleren Station und zu den Randposten wird jeweils neu gesetzt.	NO_GLOBAL_FLOW;NO_DRAWN_SOURCE_SINK;NO_CROSS_OWNER_CARRY	MEDIUM
B2_LOWER_POOL_EDGE_STATIONS	f82r	F063|F064|F070	E214|E215|E221|E228	cheal|lchedar|pchedy|lochedy	AL;AR|L_CHED;L_CHED;P_CHED	Gefäße und Figuren liegen am Feldrand; keine Leitung koppelt die einzelnen Plätze.	EDGE_VESSELS_NO_PIPE	NONE	Lokale Quelle, Ziel, Entnahme und Empfaenger; keine gemeinsame Leitung	Das gemeinsame grüne Feld darf nicht automatisch jeden Randposten speisen.	NO_GLOBAL_FLOW;NO_DRAWN_SOURCE_SINK;NO_CROSS_OWNER_CARRY	MEDIUM
B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	f82r	F054	E191	qokar	AR	Wellenlinien setzen am Handgerät an; der Doppelstrich läuft durch den Sternknoten, aber ohne Pfeil.	VISIBLE_CONTACT_UNDIRECTED	NONE	AR nennt lokale Quellseite am Geraet/Knoten	Die nahe Linie über dem rechten Liegepodest berührt es nicht sicher.	NO_GLOBAL_FLOW;NO_DRAWN_SOURCE_SINK;NO_CROSS_OWNER_CARRY	MEDIUM
B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	f82r	F057	E199	char	AR	Linie und Podest sind nur nahe; ein tatsächlicher Kontakt ist nicht sichtbar gesichert.	CONTACT_UNRESOLVED	NONE	AR bleibt nur textinterner Quellverweis	Kein Stoff- oder Arbeitsstand darf über diesen ungelösten Besitzer hinweg vererbt werden.	NO_GLOBAL_FLOW;NO_DRAWN_SOURCE_SINK;NO_CROSS_OWNER_CARRY	MEDIUM
B2_UPPER_PAIRED_BASINS_AND_CYLINDER	f82r	F048|F050|F052	E172|E174|E177|E186	qokal|lched|qokaly|qokal	AL;L_CHED	Bögen treffen den Mittelzylinder und eine Hand hält ein Bogenende; die Richtung bleibt offen.	VISIBLE_CONTACT_UNDIRECTED	NONE	Lokaler Transfer zwischen empfaengerfaehigen Stationen	Vor der mittleren linken Station beginnt ein neuer sichtbarer Besitzer.	NO_GLOBAL_FLOW;NO_DRAWN_SOURCE_SINK;NO_CROSS_OWNER_CARRY	MEDIUM
B3_LOWER_MARGIN_BASKET_VESSEL_STATION	f83r	F080|F084|F085	E248|E260|E262	pchedal|okair|lchedy	AIR;AL|P_CHED;L_CHED	Figur und Korb-/Schuppenform sind lokal gebunden; freie Striche enden offen.	LOCAL_RECEIVER_OPEN_ENDS	NONE	P+CHED-Empfaenger und bewegte Fluessigkeit am Korbgefaess	Nach F086 folgt eine echte unverbundene Bildlücke.	NO_GLOBAL_FLOW;NO_DRAWN_SOURCE_SINK;NO_CROSS_OWNER_CARRY	MEDIUM
B3_MAIN_ARCH_LINKED_PAIR	f83r	F104|F108	E300|E313	schedair|olsaly	AIR;AL	Der breite Bogen verbindet beide Figuren tatsächlich; Quelle, Senke und Richtung fehlen.	VISIBLE_ARCH_UNDIRECTED	NONE	Fluessigkeit und Ziel am gekoppelten Paar; Quelle/Senke offen	Die vorausgehende ungelöste Zone wird vor F099 vollständig verlassen.	NO_GLOBAL_FLOW;NO_DRAWN_SOURCE_SINK;NO_CROSS_OWNER_CARRY	MEDIUM
B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	f83r	F091|F092|F093|F095	E268|E269|E272|E278|E282	dal|lchedy|dal|tal|lchedy	AL;L_CHED	Zwischen Randstapel und Hauptpaar ist keine gezeichnete Kante vorhanden.	NO_VISIBLE_EDGE	NONE	AL/L+CHED sind reine Textadressen; kein Bildfluss	F087 beginnt und F099 beendet die ungelöste Zone jeweils mit sichtbarem Reset.	NO_GLOBAL_FLOW;NO_DRAWN_SOURCE_SINK;NO_CROSS_OWNER_CARRY	LOW
B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	f83r	F076|F078	E241|E246	qokal|lchedy	AL;L_CHED	Figur und Rundgefäß bilden eine lokale Station; zum oberen und unteren Posten fehlt die Leitung.	LOCAL_VESSEL_NO_EXTERNAL_EDGE	NONE	Lokale Ziel- und Entnahmehandlung am Rundgefaess	Kein Zustand geht ohne neuen Besitzer an die Korbstation weiter.	NO_GLOBAL_FLOW;NO_DRAWN_SOURCE_SINK;NO_CROSS_OWNER_CARRY	MEDIUM
