component_id	visible_realizations	working_meaning_de	status	licensed_environment	evidence_summary	important_limit
OK	ok|qok|chok	etwas in den laufenden Arbeitsgang setzen	FIXED_IN_WORKING_MODEL	vor bekannten Argumenten oder Arbeitskernen	23 Typen und 79 Ereignisse; 22 Typen mit explizitem OK-Beitrag, davon einer mit opakem Innenrest	Kein selbständiges Stoffwort und nicht immer deutsch als dasselbe Verb zu übersetzen
AIN	ain; kain in licensed cards	abgegrenzte Portion	FIXED_IN_WORKING_MODEL	base card, OK+AIN, and OL+KAIN	base/OK family plus the two recurrent OLKAIN events	Nicht mit AIIN zusammenziehen
AIIN	aiin	vorgeschriebenes oder normiertes Maß	FIXED_IN_WORKING_MODEL	Grundkarte und OK+AIIN	39 sichtbare Kandidatenereignisse; starke Grund- und OK-Reihe	Einige längere aiin-haltige Karten bleiben Ganzwörter
AL	al	Ziel- oder Arbeitsstelle; an oder zu	FIXED_IN_WORKING_MODEL	base address card and OK/OT/CHED/P/L compounds	ten base-card events and sixteen compound events	lower, outlet, skin, basin, or plant part must come from the local owner or learned hull
AR	ar	Quelle oder Vorrat; aus oder von	FIXED_IN_WORKING_MODEL	base AR card plus OK/OT/CHEO/L+CHED compounds	six exact cards and ten events across Herbal and Biological records	does not name a specific vessel, material, height, or direction arrow
AIR	air	fließende Flüssigkeit im Lauf	FIXED_CONTEXT_BOUND	chair|kair|okair|schedair and predicted dairydy	five cards form inlet/current/activate/conduct/close readings	not necessarily pure water and not a bare pipe or visible arrow
OL	ol|chol|qol|sol|tol	weiter oder mit dem Vorigen	FIXED_IN_WORKING_MODEL	Grundkarte sowie OK+OL und OL+CHED	starke wiederkehrende Grundkarte; OK+OL und drei OL+CHED-Ereignisse	Kein Öl-Stamm
OT	ot|qot|sot	danach oder nächster	FIXED_IN_WORKING_MODEL	vor Maß, Ziel, CHED und E-Grad	OT+CHED dreimal; OT-E-Grad sechsmal	Keine Gleichheit oder bestimmte Zeitdauer im Stamm
CHD_CHED	chd|ched	umsetzen oder in einen Arbeitsgang führen	FIXED_IN_WORKING_MODEL	nackte CHD~CHED-Karte und produktive linke/rechte Erweiterungen	21 exakte Typen und 47 Ereignisse	Rühren, Ablassen oder Seihen sind mögliche lokale Ausführungen, nicht der Stammwert
L_CHED	l+chd|l+ched	hinaus- oder wegführen	FIXED_CONTEXT_BOUND	nur als linke Hülle der CHD~CHED-Familie	lched/lchedy/lchedal/lchedar plus local lochedy	only licensed before the CHED family
