event_id	page	record_unit_id	locus	field_id	statement_id	joint_tuple_id	surface_display	direction_family	selected_component_default_de	selected_card_default_de	source_default_de	medium_or_path_default_de	target_default_de	prior_statement_de	revised_statement_de
E003	f10r	H1	f10r.2	F001	H1-S001	4d4559019a961b834aa1	char	AR	AR=QUELLE	aus demselben Vorrat	gleicher Vorrat	Entnahme	laufender Ansatz	Wurzelteil; säubern; aus demselben Ansatz; zerkleinern; Gefäß; Quellwasser; ersten Auszug auffangen; den laufenden Posten anwenden oder in Arbeit nehmen; Maß; Wurzelteil	Vom gesäuberten Wurzelteil nimm Material aus demselben Vorrat, zerkleinere es, gib es über den Wasserzulauf in ein Gefäß und fange den ersten Auszug auf; verwende den laufenden Posten nach dem angegebenen Maß am Wurzelteil.
E006	f10r	H1	f10r.2	F001	H1-S001	12efe866f335461823a6	chair	AIR	AIR=WASSERLAUF	Wasserzulauf	Wasserquelle	Wasserzulauf	Ansatzgefäß	Wurzelteil; säubern; aus demselben Ansatz; zerkleinern; Gefäß; Quellwasser; ersten Auszug auffangen; den laufenden Posten anwenden oder in Arbeit nehmen; Maß; Wurzelteil	Vom gesäuberten Wurzelteil nimm Material aus demselben Vorrat, zerkleinere es, gib es über den Wasserzulauf in ein Gefäß und fange den ersten Auszug auf; verwende den laufenden Posten nach dem angegebenen Maß am Wurzelteil.
E031	f10r	H2	f10r.8	F004	H2-S002	4d4559019a961b834aa1	dar	AR	AR=QUELLE	aus demselben Vorrat	gleicher Vorrat	Entnahme	laufender Ansatz	Zweite Auswahl; Zubereitung; Handvoll; mit Vorigem weiter; vorige Zubereitung; mit Vorigem weiter; Maß; aus demselben Ansatz	Bereite die zweite Auswahl als Handvoll zu, arbeite mit der vorigen Zubereitung weiter und entnimm das angegebene Maß aus demselben Vorrat.
E065	f55v	H4	f55v.11	F012	H4-S003	807591efc3d3f7ddbfab	cheoar	CHEO__AR	CHEO=WASSER; AR=QUELLE	Wasserauszug	Pflanzenvorrat	Wasser als Auszugsmedium	Auszug	Wunde waschen; klarer Auszug; länger warm halten; weiterführen; Ende	Wasche die Anwendungsstelle mit einem Wasserauszug, halte ihn länger warm und führe den Schritt zu Ende.
E069	f55v	H4	f55v.11	F013	H4-S004	308e8ea2d5d190c498e8	okal	AL	AL=ZIELSTELLE	an der Zielstelle anwenden	laufender Posten	Anwendung	Zielstelle	Maß; an der Zielstelle anwenden; dorthin führen; gelind erwärmen; Zubereitung; der laufende Posten; dies oder es; warm auflegen	Nimm das Maß, trage es an der Zielstelle auf, erwärme es gelind und lege die warme Zubereitung auf.
E082	f56r	H5	f56r.7	F015	H5-S001	dd0ecaf5e27d81befffc	dal	AL	AL=ZIELSTELLE	Zielstelle	laufender Posten	Anwendung	Zielstelle	Pflanzenteil; Pflanze; Blütebeginn; Maß; Pflanze; auflegen; zweite Auswahl; den laufenden Posten anwenden oder in Arbeit nehmen; an der Stelle	Vom Pflanzenteil am Blütebeginn nimm das Maß, lege die zweite Auswahl auf und verwende sie an der Zielstelle.
E092	f56r	H5	f56r.13	F018	H5-S004	087a47b5423438cd6b6a	chokcheo	CHEO	CHEO=WASSER	Wasser zusetzen	Wasser	Auszugsmedium	Pflanzenansatz	Den laufenden Posten anwenden oder in Arbeit nehmen; Hilfsmedium; durch Tuch	Setze den laufenden Pflanzenposten an, gib Wasser als Auszugsmedium zu und seihe durch ein Tuch.
E103	f81v	B1	f81v.2	F022	B1-S002	22fb87a5a83e5c3fb510	kair	AIR	AIR=WASSERLAUF	Wasserrücklauf	voriges Becken	Wasserrücklauf	Zielstelle	Nach Maß einsetzen; den Einsatz bemessen; Rückstrom; an der Zielstelle anwenden; dorthin führen; aus demselben Ansatz; mit Vorigem weiter; abgemessener Teil; unteres Becken; an der Stelle; mit Vorigem weiter; vor dem Abkühlen; Badezusatz; vorige Zubereitung; mit Vorigem weiter; mäßige Menge; Maß; bezeichneten Teil oder Stelle in anhaltenden Kontakt bringen; Maß; durch verbundenen Lauf; Arbeitsbewegung abschließen	Bemesse den Einsatz. Führe Wasser aus dem Rücklauf an die Zielstelle, entnimm aus demselben Vorrat einen abgemessenen Teil und arbeite am unteren Becken weiter. Vor dem Abkühlen gib Badezusatz und vorige Zubereitung in mäßiger Menge zu; halte den bezeichneten Teil nach Maß an der Zielstelle, führe ihn durch den verbundenen Lauf und schließe die Bewegung ab.
E104	f81v	B1	f81v.2	F022	B1-S002	308e8ea2d5d190c498e8	okal	AL	AL=ZIELSTELLE	an der Zielstelle anwenden	laufender Posten	Anwendung	Zielstelle	Nach Maß einsetzen; den Einsatz bemessen; Rückstrom; an der Zielstelle anwenden; dorthin führen; aus demselben Ansatz; mit Vorigem weiter; abgemessener Teil; unteres Becken; an der Stelle; mit Vorigem weiter; vor dem Abkühlen; Badezusatz; vorige Zubereitung; mit Vorigem weiter; mäßige Menge; Maß; bezeichneten Teil oder Stelle in anhaltenden Kontakt bringen; Maß; durch verbundenen Lauf; Arbeitsbewegung abschließen	Bemesse den Einsatz. Führe Wasser aus dem Rücklauf an die Zielstelle, entnimm aus demselben Vorrat einen abgemessenen Teil und arbeite am unteren Becken weiter. Vor dem Abkühlen gib Badezusatz und vorige Zubereitung in mäßiger Menge zu; halte den bezeichneten Teil nach Maß an der Zielstelle, führe ihn durch den verbundenen Lauf und schließe die Bewegung ab.
E105	f81v	B1	f81v.2	F022	B1-S002	4d4559019a961b834aa1	sar	AR	AR=QUELLE	aus demselben Vorrat	gleicher Vorrat	Entnahme	laufender Ansatz	Nach Maß einsetzen; den Einsatz bemessen; Rückstrom; an der Zielstelle anwenden; dorthin führen; aus demselben Ansatz; mit Vorigem weiter; abgemessener Teil; unteres Becken; an der Stelle; mit Vorigem weiter; vor dem Abkühlen; Badezusatz; vorige Zubereitung; mit Vorigem weiter; mäßige Menge; Maß; bezeichneten Teil oder Stelle in anhaltenden Kontakt bringen; Maß; durch verbundenen Lauf; Arbeitsbewegung abschließen	Bemesse den Einsatz. Führe Wasser aus dem Rücklauf an die Zielstelle, entnimm aus demselben Vorrat einen abgemessenen Teil und arbeite am unteren Becken weiter. Vor dem Abkühlen gib Badezusatz und vorige Zubereitung in mäßiger Menge zu; halte den bezeichneten Teil nach Maß an der Zielstelle, führe ihn durch den verbundenen Lauf und schließe die Bewegung ab.
E109	f81v	B1	f81v.2	F022	B1-S002	dd0ecaf5e27d81befffc	al	AL	AL=ZIELSTELLE	Zielstelle	laufender Posten	Anwendung	Zielstelle	Nach Maß einsetzen; den Einsatz bemessen; Rückstrom; an der Zielstelle anwenden; dorthin führen; aus demselben Ansatz; mit Vorigem weiter; abgemessener Teil; unteres Becken; an der Stelle; mit Vorigem weiter; vor dem Abkühlen; Badezusatz; vorige Zubereitung; mit Vorigem weiter; mäßige Menge; Maß; bezeichneten Teil oder Stelle in anhaltenden Kontakt bringen; Maß; durch verbundenen Lauf; Arbeitsbewegung abschließen	Bemesse den Einsatz. Führe Wasser aus dem Rücklauf an die Zielstelle, entnimm aus demselben Vorrat einen abgemessenen Teil und arbeite am unteren Becken weiter. Vor dem Abkühlen gib Badezusatz und vorige Zubereitung in mäßiger Menge zu; halte den bezeichneten Teil nach Maß an der Zielstelle, führe ihn durch den verbundenen Lauf und schließe die Bewegung ab.
E117	f81v	B1	f81v.7	F023	B1-S002	93f69c38fdedee1598e9	qokeedal	AL	AL=ZIELSTELLE	lange an der Zielstelle halten	laufender Posten	anhaltender Kontakt	Zielstelle	Nach Maß einsetzen; den Einsatz bemessen; Rückstrom; an der Zielstelle anwenden; dorthin führen; aus demselben Ansatz; mit Vorigem weiter; abgemessener Teil; unteres Becken; an der Stelle; mit Vorigem weiter; vor dem Abkühlen; Badezusatz; vorige Zubereitung; mit Vorigem weiter; mäßige Menge; Maß; bezeichneten Teil oder Stelle in anhaltenden Kontakt bringen; Maß; durch verbundenen Lauf; Arbeitsbewegung abschließen	Bemesse den Einsatz. Führe Wasser aus dem Rücklauf an die Zielstelle, entnimm aus demselben Vorrat einen abgemessenen Teil und arbeite am unteren Becken weiter. Vor dem Abkühlen gib Badezusatz und vorige Zubereitung in mäßiger Menge zu; halte den bezeichneten Teil nach Maß an der Zielstelle, führe ihn durch den verbundenen Lauf und schließe die Bewegung ab.
