event_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display	component_family	selected_parse	selected_component_meaning_de	selected_card_reading_de	decision	local_image_owner	owner_status	visible_geometry	drawn_connection_or_direction	owner_direction_verdict	previous_contextual_reading_de	limit
E003	f10r	f10r.2	F001	H1-S001	4d4559019a961b834aa1	char	AR	AR	aus/von; Quellseite	davon oder daraus; aus dem aktuellen Quellposten	SELECT_SOURCE_ADDRESS	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	One continuous axis joins leaves, flower, terminal form, and underground swellings; no water or implement is visible.	NO_DRAWN_LIQUID_OR_PATH	Quelle und Medium nur textintern; AIR kann unabgebildete Fluessigkeit sein	Führe ihn als denselben Arbeitsansatz weiter	Huellen char|dar|sar sind keine verschiedenen Richtungen.
E006	f10r	f10r.2	F001	H1-S001	12efe866f335461823a6	chair	AIR	AIR	fliessende Fluessigkeit; Laufwasser	frische oder laufende Fluessigkeit, lokal plausibel Wasser	SELECT_MOVING_LIQUID_NOT_PATH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	One continuous axis joins leaves, flower, terminal form, and underground swellings; no water or implement is visible.	NO_DRAWN_LIQUID_OR_PATH	Quelle und Medium nur textintern; AIR kann unabgebildete Fluessigkeit sein	Gieße Quellwasser darüber	Pflanzenbild zeigt kein Wasser; Textbesitzer liefert das Medium.
E031	f10r	f10r.8	F004	H2-S002	4d4559019a961b834aa1	dar	AR	AR	aus/von; Quellseite	davon oder daraus; aus dem aktuellen Quellposten	SELECT_SOURCE_ADDRESS	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	One continuous axis joins leaves, flower, terminal form, and underground swellings; no water or implement is visible.	NO_DRAWN_LIQUID_OR_PATH	Quelle und Medium nur textintern; AIR kann unabgebildete Fluessigkeit sein	Vereinige die beiden Fraktionen	Huellen char|dar|sar sind keine verschiedenen Richtungen.
E065	f55v	f55v.11	F012	H4-S003	807591efc3d3f7ddbfab	cheoar	AR	CHEO+AR	aus/von; Quellseite	aus der Auszugs- oder Traegerfluessigkeit nehmen	SELECT_SOURCE_ADDRESS__CHEO_PROVISIONAL	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	The central stem continuously joins spray, leaf mass, and root; text pockets are contour-shaped leftovers.	NO_DRAWN_VESSEL_OR_FLOW	AL ist Anwendungsadresse; CHEO+AR kann Pflanzenauszug nennen	Verwende dazu den klaren Auszug	CHEO ist nur in der zweikartigen Pflanzenfamilie geschlossen.
E069	f55v	f55v.11	F013	H4-S004	308e8ea2d5d190c498e8	okal	AL	OK+AL	an/bei/zu der bezeichneten Stelle; Zieladresse	an der Zielstelle einsetzen oder anwenden	SELECT_TARGET_ADDRESS	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	The central stem continuously joins spray, leaf mass, and root; text pockets are contour-shaped leftovers.	NO_DRAWN_VESSEL_OR_FLOW	AL ist Anwendungsadresse; CHEO+AR kann Pflanzenauszug nennen	An der Zielstelle anwenden; dorthin führen	Zieladresse, kein bestimmtes Gefaess.
E082	f56r	f56r.7	F015	H5-S001	dd0ecaf5e27d81befffc	dal	AL	AL	an/bei/zu der bezeichneten Stelle; Zieladresse	an oder bei der bezeichneten Stelle	SELECT_TARGET_ADDRESS	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	All heads attach to one pale branching axis and no pictured liquid, person, vessel, or tool intervenes.	NO_DRAWN_VESSEL_OR_FLOW	AL ist Anwendungsadresse; CHEO ist Auszugs-/Traegermedium	An der örtlich bezeichneten Hautstelle	Eine exakte Karte mit al|chal|cheal|dal|sal|tal.
E092	f56r	f56r.13	F018	H5-S004	087a47b5423438cd6b6a	chokcheo	CHEO_OWNER_CHECK	OK+CHEO	Auszugs- oder Traegerfluessigkeit	eine Auszugs- oder Traegerfluessigkeit einsetzen	SELECT_CHEO_PROVISIONAL_PLANT_FAMILY	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	All heads attach to one pale branching axis and no pictured liquid, person, vessel, or tool intervenes.	NO_DRAWN_VESSEL_OR_FLOW	AL ist Anwendungsadresse; CHEO ist Auszugs-/Traegermedium	Hilfsmedium	Bild zeigt keinen Stoff; Wasser/Wein/Oel bleiben lokal.
E103	f81v	f81v.2	F022	B1-S002	22fb87a5a83e5c3fb510	kair	AIR	AIR	fliessende Fluessigkeit; Laufwasser	laufende Becken- oder Waschfluessigkeit	SELECT_MOVING_LIQUID_NOT_PATH	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	Alle ungefähr sechzehn Figuren liegen in derselben grünen Umgrenzung; keine Reihenfolge ist gezeichnet.	COMMON_ENCLOSURE_UNDIRECTED	Lokale Beckenfluessigkeit sowie Quell-/Zieladressen; keine Rueckrichtung	den zurücklaufenden Strom	Rueckstrom ist nicht gezeichnet.
E104	f81v	f81v.2	F022	B1-S002	308e8ea2d5d190c498e8	okal	AL	OK+AL	an/bei/zu der bezeichneten Stelle; Zieladresse	an der Zielstelle einsetzen oder anwenden	SELECT_TARGET_ADDRESS	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	Alle ungefähr sechzehn Figuren liegen in derselben grünen Umgrenzung; keine Reihenfolge ist gezeichnet.	COMMON_ENCLOSURE_UNDIRECTED	Lokale Beckenfluessigkeit sowie Quell-/Zieladressen; keine Rueckrichtung	An der Zielstelle anwenden; dorthin führen	Zieladresse, kein bestimmtes Gefaess.
E105	f81v	f81v.2	F022	B1-S002	4d4559019a961b834aa1	sar	AR	AR	aus/von; Quellseite	davon oder daraus; aus dem aktuellen Quellposten	SELECT_SOURCE_ADDRESS	B1_SHARED_TWO_ROW_POOL	INHERITED_VISIBLE	Alle ungefähr sechzehn Figuren liegen in derselben grünen Umgrenzung; keine Reihenfolge ist gezeichnet.	COMMON_ENCLOSURE_UNDIRECTED	Lokale Beckenfluessigkeit sowie Quell-/Zieladressen; keine Rueckrichtung	Daraus, aus demselben Ansatz	Huellen char|dar|sar sind keine verschiedenen Richtungen.
