statement_id	record_unit_id	page	loci	field_ids	event_ids	event_count	revised_event_count	surface_sequence	directional_card_sequence_de	compact_directional_reading_de	physical_line_note
H1-S001	H1	f10r	f10r.2	F001	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	10	2	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd	Wurzelteil · säubern · aus demselben Vorrat · zerkleinern · Gefäß · Flüssigkeitszulauf · ersten Auszug auffangen · den laufenden Posten anwenden oder in Arbeit nehmen · Maß · Wurzelteil	Wurzelteil; säubern; aus demselben Vorrat; zerkleinern; Gefäß; Flüssigkeitszulauf; ersten Auszug auffangen; den laufenden Posten anwenden oder in Arbeit nehmen; Maß; Wurzelteil	LOCAL_SEQUENCE
H1-S002	H1	f10r	f10r.5	F002	E011|E012|E013|E014	4	0	qokchy · qotchol · chol · cthy	den laufenden Posten anwenden oder in Arbeit nehmen · gelind erwärmen · mit Vorigem weiter · bereit	Den laufenden Posten anwenden oder in Arbeit nehmen; gelind erwärmen; mit Vorigem weiter; bereit	LOCAL_SEQUENCE
H2-S001	H2	f10r	f10r.6	F003	E015|E016|E017|E018|E019|E020|E021|E022|E023	9	0	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy	Pflanzenspitzen · bereit · Zubereitung · Kraut zerstoßen · durch Tuch · der laufende Posten; dies oder es · der laufende Posten; dies oder es · Maß · der laufende Posten; dies oder es	Pflanzenspitzen; bereit; Zubereitung; Kraut zerstoßen; durch Tuch; der laufende Posten; dies oder es; der laufende Posten; dies oder es; Maß; der laufende Posten; dies oder es	LOCAL_SEQUENCE
H2-S002	H2	f10r	f10r.8	F004	E024|E025|E026|E027|E028|E029|E030|E031	8	2	qotchor · chor · otol · chol · cholor · chol · daiin · dar	die nächste Zubereitung · Zubereitung · Handvoll · mit Vorigem weiter · vorige Zubereitung · mit Vorigem weiter · Maß · aus demselben Vorrat	Die nächste Zubereitung; Zubereitung; Handvoll; mit Vorigem weiter; vorige Zubereitung; mit Vorigem weiter; Maß; aus demselben Vorrat	LOCAL_SEQUENCE
H2-S003	H2	f10r	f10r.9	F005	E032|E033|E034|E035|E036|E037|E038	7	0	oykchor · shor · chor · chy · kaiiin · dy · chodaiin	glasiertes Gefäß · Zubereitung · Zubereitung · der laufende Posten; dies oder es · weiche Salbe · der laufende Posten; dies oder es · Geschwür	Glasiertes Gefäß; Zubereitung; Zubereitung; der laufende Posten; dies oder es; weiche Salbe; der laufende Posten; dies oder es; Geschwür	LOCAL_SEQUENCE
H3-S001	H3	f11r	f11r.1	F006	E039|E040|E041|E042|E043|E044|E045	7	0	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody	Blütenkraut · in Wein kochen · durch Tuch wringen · stehen lassen · nochmals seihen · klare Flüssigkeit · abkühlen; Ende	Blütenkraut; in Wein kochen; durch Tuch wringen; stehen lassen; nochmals seihen; klare Flüssigkeit; abkühlen; Ende	LOCAL_SEQUENCE
H3-S002	H3	f11r	f11r.1	F007	E046	1	0	shoyty	Blütenanteil zurückhalten	Blütenanteil zurückhalten	LOCAL_SEQUENCE
H3-S003	H3	f11r	f11r.4	F008	E047|E048|E049|E050|E051	5	1	dchol · chy · kchy · dy · daiin	vom vorigen Posten nehmen · der laufende Posten; dies oder es · als Trank geben · der laufende Posten; dies oder es · Maß	Vom vorigen Posten nehmen; der laufende Posten; dies oder es; als Trank geben; der laufende Posten; dies oder es; Maß	LOCAL_SEQUENCE
H3-S004	H3	f11r	f11r.7	F009	E052|E053|E054|E055	4	0	qotchy · okchol · cthy · dy	zurückbehaltene Blüten · mit dem vorigen Arbeitsgut weiterarbeiten · bereit · der laufende Posten; dies oder es	Zurückbehaltene Blüten; mit dem vorigen Arbeitsgut weiterarbeiten; bereit; der laufende Posten; dies oder es	LOCAL_SEQUENCE
H4-S001	H4	f55v	f55v.5	F010	E056|E057|E058|E059|E060	5	0	qokaiin · chaiin · ykain · ykan · ody	nach Maß einsetzen; den Einsatz bemessen · Maß · Blätter zerstoßen · Weißwein zugeben · kühl lagern; Ende	Nach Maß einsetzen; den Einsatz bemessen; Maß; Blätter zerstoßen; Weißwein zugeben; kühl lagern; Ende	LOCAL_SEQUENCE
