family	joint_tuple_id	surface_family	event_count	event_inventory	pages	records	statement_ids	selected_parse	invariant_contribution_de	selected_default_de	counter_idea_de	statement_effect_de	strength
SOURCE_AR	4d4559019a961b834aa1	char|dar|sar	5	E003@H1-S001|E031@H2-S002|E105@B1-S002|E199@B2-S011|E238@B3-S004	f10r|f81v|f82r|f83r	H1|H2|B1|B2|B3	H1-S001|H2-S002|B1-S002|B2-S011|B3-S004	AR	Quelle/Herkunft: von oder aus	daraus; von der Quelle	AR als über oder als unspezifische Stelle	Jede lokale Lesung behält ausdrücklich daraus/von	SELECTED_RECURRENT
SOURCE_AR	807591efc3d3f7ddbfab	cheoar	1	E065@H4-S003	f55v	H4	H4-S003	CHEO_LEARNED+AR	Quelle/Herkunft: von oder aus	klaren Auszug daraus entnehmen	AR selbst bedeute klarer Auszug	H4-S003 ergänzt beim klaren Auszug das daraus	SELECTED_COMPOSITIONAL_DEFAULT
SOURCE_AR	883a6708116c342cb10b	skar	1	E360@B4-S016	f83r	B4	B4-S016	SK_LEARNED+AR	Quelle/Herkunft: von oder aus	erwärmtes Wasser oder Medium ausgießen	lokal einfüllen trotz AR	B4-S016 verwendet ausgießen und nicht einfüllen	SELECTED_DIRECTIONAL_CORRECTION
SOURCE_AR	b6b654722e55729cc947	otar	1	E149@B1-S014	f81v	B1	B1-S014	OT+AR	OT=danach; AR=aus der Quelle	danach auslassen oder entnehmen	fester Ablaufname ohne Quellenbeitrag	B1-S014 endet gerichtet mit danach auslassen	SELECTED_COMPOSITIONAL_DEFAULT
SOURCE_AR	3ae9a121ba0045b913e8	qokar	1	E191@B2-S008	f82r	B2	B2-S008	Q_RENDERER+OK+AR	OK=in Arbeit setzen; AR=aus der Quelle	daraus in den Arbeitsgang nehmen	über der Stelle oder ungerichtet heranführen	B2-S008 liest den mittleren Schritt als daraus in Arbeit nehmen	SELECTED_THIN
OUTWARD_SOURCE	0f15effeca7ab10bb026	lchedar	1	E215@B2-S016	f82r	B2	B2-S016	L+CHED+AR	L+CHED=hinausführen; AR=aus der Quelle	aus der Quelle hinausführen	kühles Wasser oder bloßer Transfer	B2-S016 erhält eine explizite Ausgangsbewegung	SELECTED_COMPOSITIONAL_DEFAULT
PATH_AIR	12efe866f335461823a6	chair	1	E006@H1-S001	f10r	H1	H1-S001	CH_LEARNED+AIR	Weg/Lauf: durch oder längs	Zulauf	AIR als Wasserstoff statt Weg	H1-S001 nennt einen Zulauf; Wasser bleibt nur lokale Füllung	SELECTED_THIN
PATH_AIR	22fb87a5a83e5c3fb510	kair	1	E103@B1-S002	f81v	B1	B1-S002	K_LEARNED+AIR	Weg/Lauf: durch oder längs	Rücklauf	AIR als bestimmter Stoff	B1-S002 behält Rücklauf als gelernte Richtungsart des Laufs	SELECTED_THIN
PATH_AIR	7d2404c835b10a2c06af	okair	1	E260@B3-S014	f83r	B3	B3-S014	OK+AIR	OK=in Gang setzen; AIR=Laufweg	den Lauf in Gang setzen	Wasserlauf öffnen als stoffgebundener Stamm	B3-S014 beginnt mit den Lauf in Gang setzen	SELECTED_COMPOSITIONAL_DEFAULT
PATH_AIR	b154ff779abe5f196c80	schedair	1	E300@B3-S030	f83r	B3	B3-S030	S_RENDERER+CHED+AIR	CHED=führen; AIR=Laufweg	den Posten durch den Lauf führen	führen oder abziehen ohne Richtungsentscheidung	B3-S030 hat nun nur die Weglesung durch den Lauf	SELECTED_COMPOSITIONAL_DEFAULT
