rank	joint_tuple_id	surface_family	events	current_default_de	selected_parse	selected_default_de	decision	why
1	80ebbbbf238eee9f0aef	chety|chty	E004|E311	zerkleinern	LEARNED_WHOLE_CARD	zerkleinern	KEEP_WHOLE	Both Herbal and Biological occurrences admit the same short operation; no reusable smaller component improves it.
2	53cd0637c6820ba5e91f	dain	E327|E379	durch Tuch	LEARNED_WHOLE_CARD	durch Tuch	KEEP_WHOLE	Both Biological occurrences retain the same filter-path value; splitting visible AIN would collide with the selected portion root.
3	d665560c8ff80799a82c	dchol|schol	E047|E083	vorigen Ansatz abnehmen	CH_RENDERER+OL	vom vorigen Posten nehmen	REVISE_COMPOSITION	The exact card varies d/s while OL supplies the already selected previous/continuation value.
4	0f18de177ed7c878bf95	dl	E112|E129	Badezusatz	LEARNED_WHOLE_CARD	Badezusatz	KEEP_WHOLE	Two uses occur in the same Biological record and no cross-family DL contribution is available.
5	2c82523794dcb7d2b343	oiiin|soiiin	E161|E309	klar	O_S_RENDERER+IIN_GRADE	vorgeschriebener Grad	REVISE_COMPOSITION	Both contexts place the card before readiness, processing or a terminal station; a parameter grade is compatible with the AIIN/IIN quantity family and avoids an unattested clarity word.
6	94df4847b7b16c98394a	olkain|qolkain	E108|E358	unteres Becken	OL+KAIN	mit einer weiteren Portion fortfahren	REVISE_COMPOSITION	The two visible owners are not one uniquely lower basin, while OL=continue and KAIN=measured portion are already selected.
7	faf321940aed922846a9	otchey	E098|E321	Teil auswählen	OT+CHEY[wrapped Y_REFERENT]	den nächsten Posten wählen	REVISE_COMPOSITION	OT supplies next and the CHEY renderer supplies the current/item reference in two different records.
8	10488b911aae52b3b334	otchor|qotchor	E024|E080	zweite Auswahl	OT+CH_RENDERER+OR	die nächste Zubereitung	REVISE_COMPOSITION	OT=next and the recurrent exact OR card means preparation; no separate selection root is required.
9	6b89d6dd70635bc60fe0	qcthey|shcthey	E204|E258	bei gleicher Einstellung	CTH_READY+E_HOLD+Y_REFERENT	den laufenden Posten bereit halten	REVISE_COMPOSITION	Both contexts sit between quantity/material setup and a following application; CTHY=ready and Y=current item explain the repeated value.
10	abb23e5e6936b4147f76	shedal	E275|E364	Zeitabschnitt	SHED_REST+AL_TARGET	Ruhe- oder Absetzstelle	REVISE_COMPOSITION	The two occurrences have different local owners but both allow a rest/settling station; SHED rest plus AL target predicts it without a duration word.
