paired_event_id	source_event_id	bundle_id	physical_page	register	locus	surface	working_recipe	literal_working_reading_de	order_occurrence_count	order_root_sequence	scope_orientation_sequence	state_operation_sequence	paired_scope_reading_de	context_selected_model	context_selected_event_reading_de	paired_order_event_reading_de	root_meaning_change	learned_name_change
G478-E001	P1003-E0079	G474-B001	f17r	HERBAL	f17r.13	oteeeon	OT	DANACH · [PFLANZENNAME:eeeon]	1	OT	FORWARD_OPEN	START_FRESH_SIBLING	OT: danach Pflanze »eeeon«	CATALOGUE	Pflanzenname »eeeon« — Folgevermerk.	Pflanzenname »eeeon« — Folgevermerk. Reihenfolge: OT: danach Pflanze »eeeon«.	NO	NO
G478-E002	P1003-E0598	G474-B004	f71v	CELESTIAL	f71v.4	okolar	OK+OL+AR	SETZEN · FORTSETZEN · AUSGANG	1	OL	BRIDGE_LEFT_TO_RIGHT	KEEP_ACTIVE_UNIT	OL: Setzen in Ausgang weiterführen	INSTRUCTION	Weiter setze den Eintrag von der Ausgangsposition.	Weiter setze den Eintrag von der Ausgangsposition. Reihenfolge: OL: Setzen in Ausgang weiterführen.	NO	NO
G478-E003	P1003-E0599	G474-B005	f71v	CELESTIAL	f71v.5	otchody	OT	DANACH · [STERNSTELLENNAME:chody]	1	OT	FORWARD_OPEN	START_FRESH_SIBLING	OT: danach Sternstelle »chody«	CATALOGUE	Sternstelle »chody« — Folgevermerk.	Sternstelle »chody« — Folgevermerk. Reihenfolge: OT: danach Sternstelle »chody«.	NO	NO
G478-E004	P1003-E0601	G474-B007	f71v	CELESTIAL	f71v.7	otaiin	OT+AIIN	DANACH · WERT	1	OT	FORWARD_OPEN	START_FRESH_SIBLING	OT: danach Wert	COORDINATE	Adressspur: danach → Positionswert.	Adressspur: danach → Positionswert. Reihenfolge: OT: danach Wert.	NO	NO
G478-E005	P1003-E0603	G474-B009	f71v	CELESTIAL	f71v.9	otar	OT+AR	DANACH · AUSGANG	1	OT	FORWARD_OPEN	START_FRESH_SIBLING	OT: danach Ausgang	COORDINATE	Adressspur: danach → Ausgangsposition.	Adressspur: danach → Ausgangsposition. Reihenfolge: OT: danach Ausgang.	NO	NO
G478-E006	P1003-E0642	G474-B013	f71v	CELESTIAL	f71v.14	otalody	OT+AL	DANACH · ZIELORT · [STERNSTELLENNAME:ody]	1	OT	FORWARD_OPEN	START_FRESH_SIBLING	OT: danach Zielort	CATALOGUE	Sternstelle »ody« — Folgevermerk, Zielzuordnung.	Sternstelle »ody« — Folgevermerk, Zielzuordnung. Reihenfolge: OT: danach Zielort.	NO	NO
G478-E007	P1003-E0643	G474-B014	f71v	CELESTIAL	f71v.15	otalaiin	OT+AL+AIIN	DANACH · ZIELORT · WERT	1	OT	FORWARD_OPEN	START_FRESH_SIBLING	OT: danach Zielort	COORDINATE	Adressspur: danach → Zielposition → Positionswert.	Adressspur: danach → Zielposition → Positionswert. Reihenfolge: OT: danach Zielort.	NO	NO
G478-E008	P1003-E0644	G474-B015	f71v	CELESTIAL	f71v.16	otar	OT+AR	DANACH · AUSGANG	1	OT	FORWARD_OPEN	START_FRESH_SIBLING	OT: danach Ausgang	INSTRUCTION	Danach beziehe den Eintrag von der Ausgangsposition.	Danach beziehe den Eintrag von der Ausgangsposition. Reihenfolge: OT: danach Ausgang.	NO	NO
G478-E009	P1003-E0646	G474-B016	f71v	CELESTIAL	f71v.17	sholshdy	SH+OL+SH	HALTEN · FORTSETZEN · HALTEN · [STERNSTELLENNAME:dy]	1	OL	BRIDGE_LEFT_TO_RIGHT	KEEP_ACTIVE_UNIT	OL: Halten in Halten weiterführen	INSTRUCTION	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«.	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«. Reihenfolge: OL: Halten in Halten weiterführen.	NO	NO
G478-E010	P1008-E0136	G474-B023	f72r	CELESTIAL	f72r1.8	otaraldy	OT+AR+AL+Y	DANACH · AUSGANG · ZIELORT · POSTEN	1	OT	FORWARD_OPEN	START_FRESH_SIBLING	OT: danach Ausgang	COORDINATE	Adressspur: danach → Ausgangsposition → Zielposition → Positionsposten.	Adressspur: danach → Ausgangsposition → Zielposition → Positionsposten. Reihenfolge: OT: danach Ausgang.	NO	NO
G478-E011	P1008-E0137	G474-B024	f72r	CELESTIAL	f72r1.9	otaiin	OT+AIIN	DANACH · WERT	1	OT	FORWARD_OPEN	START_FRESH_SIBLING	OT: danach Wert	COORDINATE	Adressspur: danach → Positionswert.	Adressspur: danach → Positionswert. Reihenfolge: OT: danach Wert.	NO	NO
G478-E012	P1008-E0138	G474-B024	f72r	CELESTIAL	f72r1.9	otain	OT+AIN	DANACH · ANTEIL	1	OT	FORWARD_OPEN	START_FRESH_SIBLING	OT: danach Anteil	COORDINATE	Adressspur: danach → Sektoranteil.	Adressspur: danach → Sektoranteil. Reihenfolge: OT: danach Anteil.	NO	NO
G478-E013	P1008-E0139	G474-B025	f72r	CELESTIAL	f72r1.10	otalef	OT+AL	DANACH · ZIELORT · [STERNSTELLENNAME:ef]	1	OT	FORWARD_OPEN	START_FRESH_SIBLING	OT: danach Zielort	INSTRUCTION	Danach beziehe den Sternstelleneintrag »ef« zur Zielposition.	Danach beziehe den Sternstelleneintrag »ef« zur Zielposition. Reihenfolge: OT: danach Zielort.	NO	NO
G478-E014	P1008-E0142	G474-B026	f72r	CELESTIAL	f72r1.11	ochol	O+OL	AUSFÜHRUNG · FORTSETZEN	1	OL	BACKWARD_HOLD	KEEP_ACTIVE_UNIT	OL: Ausführung weiterführen	INSTRUCTION	Weiter beziehe den Eintrag, als Ausführung.	Weiter beziehe den Eintrag, als Ausführung. Reihenfolge: OL: Ausführung weiterführen.	NO	NO
