paired_scope_id	order_occurrence_id	root	working_meaning_de	source_event_id	bundle_id	record_id	physical_page	register	locus	surface	working_recipe	literal_working_reading_de	marked_literal_working_reading_de	root_ordinal_in_event	literal_token_ordinal	literal_token_count	left_token	left_token_type	right_token	right_token_type	name_relative_position	scope_orientation	scope_formula_de	directional_scope_phrase_de	state_operation	gdt475_position_role	gdt475_stream_interpretation	boundary_role	context_selected_model	model_source	context_selected_event_reading_de	root_meaning_change	learned_name_change	claim_status
G478-O001	G475-O001	OT	DANACH	P1003-E0079	G474-B001	G475-R001	f17r	HERBAL	f17r.13	oteeeon	OT	DANACH · [PFLANZENNAME:eeeon]	⟦DANACH⟧ · [PFLANZENNAME:eeeon]	1	1	2	NONE	BOUNDARY	[PFLANZENNAME:eeeon]	LEARNED_NAME	PRE_NAME	FORWARD_OPEN	OT · X = nächster Träger: X	danach Pflanze »eeeon«	START_FRESH_SIBLING	BUNDLE_LEADING	PAGE_INITIAL_FOLLOW_FRAME	PAGE_START	CATALOGUE	GDT474_SELECTED_DEFAULT	Pflanzenname »eeeon« — Folgevermerk.	NO	NO	PAIRED_ORDER_SCOPE_DEFAULT__ROOT_MEANINGS_UNCHANGED
G478-O002	G475-O002	OL	FORTSETZEN	P1003-E0598	G474-B004	G475-R004	f71v	CELESTIAL	f71v.4	okolar	OK+OL+AR	SETZEN · FORTSETZEN · AUSGANG	SETZEN · ⟦FORTSETZEN⟧ · AUSGANG	1	2	3	SETZEN	ACTION	AUSGANG	FUNCTION	NAME_FREE	BRIDGE_LEFT_TO_RIGHT	X · OL · Y = X in Y weiterführen	Setzen in Ausgang weiterführen	KEEP_ACTIVE_UNIT	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	INSTRUCTION	GDT474_SELECTED_DEFAULT	Weiter setze den Eintrag von der Ausgangsposition.	NO	NO	PAIRED_ORDER_SCOPE_DEFAULT__ROOT_MEANINGS_UNCHANGED
G478-O003	G475-O003	OT	DANACH	P1003-E0599	G474-B005	G475-R005	f71v	CELESTIAL	f71v.5	otchody	OT	DANACH · [STERNSTELLENNAME:chody]	⟦DANACH⟧ · [STERNSTELLENNAME:chody]	1	1	2	NONE	BOUNDARY	[STERNSTELLENNAME:chody]	LEARNED_NAME	PRE_NAME	FORWARD_OPEN	OT · X = nächster Träger: X	danach Sternstelle »chody«	START_FRESH_SIBLING	BUNDLE_LEADING	NEXT_SIBLING_RECORD	EXPLICIT_NEXT_SIBLING_OT	CATALOGUE	GDT474_SELECTED_DEFAULT	Sternstelle »chody« — Folgevermerk.	NO	NO	PAIRED_ORDER_SCOPE_DEFAULT__ROOT_MEANINGS_UNCHANGED
G478-O004	G475-O004	OT	DANACH	P1003-E0601	G474-B007	G475-R007	f71v	CELESTIAL	f71v.7	otaiin	OT+AIIN	DANACH · WERT	⟦DANACH⟧ · WERT	1	1	2	NONE	BOUNDARY	WERT	FUNCTION	NAME_FREE	FORWARD_OPEN	OT · X = nächster Träger: X	danach Wert	START_FRESH_SIBLING	BUNDLE_LEADING	NEXT_SIBLING_RECORD	EXPLICIT_NEXT_SIBLING_OT	COORDINATE	GDT474_SELECTED_DEFAULT	Adressspur: danach → Positionswert.	NO	NO	PAIRED_ORDER_SCOPE_DEFAULT__ROOT_MEANINGS_UNCHANGED
G478-O005	G475-O005	OT	DANACH	P1003-E0603	G474-B009	G475-R009	f71v	CELESTIAL	f71v.9	otar	OT+AR	DANACH · AUSGANG	⟦DANACH⟧ · AUSGANG	1	1	2	NONE	BOUNDARY	AUSGANG	FUNCTION	NAME_FREE	FORWARD_OPEN	OT · X = nächster Träger: X	danach Ausgang	START_FRESH_SIBLING	BUNDLE_LEADING	NEXT_SIBLING_RECORD	EXPLICIT_NEXT_SIBLING_OT	COORDINATE	GDT474_SELECTED_DEFAULT	Adressspur: danach → Ausgangsposition.	NO	NO	PAIRED_ORDER_SCOPE_DEFAULT__ROOT_MEANINGS_UNCHANGED
G478-O006	G475-O006	OT	DANACH	P1003-E0642	G474-B013	G475-R013	f71v	CELESTIAL	f71v.14	otalody	OT+AL	DANACH · ZIELORT · [STERNSTELLENNAME:ody]	⟦DANACH⟧ · ZIELORT · [STERNSTELLENNAME:ody]	1	1	3	NONE	BOUNDARY	ZIELORT	FUNCTION	PRE_NAME	FORWARD_OPEN	OT · X = nächster Träger: X	danach Zielort	START_FRESH_SIBLING	BUNDLE_LEADING	NEXT_SIBLING_RECORD	EXPLICIT_NEXT_SIBLING_OT	CATALOGUE	GDT474_SELECTED_DEFAULT	Sternstelle »ody« — Folgevermerk, Zielzuordnung.	NO	NO	PAIRED_ORDER_SCOPE_DEFAULT__ROOT_MEANINGS_UNCHANGED
G478-O007	G475-O007	OT	DANACH	P1003-E0643	G474-B014	G475-R014	f71v	CELESTIAL	f71v.15	otalaiin	OT+AL+AIIN	DANACH · ZIELORT · WERT	⟦DANACH⟧ · ZIELORT · WERT	1	1	3	NONE	BOUNDARY	ZIELORT	FUNCTION	NAME_FREE	FORWARD_OPEN	OT · X = nächster Träger: X	danach Zielort	START_FRESH_SIBLING	BUNDLE_LEADING	NEXT_SIBLING_RECORD	EXPLICIT_NEXT_SIBLING_OT	COORDINATE	GDT474_SELECTED_DEFAULT	Adressspur: danach → Zielposition → Positionswert.	NO	NO	PAIRED_ORDER_SCOPE_DEFAULT__ROOT_MEANINGS_UNCHANGED
G478-O008	G475-O008	OT	DANACH	P1003-E0644	G474-B015	G475-R015	f71v	CELESTIAL	f71v.16	otar	OT+AR	DANACH · AUSGANG	⟦DANACH⟧ · AUSGANG	1	1	2	NONE	BOUNDARY	AUSGANG	FUNCTION	NAME_FREE	FORWARD_OPEN	OT · X = nächster Träger: X	danach Ausgang	START_FRESH_SIBLING	BUNDLE_LEADING	NEXT_SIBLING_RECORD	EXPLICIT_NEXT_SIBLING_OT	INSTRUCTION	GDT474_SELECTED_DEFAULT	Danach beziehe den Eintrag von der Ausgangsposition.	NO	NO	PAIRED_ORDER_SCOPE_DEFAULT__ROOT_MEANINGS_UNCHANGED
G478-O009	G475-O009	OL	FORTSETZEN	P1003-E0646	G474-B016	G475-R016	f71v	CELESTIAL	f71v.17	sholshdy	SH+OL+SH	HALTEN · FORTSETZEN · HALTEN · [STERNSTELLENNAME:dy]	HALTEN · ⟦FORTSETZEN⟧ · HALTEN · [STERNSTELLENNAME:dy]	1	2	4	HALTEN	ACTION	HALTEN	ACTION	PRE_NAME	BRIDGE_LEFT_TO_RIGHT	X · OL · Y = X in Y weiterführen	Halten in Halten weiterführen	KEEP_ACTIVE_UNIT	EVENT_INTERNAL	CONTINUE_ACTIVE_CARD_OR_QUALIFIER	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	INSTRUCTION	GDT474_SELECTED_DEFAULT	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«.	NO	NO	PAIRED_ORDER_SCOPE_DEFAULT__ROOT_MEANINGS_UNCHANGED
G478-O010	G475-O010	OT	DANACH	P1008-E0136	G474-B023	G475-R023	f72r	CELESTIAL	f72r1.8	otaraldy	OT+AR+AL+Y	DANACH · AUSGANG · ZIELORT · POSTEN	⟦DANACH⟧ · AUSGANG · ZIELORT · POSTEN	1	1	4	NONE	BOUNDARY	AUSGANG	FUNCTION	NAME_FREE	FORWARD_OPEN	OT · X = nächster Träger: X	danach Ausgang	START_FRESH_SIBLING	BUNDLE_LEADING	NEXT_SIBLING_RECORD	EXPLICIT_NEXT_SIBLING_OT	COORDINATE	GDT474_SELECTED_DEFAULT	Adressspur: danach → Ausgangsposition → Zielposition → Positionsposten.	NO	NO	PAIRED_ORDER_SCOPE_DEFAULT__ROOT_MEANINGS_UNCHANGED
