current_default_id	source_realization_cell_id	frame_id	frozen_frame	action_root	action_recipe	register	portable_component_trace_de	owner_local_slot_trace_de	state_requirement	previous_display_phrase_de	current_default_phrase_de	current_default_policy	editorial_change_type	generalized_inherited_noun_count	evidence_status_retained	display_phrase_provenance_retained	observed_event_count_retained	observed_clause_form_count_retained	observed_pages_retained	observed_event_ids_retained	all_observed_clause_forms_de_retained	observed_inherited_argument_roots_retained	context_argument_policy	all_recipe_value_cells_observed	new_slot_value_required	working_root_meaning_changed	formal_frame_changed	evidence_status_changed	surface_prediction_made	occurrence_prediction_made	guard
G497-D001	G493-C001	G493-F01	@ACTION	T	T	SOURCE_SECTION_T	EINSTELLEN	T=FESTLEGEN	ACTIVE_ARGUMENT_REQUIRED	Lege den laufenden Eintrag [wie zuvor] fest.	Lege das zuvor Genannte fest.	COMPOSED_CONTEXT_SAFE_GENERALIZED	COMPOSED_CONTEXT_NOUN_GENERALIZED	1	COMPOSED_WORKING	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	NONE	NONE	NONE	NONE	INHERIT_LIVE_ARGUMENT	YES	NO	NO	NO	NO	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-D002	G493-C002	G493-F01	@ACTION	T	T	HERBAL	EINSTELLEN	T=ARBEITSSTUFE EINSTELLEN	ACTIVE_ARGUMENT_REQUIRED	Stelle den Pflanzenposten [wie zuvor] ein.	Stelle den Pflanzenposten [wie zuvor] ein.	OBSERVED_CLAUSE_RETAINED	UNCHANGED_OBSERVED	0	OBSERVED_CLAUSE	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	f56r	G407-E0858	Stelle den Pflanzenposten [wie zuvor] ein.	Y	USE_EXACT_OBSERVED_ARGUMENT	YES	NO	NO	NO	NO	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-D003	G493-C003	G493-F01	@ACTION	T	T	BIOLOGICAL	EINSTELLEN	T=STATIONSWERT EINSTELLEN	ACTIVE_ARGUMENT_REQUIRED	Stelle den Stationsposten [wie zuvor] ein.	Stelle das zuvor Genannte ein.	COMPOSED_CONTEXT_SAFE_GENERALIZED	COMPOSED_CONTEXT_NOUN_GENERALIZED	1	COMPOSED_WORKING	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	NONE	NONE	NONE	NONE	INHERIT_LIVE_ARGUMENT	YES	NO	NO	NO	NO	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-D004	G493-C004	G493-F01	@ACTION	T	T	CELESTIAL	EINSTELLEN	T=WERT EINSTELLEN	ACTIVE_ARGUMENT_REQUIRED	Stelle den Positionsposten [wie zuvor] ein.	Stelle das zuvor Genannte ein.	COMPOSED_CONTEXT_SAFE_GENERALIZED	COMPOSED_CONTEXT_NOUN_GENERALIZED	1	COMPOSED_WORKING	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	NONE	NONE	NONE	NONE	INHERIT_LIVE_ARGUMENT	YES	NO	NO	NO	NO	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-D005	G493-C005	G493-F01	@ACTION	T	T	PHARMA	EINSTELLEN	T=ANSATZWERT EINSTELLEN	ACTIVE_ARGUMENT_REQUIRED	Stelle den Drogenposten [wie zuvor] ein.	Stelle das zuvor Genannte ein.	COMPOSED_CONTEXT_SAFE_GENERALIZED	COMPOSED_CONTEXT_NOUN_GENERALIZED	1	COMPOSED_WORKING	GDT416_RENDERER_PLUS_OLD_REGISTER_VALUE_CELLS	0	0	NONE	NONE	NONE	NONE	INHERIT_LIVE_ARGUMENT	YES	NO	NO	NO	NO	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-D006	G493-C006	G493-F01	@ACTION	R	R	SOURCE_SECTION_T	MARKIEREN	R=KENNZEICHNEN	ACTIVE_ARGUMENT_REQUIRED	Kennzeichne den laufenden Eintrag [wie zuvor].	Kennzeichne den laufenden Eintrag [wie zuvor].	OBSERVED_CLAUSE_RETAINED	UNCHANGED_OBSERVED	0	OBSERVED_CLAUSE	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	1	1	f1r	G407-E0110	Kennzeichne den laufenden Eintrag [wie zuvor].	Y	USE_EXACT_OBSERVED_ARGUMENT	YES	NO	NO	NO	NO	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-D007	G493-C007	G493-F01	@ACTION	R	R	HERBAL	MARKIEREN	R=TEIL MARKIEREN	ACTIVE_ARGUMENT_REQUIRED	Markiere den Pflanzenposten [wie zuvor].	Markiere den Pflanzenposten [wie zuvor].	OBSERVED_CLAUSE_RETAINED	UNCHANGED_OBSERVED	0	OBSERVED_CLAUSE	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	3	2	f24v|f56r	G407-E0644|G407-E0860|G407-E0886	Markiere den Pflanzenposten [wie zuvor]. || Markiere die Arbeitseinheit [wie zuvor].	OR|Y	USE_EXACT_OBSERVED_ARGUMENT	YES	NO	NO	NO	NO	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-D008	G493-C008	G493-F01	@ACTION	R	R	BIOLOGICAL	MARKIEREN	R=STATION MARKIEREN	ACTIVE_ARGUMENT_REQUIRED	Markiere den Stationsposten [wie zuvor].	Markiere den Stationsposten [wie zuvor].	OBSERVED_CLAUSE_RETAINED	UNCHANGED_OBSERVED	0	OBSERVED_CLAUSE	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	12	2	f75r|f76r|f77r|f81v|f82r|f83r	G407-E1463|G407-E1527|G407-E1912|G407-E2127|G407-E2152|G407-E2513|G407-E2656|G407-E3063|G407-E3237|G407-E3273|G407-E3296|G407-E3532	Markiere den Stationsposten [wie zuvor]. || Markiere.	Y	USE_EXACT_OBSERVED_ARGUMENT	YES	NO	NO	NO	NO	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-D009	G493-C009	G493-F01	@ACTION	R	R	CELESTIAL	MARKIEREN	R=POSITION MARKIEREN	ACTIVE_ARGUMENT_REQUIRED	Markiere den Positionsposten [wie zuvor].	Markiere den Positionsposten [wie zuvor].	OBSERVED_CLAUSE_RETAINED	UNCHANGED_OBSERVED	0	OBSERVED_CLAUSE	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	2	2	f67r2|f72r	G407-E0938|G407-E1249	Markiere den Positionsposten [wie zuvor]. || Markiere die Positionseinheit [wie zuvor].	OR|Y	USE_EXACT_OBSERVED_ARGUMENT	YES	NO	NO	NO	NO	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-D010	G493-C010	G493-F01	@ACTION	R	R	PHARMA	MARKIEREN	R=POSTEN MARKIEREN	ACTIVE_ARGUMENT_REQUIRED	Markiere den Drogenposten [wie zuvor].	Markiere den Drogenposten [wie zuvor].	OBSERVED_CLAUSE_RETAINED	UNCHANGED_OBSERVED	0	OBSERVED_CLAUSE	GDT416_EXACT_RECIPE_REGISTER_CLAUSE	3	2	f88v|f89r	G407-E4030|G407-E4172|G407-E4386	Markiere den Drogenposten [wie zuvor]. || Markiere den Mengenwert [wie zuvor].	AIIN|Y	USE_EXACT_OBSERVED_ARGUMENT	YES	NO	NO	NO	NO	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
