context_generalization_id	current_default_id	source_realization_cell_id	frozen_frame	action_root	action_recipe	register	previous_y_default_phrase_de	context_safe_default_phrase_de	editorial_change_type	generalized_inherited_noun_count	same_frame_observed_state_cell_count	same_frame_observed_state_cell_ids	same_frame_observed_argument_roots	same_register_observed_state_cell_count	same_register_observed_state_cell_ids	same_action_observed_state_cell_count	same_action_observed_state_cell_ids	same_action_observed_registers	observed_state_examples_de	working_root_meaning_changed	formal_frame_changed	evidence_status_retained	surface_prediction_made	occurrence_prediction_made	guard
G497-C01	G497-D001	G493-C001	@ACTION	T	T	SOURCE_SECTION_T	Lege den laufenden Eintrag [wie zuvor] fest.	Lege das zuvor Genannte fest.	COMPOSED_CONTEXT_NOUN_GENERALIZED	1	6	G493-C002|G493-C006|G493-C007|G493-C008|G493-C009|G493-C010	AIIN|OR|Y	1	G493-C006	1	G493-C002	HERBAL	G493-C002:HERBAL:T:Stelle den Pflanzenposten [wie zuvor] ein. || G493-C006:SOURCE_SECTION_T:R:Kennzeichne den laufenden Eintrag [wie zuvor]. || G493-C007:HERBAL:R:Markiere den Pflanzenposten [wie zuvor]. || G493-C008:BIOLOGICAL:R:Markiere den Stationsposten [wie zuvor]. || G493-C009:CELESTIAL:R:Markiere den Positionsposten [wie zuvor]. || G493-C010:PHARMA:R:Markiere den Drogenposten [wie zuvor].	NO	NO	COMPOSED_WORKING	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-C02	G497-D003	G493-C003	@ACTION	T	T	BIOLOGICAL	Stelle den Stationsposten [wie zuvor] ein.	Stelle das zuvor Genannte ein.	COMPOSED_CONTEXT_NOUN_GENERALIZED	1	6	G493-C002|G493-C006|G493-C007|G493-C008|G493-C009|G493-C010	AIIN|OR|Y	1	G493-C008	1	G493-C002	HERBAL	G493-C002:HERBAL:T:Stelle den Pflanzenposten [wie zuvor] ein. || G493-C006:SOURCE_SECTION_T:R:Kennzeichne den laufenden Eintrag [wie zuvor]. || G493-C007:HERBAL:R:Markiere den Pflanzenposten [wie zuvor]. || G493-C008:BIOLOGICAL:R:Markiere den Stationsposten [wie zuvor]. || G493-C009:CELESTIAL:R:Markiere den Positionsposten [wie zuvor]. || G493-C010:PHARMA:R:Markiere den Drogenposten [wie zuvor].	NO	NO	COMPOSED_WORKING	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-C03	G497-D004	G493-C004	@ACTION	T	T	CELESTIAL	Stelle den Positionsposten [wie zuvor] ein.	Stelle das zuvor Genannte ein.	COMPOSED_CONTEXT_NOUN_GENERALIZED	1	6	G493-C002|G493-C006|G493-C007|G493-C008|G493-C009|G493-C010	AIIN|OR|Y	1	G493-C009	1	G493-C002	HERBAL	G493-C002:HERBAL:T:Stelle den Pflanzenposten [wie zuvor] ein. || G493-C006:SOURCE_SECTION_T:R:Kennzeichne den laufenden Eintrag [wie zuvor]. || G493-C007:HERBAL:R:Markiere den Pflanzenposten [wie zuvor]. || G493-C008:BIOLOGICAL:R:Markiere den Stationsposten [wie zuvor]. || G493-C009:CELESTIAL:R:Markiere den Positionsposten [wie zuvor]. || G493-C010:PHARMA:R:Markiere den Drogenposten [wie zuvor].	NO	NO	COMPOSED_WORKING	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-C04	G497-D005	G493-C005	@ACTION	T	T	PHARMA	Stelle den Drogenposten [wie zuvor] ein.	Stelle das zuvor Genannte ein.	COMPOSED_CONTEXT_NOUN_GENERALIZED	1	6	G493-C002|G493-C006|G493-C007|G493-C008|G493-C009|G493-C010	AIIN|OR|Y	1	G493-C010	1	G493-C002	HERBAL	G493-C002:HERBAL:T:Stelle den Pflanzenposten [wie zuvor] ein. || G493-C006:SOURCE_SECTION_T:R:Kennzeichne den laufenden Eintrag [wie zuvor]. || G493-C007:HERBAL:R:Markiere den Pflanzenposten [wie zuvor]. || G493-C008:BIOLOGICAL:R:Markiere den Stationsposten [wie zuvor]. || G493-C009:CELESTIAL:R:Markiere den Positionsposten [wie zuvor]. || G493-C010:PHARMA:R:Markiere den Drogenposten [wie zuvor].	NO	NO	COMPOSED_WORKING	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-C05	G497-D031	G493-C031	@ACTION+AL	T	T+AL	SOURCE_SECTION_T	Lege den laufenden Eintrag [wie zuvor] fest; zur Zielspalte.	Lege das zuvor Genannte fest; zur Zielspalte.	COMPOSED_CONTEXT_NOUN_GENERALIZED	1	4	G493-C033|G493-C034|G493-C038|G493-C040	OR|Y	0	NONE	2	G493-C033|G493-C034	BIOLOGICAL|CELESTIAL	G493-C033:BIOLOGICAL:T+AL:Stelle den Stationsposten [wie zuvor] ein; zur Zielstation. || G493-C034:CELESTIAL:T+AL:Stelle den Positionsposten [wie zuvor] ein; zur Zielposition. || G493-C038:BIOLOGICAL:R+AL:Markiere den Stationsposten [wie zuvor]; zur Zielstation. || G493-C040:PHARMA:R+AL:Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	NO	NO	COMPOSED_WORKING	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-C06	G497-D032	G493-C032	@ACTION+AL	T	T+AL	HERBAL	Stelle den Pflanzenposten [wie zuvor] ein; zur Zielstelle.	Stelle das zuvor Genannte ein; zur Zielstelle.	COMPOSED_CONTEXT_NOUN_GENERALIZED	1	4	G493-C033|G493-C034|G493-C038|G493-C040	OR|Y	0	NONE	2	G493-C033|G493-C034	BIOLOGICAL|CELESTIAL	G493-C033:BIOLOGICAL:T+AL:Stelle den Stationsposten [wie zuvor] ein; zur Zielstation. || G493-C034:CELESTIAL:T+AL:Stelle den Positionsposten [wie zuvor] ein; zur Zielposition. || G493-C038:BIOLOGICAL:R+AL:Markiere den Stationsposten [wie zuvor]; zur Zielstation. || G493-C040:PHARMA:R+AL:Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	NO	NO	COMPOSED_WORKING	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-C07	G497-D035	G493-C035	@ACTION+AL	T	T+AL	PHARMA	Stelle den Drogenposten [wie zuvor] ein; zum Zielgefäß.	Stelle das zuvor Genannte ein; zum Zielgefäß.	COMPOSED_CONTEXT_NOUN_GENERALIZED	1	4	G493-C033|G493-C034|G493-C038|G493-C040	OR|Y	1	G493-C040	2	G493-C033|G493-C034	BIOLOGICAL|CELESTIAL	G493-C033:BIOLOGICAL:T+AL:Stelle den Stationsposten [wie zuvor] ein; zur Zielstation. || G493-C034:CELESTIAL:T+AL:Stelle den Positionsposten [wie zuvor] ein; zur Zielposition. || G493-C038:BIOLOGICAL:R+AL:Markiere den Stationsposten [wie zuvor]; zur Zielstation. || G493-C040:PHARMA:R+AL:Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	NO	NO	COMPOSED_WORKING	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-C08	G497-D036	G493-C036	@ACTION+AL	R	R+AL	SOURCE_SECTION_T	Kennzeichne den laufenden Eintrag [wie zuvor]; zur Zielspalte.	Kennzeichne das zuvor Genannte; zur Zielspalte.	COMPOSED_CONTEXT_NOUN_GENERALIZED	1	4	G493-C033|G493-C034|G493-C038|G493-C040	OR|Y	0	NONE	2	G493-C038|G493-C040	BIOLOGICAL|PHARMA	G493-C033:BIOLOGICAL:T+AL:Stelle den Stationsposten [wie zuvor] ein; zur Zielstation. || G493-C034:CELESTIAL:T+AL:Stelle den Positionsposten [wie zuvor] ein; zur Zielposition. || G493-C038:BIOLOGICAL:R+AL:Markiere den Stationsposten [wie zuvor]; zur Zielstation. || G493-C040:PHARMA:R+AL:Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	NO	NO	COMPOSED_WORKING	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-C09	G497-D037	G493-C037	@ACTION+AL	R	R+AL	HERBAL	Markiere den Pflanzenposten [wie zuvor]; zur Zielstelle.	Markiere das zuvor Genannte; zur Zielstelle.	COMPOSED_CONTEXT_NOUN_GENERALIZED	1	4	G493-C033|G493-C034|G493-C038|G493-C040	OR|Y	0	NONE	2	G493-C038|G493-C040	BIOLOGICAL|PHARMA	G493-C033:BIOLOGICAL:T+AL:Stelle den Stationsposten [wie zuvor] ein; zur Zielstation. || G493-C034:CELESTIAL:T+AL:Stelle den Positionsposten [wie zuvor] ein; zur Zielposition. || G493-C038:BIOLOGICAL:R+AL:Markiere den Stationsposten [wie zuvor]; zur Zielstation. || G493-C040:PHARMA:R+AL:Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	NO	NO	COMPOSED_WORKING	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-C10	G497-D039	G493-C039	@ACTION+AL	R	R+AL	CELESTIAL	Markiere den Positionsposten [wie zuvor]; zur Zielposition.	Markiere das zuvor Genannte; zur Zielposition.	COMPOSED_CONTEXT_NOUN_GENERALIZED	1	4	G493-C033|G493-C034|G493-C038|G493-C040	OR|Y	1	G493-C034	2	G493-C038|G493-C040	BIOLOGICAL|PHARMA	G493-C033:BIOLOGICAL:T+AL:Stelle den Stationsposten [wie zuvor] ein; zur Zielstation. || G493-C034:CELESTIAL:T+AL:Stelle den Positionsposten [wie zuvor] ein; zur Zielposition. || G493-C038:BIOLOGICAL:R+AL:Markiere den Stationsposten [wie zuvor]; zur Zielstation. || G493-C040:PHARMA:R+AL:Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	NO	NO	COMPOSED_WORKING	NO	NO	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
