frozen_frame	current_default_count	observed_retained_count	composed_self_contained_retained_count	composed_context_generalized_count	continuation_fluency_change_count	all_context_safe	all_meanings_retained	all_evidence_statuses_retained
@ACTION	10	6	0	4	0	YES	YES	YES
@ACTION+AIIN	10	5	5	0	0	YES	YES	YES
@ACTION+AIN	10	3	7	0	0	YES	YES	YES
@ACTION+AL	10	4	0	6	0	YES	YES	YES
@ACTION+AL+Y	10	2	8	0	0	YES	YES	YES
@ACTION+CH+E+Y	10	2	8	0	0	YES	YES	YES
@ACTION+CHD+Y	10	3	7	0	0	YES	YES	YES
@ACTION+OL	10	5	0	5	5	YES	YES	YES
@ACTION+OR+Y	10	2	8	0	0	YES	YES	YES
@ACTION+Y	10	3	7	0	0	YES	YES	YES
CH+@ACTION	10	2	0	8	0	YES	YES	YES
