observed_state_example_id	current_default_id	source_realization_cell_id	frozen_frame	action_root	action_recipe	register	observed_phrase_de	all_observed_clause_forms_de	observed_inherited_argument_roots	observed_event_count	observed_clause_form_count	observed_pages	observed_event_ids	evidence_status	observed_phrase_retained_exactly	guard
G497-O01	G497-D002	G493-C002	@ACTION	T	T	HERBAL	Stelle den Pflanzenposten [wie zuvor] ein.	Stelle den Pflanzenposten [wie zuvor] ein.	Y	1	1	f56r	G407-E0858	OBSERVED_CLAUSE	YES	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-O02	G497-D006	G493-C006	@ACTION	R	R	SOURCE_SECTION_T	Kennzeichne den laufenden Eintrag [wie zuvor].	Kennzeichne den laufenden Eintrag [wie zuvor].	Y	1	1	f1r	G407-E0110	OBSERVED_CLAUSE	YES	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-O03	G497-D007	G493-C007	@ACTION	R	R	HERBAL	Markiere den Pflanzenposten [wie zuvor].	Markiere den Pflanzenposten [wie zuvor]. || Markiere die Arbeitseinheit [wie zuvor].	OR|Y	3	2	f24v|f56r	G407-E0644|G407-E0860|G407-E0886	OBSERVED_CLAUSE	YES	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-O04	G497-D008	G493-C008	@ACTION	R	R	BIOLOGICAL	Markiere den Stationsposten [wie zuvor].	Markiere den Stationsposten [wie zuvor]. || Markiere.	Y	12	2	f75r|f76r|f77r|f81v|f82r|f83r	G407-E1463|G407-E1527|G407-E1912|G407-E2127|G407-E2152|G407-E2513|G407-E2656|G407-E3063|G407-E3237|G407-E3273|G407-E3296|G407-E3532	OBSERVED_CLAUSE	YES	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-O05	G497-D009	G493-C009	@ACTION	R	R	CELESTIAL	Markiere den Positionsposten [wie zuvor].	Markiere den Positionsposten [wie zuvor]. || Markiere die Positionseinheit [wie zuvor].	OR|Y	2	2	f67r2|f72r	G407-E0938|G407-E1249	OBSERVED_CLAUSE	YES	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-O06	G497-D010	G493-C010	@ACTION	R	R	PHARMA	Markiere den Drogenposten [wie zuvor].	Markiere den Drogenposten [wie zuvor]. || Markiere den Mengenwert [wie zuvor].	AIIN|Y	3	2	f88v|f89r	G407-E4030|G407-E4172|G407-E4386	OBSERVED_CLAUSE	YES	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-O07	G497-D033	G493-C033	@ACTION+AL	T	T+AL	BIOLOGICAL	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	Stelle den Stationsposten [wie zuvor] ein; zur Zielstation.	Y	2	1	f77r|f83r	G407-E2698|G407-E3592	OBSERVED_CLAUSE	YES	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-O08	G497-D034	G493-C034	@ACTION+AL	T	T+AL	CELESTIAL	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	Stelle den Positionsposten [wie zuvor] ein; zur Zielposition.	Y	1	1	f71v	G407-E1108	OBSERVED_CLAUSE	YES	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-O09	G497-D038	G493-C038	@ACTION+AL	R	R+AL	BIOLOGICAL	Markiere den Stationsposten [wie zuvor]; zur Zielstation.	Markiere den Stationsposten [wie zuvor]; zur Zielstation.	Y	1	1	f81v	G407-E3084	OBSERVED_CLAUSE	YES	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-O10	G497-D040	G493-C040	@ACTION+AL	R	R+AL	PHARMA	Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	Markiere die Ansatzeinheit [wie zuvor]; zum Zielgefäß.	OR	1	1	f88r	G407-E3804	OBSERVED_CLAUSE	YES	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
G497-O11	G497-D071	G493-C071	@ACTION+OL	T	T+OL	SOURCE_SECTION_T	Weiter lege den laufenden Eintrag [wie zuvor] fest.	Weiter lege den laufenden Eintrag [wie zuvor] fest.	Y	1	1	f1r	G407-E0150	OBSERVED_CLAUSE	YES	CURRENT_WORKING_DEFAULT__NO_SURFACE_OR_OCCURRENCE_PREDICTION
